date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,2.35,2.41,2.34,2.37,2.37,27192.0,0.0,1.0
2021-04-15,2.4,2.4399,2.34,2.37,2.37,28152.0,0.0,1.0
2021-04-14,2.42,2.44,2.4,2.4,2.4,18704.0,0.0,1.0
2021-04-13,2.35,2.45,2.35,2.43,2.43,25817.0,0.0,1.0
2021-04-12,2.43,2.45,2.38,2.45,2.45,37497.0,0.0,1.0
2021-04-09,2.4386,2.46,2.4,2.45,2.45,54773.0,0.0,1.0
2021-04-08,2.39,2.46,2.37,2.43,2.43,64885.0,0.0,1.0
2021-04-07,2.33,2.41,2.33,2.41,2.41,180735.0,0.0,1.0
2021-04-06,2.34,2.35,2.28,2.33,2.33,29790.0,0.0,1.0
2021-04-05,2.3,2.37,2.3,2.32,2.32,94155.0,0.0,1.0
2021-04-01,2.36,2.38,2.3,2.33,2.33,33310.0,0.0,1.0
2021-03-31,2.36,2.39,2.26,2.32,2.32,35912.0,0.0,1.0
2021-03-30,2.21,2.35,2.21,2.33,2.33,118056.0,0.0,1.0
2021-03-29,2.18,2.21,2.14,2.19,2.19,140510.0,0.0,1.0
2021-03-26,2.15,2.19,2.09,2.19,2.19,78916.0,0.0,1.0
2021-03-25,2.1,2.15,2.08,2.1487,2.1487,89563.0,0.0,1.0
2021-03-24,2.06,2.15,2.05,2.09,2.09,39031.0,0.0,1.0
2021-03-23,2.16,2.171,2.05,2.05,2.05,38523.0,0.0,1.0
2021-03-22,2.1899,2.1899,2.15,2.16,2.16,12037.0,0.0,1.0
2021-03-19,2.15,2.1699,2.1,2.15,2.15,25915.0,0.0,1.0
2021-03-18,2.1,2.21,2.1,2.15,2.15,391169.0,0.0,1.0
2021-03-17,2.2,2.25,2.05,2.09,2.09,229219.0,0.0,1.0
2021-03-16,2.21,2.2881,2.19,2.19,2.19,25644.0,0.0,1.0
2021-03-15,2.29,2.29,2.19,2.21,2.21,144065.0,0.0,1.0
2021-03-12,2.33,2.33,2.21,2.29,2.29,155513.0,0.0,1.0
2021-03-11,2.33,2.37,2.25,2.33,2.33,81494.0,0.0,1.0
2021-03-10,2.33,2.33,2.24,2.3,2.3,62499.0,0.0,1.0
2021-03-09,2.24,2.3,2.2001,2.3,2.3,142438.0,0.0,1.0
2021-03-08,2.05,2.2,1.92,2.2,2.2,139229.0,0.0,1.0
2021-03-05,1.99,2.07,1.9,2.05,2.05,175185.0,0.0,1.0
