date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,23.76,24.73,23.07,24.3,24.3,409556.0,0.0,1.0
2021-04-15,23.6308,24.5,23.305,24.05,24.05,573898.0,0.0,1.0
2021-04-14,22.54,24.54,21.7,23.83,23.83,742425.0,0.0,1.0
2021-04-13,21.9,24.4085,20.65,22.61,22.61,1083960.0,0.0,1.0
2021-04-12,23.48,24.076,21.94,22.26,22.26,683974.0,0.0,1.0
2021-04-09,24.11,24.75,23.66,23.88,23.88,386298.0,0.0,1.0
2021-04-08,24.0,25.21,23.45,24.13,24.13,449436.0,0.0,1.0
2021-04-07,24.17,24.49,23.36,23.86,23.86,591377.0,0.0,1.0
2021-04-06,25.28,25.55,24.04,24.51,24.51,572283.0,0.0,1.0
2021-04-05,24.99,26.125,24.64,25.28,25.28,776665.0,0.0,1.0
2021-04-01,28.1,28.176,24.485,25.0,25.0,778453.0,0.0,1.0
2021-03-31,25.35,28.3,25.35,26.5,26.5,1071458.0,0.0,1.0
2021-03-30,24.42,25.32,23.57,25.31,25.31,861836.0,0.0,1.0
2021-03-29,25.36,26.28,24.1,24.41,24.41,992420.0,0.0,1.0
2021-03-26,30.5,31.2,23.41,24.62,24.62,1851562.0,0.0,1.0
2021-03-25,24.21,32.97,24.2,31.78,31.78,3515101.0,0.0,1.0
2021-03-24,24.5,29.1,24.1101,25.07,25.07,2853796.0,0.0,1.0
2021-03-23,23.93,24.5499,23.22,23.7,23.7,1145379.0,0.0,1.0
2021-03-22,25.72,26.18,24.45,24.55,24.55,1031575.0,0.0,1.0
2021-03-19,24.36,26.3,24.0,25.31,25.31,2473720.0,0.0,1.0
2021-03-18,24.43,25.83,23.01,24.26,24.26,3796339.0,0.0,1.0
2021-03-17,29.49,29.63,23.01,24.19,24.19,9817482.0,0.0,1.0
2021-03-16,28.67,37.98,27.53,32.005,32.005,9100775.0,0.0,1.0
2021-03-15,17.91,38.71,17.86,30.29,30.29,37854329.0,0.0,1.0
2021-03-12,16.16,17.1999,15.9,16.43,16.43,847096.0,0.0,1.0
2021-03-11,16.44,16.62,15.31,15.89,15.89,999363.0,0.0,1.0
2021-03-10,14.66,16.62,14.59,16.34,16.34,911181.0,0.0,1.0
2021-03-09,12.22,15.88,12.07,15.01,15.01,1684684.0,0.0,1.0
2021-03-08,11.81,12.27,10.8,12.07,12.07,708252.0,0.0,1.0
2021-03-05,10.28,15.18,10.09,12.56,12.56,2993984.0,0.0,1.0
2021-03-04,9.25,10.49,8.92,10.4,10.4,659283.0,0.0,1.0
2021-03-03,9.8,10.08,9.24,9.32,9.32,393573.0,0.0,1.0
2021-03-02,9.64,9.88,9.32,9.82,9.82,398350.0,0.0,1.0
2021-03-01,10.3535,10.53,9.49,9.88,9.88,876189.0,0.0,1.0
2021-02-26,8.35,10.88,8.25,10.38,10.38,5101735.0,0.0,1.0
2021-02-25,11.15,11.73,6.75,8.02,8.02,3769722.0,0.0,1.0
2021-02-24,11.25,11.7,10.91,11.18,11.18,318614.0,0.0,1.0
2021-02-23,11.71,11.875,11.0579,11.34,11.34,400074.0,0.0,1.0
2021-02-22,12.59,13.1,12.27,12.34,12.34,316540.0,0.0,1.0
2021-02-19,12.24,12.81,12.04,12.64,12.64,380633.0,0.0,1.0
2021-02-18,12.25,12.58,11.64,11.87,11.87,323211.0,0.0,1.0
2021-02-17,12.63,12.72,11.34,12.26,12.26,580694.0,0.0,1.0
2021-02-16,12.89,13.42,12.41,12.62,12.62,646068.0,0.0,1.0
2021-02-12,13.2635,13.975,12.9,12.96,12.96,224601.0,0.0,1.0
2021-02-11,14.34,15.1,13.36,13.43,13.43,461419.0,0.0,1.0
2021-02-10,14.74,14.92,13.8,14.39,14.39,223976.0,0.0,1.0
2021-02-09,14.85,14.99,14.12,14.69,14.69,202639.0,0.0,1.0
2021-02-08,14.0,15.05,13.77,14.93,14.93,493778.0,0.0,1.0
2021-02-05,12.37,13.93,12.15,13.81,13.81,519839.0,0.0,1.0
2021-02-04,11.89,12.4468,11.62,11.97,11.97,331735.0,0.0,1.0
2021-02-03,11.58,12.1,11.46,11.72,11.72,327394.0,0.0,1.0
2021-02-02,11.7,12.06,10.9,11.65,11.65,463523.0,0.0,1.0
2021-02-01,12.04,12.39,11.45,11.73,11.73,375081.0,0.0,1.0
2021-01-29,13.16,13.26,11.76,11.97,11.97,764294.0,0.0,1.0
2021-01-28,14.66,15.99,12.7,12.96,12.96,2878616.0,0.0,1.0
2021-01-27,9.97,14.8,9.86,14.69,14.69,1856567.0,0.0,1.0
2021-01-26,10.07,10.66,10.05,10.21,10.21,706410.0,0.0,1.0
2021-01-25,9.61,10.01,9.27,10.0,10.0,318581.0,0.0,1.0
2021-01-22,9.23,9.6,9.0244,9.48,9.48,256893.0,0.0,1.0
2021-01-21,9.7,9.8851,9.21,9.24,9.24,168535.0,0.0,1.0
2021-01-20,9.56,9.97,9.485,9.75,9.75,265596.0,0.0,1.0
2021-01-19,9.7,9.82,9.28,9.51,9.51,430588.0,0.0,1.0
2021-01-15,9.66,9.8,9.19,9.48,9.48,603340.0,0.0,1.0
2021-01-14,9.03,10.09,8.9744,9.69,9.69,712028.0,0.0,1.0
2021-01-13,9.17,9.24,8.75,8.85,8.85,290722.0,0.0,1.0
2021-01-12,9.15,9.52,9.0,9.18,9.18,250789.0,0.0,1.0
2021-01-11,9.33,9.33,8.7,9.04,9.04,339228.0,0.0,1.0
2021-01-08,8.92,9.72,8.91,9.53,9.53,435117.0,0.0,1.0
2021-01-07,8.37,9.06,8.3601,8.83,8.83,305886.0,0.0,1.0
2021-01-06,8.34,8.9,8.27,8.34,8.34,505585.0,0.0,1.0
2021-01-05,8.18,8.5299,8.02,8.35,8.35,330929.0,0.0,1.0
2021-01-04,7.65,8.4,7.54,8.22,8.22,461076.0,0.0,1.0
2020-12-31,7.89,7.9008,7.48,7.59,7.59,255417.0,0.0,1.0
2020-12-30,7.39,8.02,7.3209,7.81,7.81,229884.0,0.0,1.0
2020-12-29,7.58,7.82,7.2852,7.46,7.46,419262.0,0.0,1.0
2020-12-28,8.14,8.23,7.555,7.66,7.66,543141.0,0.0,1.0
2020-12-24,8.05,8.4518,7.96,8.04,8.04,203900.0,0.0,1.0
2020-12-23,7.5,8.2199,7.38,8.0,8.0,660507.0,0.0,1.0
2020-12-22,7.52,7.7575,7.25,7.54,7.54,372935.0,0.0,1.0
2020-12-21,7.39,7.69,7.13,7.61,7.61,416072.0,0.0,1.0
2020-12-18,7.32,7.66,7.2601,7.49,7.49,869857.0,0.0,1.0
2020-12-17,7.05,7.55,6.8501,7.34,7.34,621309.0,0.0,1.0
2020-12-16,7.64,8.06,7.0201,7.17,7.17,1137792.0,0.0,1.0
2020-12-15,8.0635,8.07,6.92,7.78,7.78,2724830.0,0.0,1.0
2020-12-14,6.44,13.7,6.44,8.73,8.73,49249965.0,0.0,1.0
2020-12-11,7.67,7.75,6.21,6.39,6.39,476610.0,0.0,1.0
2020-12-10,7.56,7.79,7.04,7.69,7.69,236174.0,0.0,1.0
2020-12-09,8.12,8.165,7.63,7.71,7.71,208902.0,0.0,1.0
2020-12-08,7.55,8.18,7.55,7.99,7.99,380841.0,0.0,1.0
2020-12-07,7.13,7.72,7.13,7.55,7.55,217077.0,0.0,1.0
2020-12-04,6.82,7.06,6.65,7.01,7.01,166948.0,0.0,1.0
2020-12-03,6.59,6.9,6.59,6.79,6.79,173341.0,0.0,1.0
2020-12-02,6.54,6.65,6.3005,6.54,6.54,147296.0,0.0,1.0
2020-12-01,6.25,6.69,6.24,6.56,6.56,319901.0,0.0,1.0
2020-11-30,6.91,6.91,6.18,6.27,6.27,320360.0,0.0,1.0
2020-11-27,6.61,6.98,6.57,6.85,6.85,133522.0,0.0,1.0
2020-11-25,6.44,6.56,6.36,6.54,6.54,138439.0,0.0,1.0
2020-11-24,5.99,6.63,5.9301,6.42,6.42,340039.0,0.0,1.0
2020-11-23,5.6,6.04,5.56,5.92,5.92,256689.0,0.0,1.0
2020-11-20,5.37,5.6,5.2648,5.56,5.56,137747.0,0.0,1.0
2020-11-19,5.23,5.39,5.01,5.35,5.35,120465.0,0.0,1.0
2020-11-18,5.28,5.43,5.18,5.23,5.23,182667.0,0.0,1.0
2020-11-17,4.98,5.28,4.9238,5.22,5.22,209384.0,0.0,1.0
2020-11-16,5.04,5.1013,4.87,5.01,5.01,223272.0,0.0,1.0
2020-11-13,4.94,5.0469,4.77,4.93,4.93,196571.0,0.0,1.0
2020-11-12,4.7,4.86,4.56,4.86,4.86,173803.0,0.0,1.0
2020-11-11,4.8,4.89,4.55,4.75,4.75,155669.0,0.0,1.0
2020-11-10,4.76,4.81,4.56,4.73,4.73,160206.0,0.0,1.0
2020-11-09,5.0,5.2373,4.69,4.77,4.77,275945.0,0.0,1.0
2020-11-06,4.57,4.63,4.39,4.42,4.42,189324.0,0.0,1.0
2020-11-05,4.82,4.89,4.51,4.57,4.57,146753.0,0.0,1.0
2020-11-04,4.91,5.17,4.71,4.84,4.84,215642.0,0.0,1.0
2020-11-03,4.73,4.95,4.61,4.92,4.92,286206.0,0.0,1.0
2020-11-02,4.33,4.67,4.2432,4.66,4.66,147312.0,0.0,1.0
2020-10-30,4.35,4.42,4.2,4.23,4.23,188939.0,0.0,1.0
2020-10-29,4.63,4.63,4.37,4.43,4.43,166788.0,0.0,1.0
2020-10-28,4.61,4.78,4.49,4.7,4.7,185562.0,0.0,1.0
2020-10-27,4.57,4.8,4.5,4.65,4.65,186157.0,0.0,1.0
2020-10-26,4.51,4.665,4.49,4.56,4.56,118451.0,0.0,1.0
2020-10-23,4.68,4.78,4.55,4.59,4.59,146341.0,0.0,1.0
2020-10-22,4.65,4.76,4.52,4.68,4.68,107122.0,0.0,1.0
2020-10-21,4.65,4.8,4.54,4.61,4.61,161107.0,0.0,1.0
2020-10-20,5.05,5.18,4.61,4.62,4.62,252307.0,0.0,1.0
