date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,17.96,18.08,17.5,17.5,17.5,18355.0,0.0,1.0
2021-04-15,17.55,18.0,17.29,17.73,17.73,16477.0,0.0,1.0
2021-04-14,17.33,18.04,17.21,17.3,17.3,16801.0,0.0,1.0
2021-04-13,17.42,17.84,16.98,17.5,17.5,8070.0,0.0,1.0
2021-04-12,17.93,18.05,17.35,17.35,17.35,28995.0,0.0,1.0
2021-04-09,18.02,18.02,17.7,17.75,17.75,15891.0,0.0,1.0
2021-04-08,17.7,18.14,17.395,18.0,18.0,18762.0,0.0,1.0
2021-04-07,18.46,18.46,17.67,17.7,17.7,30162.0,0.0,1.0
2021-04-06,18.65,18.79,18.16,18.22,18.22,7977.0,0.0,1.0
2021-04-05,18.4,18.93,18.2,18.6,18.6,34777.0,0.0,1.0
2021-04-01,18.35,18.58,18.06,18.58,18.58,12209.0,0.0,1.0
2021-03-31,18.68,18.9406,18.26,18.26,18.26,27143.0,0.0,1.0
2021-03-30,18.73,18.99,18.575,18.95,18.95,30490.0,0.0,1.0
2021-03-29,18.55,18.64,18.02,18.545,18.545,42003.0,0.0,1.0
2021-03-26,18.55,18.95,18.55,18.95,18.95,7873.0,0.0,1.0
2021-03-25,18.71,18.71,18.235,18.485,18.485,6399.0,0.0,1.0
2021-03-24,18.53,19.27,18.53,18.53,18.53,13188.0,0.0,1.0
2021-03-23,18.21,18.53,18.21,18.35,18.35,15624.0,0.0,1.0
2021-03-22,18.72,19.35,18.21,18.31,18.31,27515.0,0.0,1.0
2021-03-19,18.83,19.2,18.5,19.2,19.2,62810.0,0.0,1.0
2021-03-18,19.0,19.26,18.81,18.91,18.91,14775.0,0.0,1.0
2021-03-17,19.0,19.02,18.63,18.79,18.79,11684.0,0.0,1.0
2021-03-16,19.45,19.45,18.87,19.13,19.13,13698.0,0.0,1.0
2021-03-15,19.74,19.74,17.955,19.45,19.45,22904.0,0.0,1.0
2021-03-12,19.4,19.615,19.19,19.49,19.49,19376.0,0.0,1.0
2021-03-11,19.4,19.45,19.25,19.4,19.4,22525.0,0.0,1.0
2021-03-10,19.25,19.43,19.19,19.43,19.43,20796.0,0.0,1.0
2021-03-09,19.48,19.555,19.13,19.25,19.25,24723.0,0.0,1.0
2021-03-08,19.21,19.63,19.21,19.45,19.45,39386.0,0.0,1.0
2021-03-05,19.81,19.97,19.16,19.44,19.44,36461.0,0.0,1.0
2021-03-04,19.04,19.56,19.0,19.44,19.44,31678.0,0.0,1.0
2021-03-03,18.55,19.08,18.21,18.84,18.84,7611.0,0.0,1.0
2021-03-02,19.5864,19.5864,18.205,18.31,18.31,14036.0,0.0,1.0
2021-03-01,17.38,19.12,17.38,18.39,18.39,20411.0,0.0,1.0
2021-02-26,18.9,19.17,17.16,17.29,17.29,37969.0,0.0,1.0
2021-02-25,19.46,19.8319,18.65,18.65,18.65,16252.0,0.0,1.0
2021-02-24,19.06,19.98,19.06,19.56,19.56,19483.0,0.0,1.0
2021-02-23,18.95,19.3036,18.725,19.14,19.14,14889.0,0.0,1.0
2021-02-22,18.65,19.24,18.65,18.75,18.75,18246.0,0.0,1.0
2021-02-19,18.45,19.11,18.45,19.11,19.11,11246.0,0.0,1.0
2021-02-18,18.7,18.7,18.25,18.41,18.41,16309.0,0.0,1.0
2021-02-17,19.1,19.17,18.5,18.7,18.7,8379.0,0.0,1.0
2021-02-16,18.3,19.4899,18.3,19.01,19.01,22798.0,0.0,1.0
2021-02-12,18.48,18.48,18.0201,18.38,18.38,15633.0,0.0,1.0
2021-02-11,18.5523,18.63,18.04,18.3,18.3,26252.0,0.105,1.0
2021-02-10,18.58,18.8506,17.43,18.33,18.2254278729,40762.0,0.0,1.0
2021-02-09,18.71,18.9,18.265,18.9,18.7921760391,18810.0,0.0,1.0
2021-02-08,18.63,19.31,18.14,18.8,18.6927465363,35590.0,0.0,1.0
2021-02-05,18.3,18.3,17.905,18.28,18.1757131214,9610.0,0.0,1.0
2021-02-04,18.37,18.37,17.9001,18.29,18.1856560717,10121.0,0.0,1.0
2021-02-03,18.0,18.39,17.8,18.35,18.2453137734,8396.0,0.0,1.0
2021-02-02,17.8,18.4,17.8,17.89,17.7879380603,6689.0,0.0,1.0
2021-02-01,17.29,18.04,16.99,17.66,17.5592502037,15108.0,0.0,1.0
2021-01-29,17.11,17.38,16.7,17.28,17.1814180929,15686.0,0.0,1.0
2021-01-28,17.1,17.12,16.2782,17.09,16.9925020375,13467.0,0.0,1.0
2021-01-27,16.77,16.95,16.02,16.89,16.7936430318,18141.0,0.0,1.0
2021-01-26,17.01,17.13,16.74,16.94,16.8433577832,9045.0,0.0,1.0
2021-01-25,16.82,17.2828,16.44,16.82,16.7240423798,15545.0,0.0,1.0
2021-01-22,16.88,17.06,16.88,17.0,16.9030154849,10397.0,0.0,1.0
2021-01-21,17.2,17.33,16.78,16.9,16.8035859821,12980.0,0.0,1.0
2021-01-20,17.46,17.51,17.06,17.25,17.1515892421,12761.0,0.0,1.0
2021-01-19,18.0,18.3,17.17,17.22,17.1217603912,20070.0,0.0,1.0
2021-01-15,18.45,18.6501,17.71,17.88,17.77799511,14217.0,0.0,1.0
2021-01-14,18.905,18.905,18.47,18.62,18.5137734311,13523.0,0.0,1.0
2021-01-13,18.42,18.74,18.325,18.55,18.4441727791,7227.0,0.0,1.0
2021-01-12,18.7,19.09,18.43,18.54,18.4342298289,15470.0,0.0,1.0
2021-01-11,18.42,18.65,18.42,18.65,18.543602282,7119.0,0.0,1.0
2021-01-08,18.8,18.855,18.385,18.62,18.5137734311,21823.0,0.0,1.0
2021-01-07,18.5,18.91,18.27,18.79,18.682803586,33310.0,0.0,1.0
2021-01-06,18.31,18.96,18.11,18.57,18.4640586797,70114.0,0.0,1.0
2021-01-05,17.81,18.3,17.66,18.04,17.9370823146,10314.0,0.0,1.0
2021-01-04,18.26,18.26,17.66,17.66,17.5592502037,15114.0,0.0,1.0
2020-12-31,17.94,18.35,17.94,18.28,18.1757131214,11865.0,0.0,1.0
2020-12-30,17.96,18.1,17.69,17.81,17.708394458,17121.0,0.0,1.0
2020-12-29,18.25,18.25,17.71,17.77,17.6686226569,19793.0,0.0,1.0
2020-12-28,18.23,18.415,18.1,18.1,17.9967400163,18096.0,0.0,1.0
2020-12-24,18.12,18.47,17.96,17.96,17.8575387123,4262.0,0.0,1.0
2020-12-23,18.5,18.52,18.21,18.3,18.195599022,13833.0,0.0,1.0
2020-12-22,18.54,18.54,18.35,18.49,18.3845150774,9077.0,0.0,1.0
2020-12-21,18.59,18.92,18.25,18.51,18.404400978,23429.0,0.0,1.0
2020-12-18,18.5,18.95,18.04,18.5,18.3944580277,91772.0,0.0,1.0
2020-12-17,18.55,18.9039,17.54,18.7,18.5933170334,15022.0,0.0,1.0
2020-12-16,18.67,18.928,18.59,18.59,18.4839445803,8981.0,0.0,1.0
2020-12-15,18.25,18.99,17.98,18.6,18.4938875306,16322.0,0.0,1.0
2020-12-14,18.28,18.55,18.0916,18.1,17.9967400163,18391.0,0.0,1.0
2020-12-11,18.57,18.57,18.23,18.46,18.3546862266,7895.0,0.0,1.0
2020-12-10,18.48,18.6,18.4119,18.6,18.4938875306,11847.0,0.0,1.0
2020-12-09,18.6,18.65,18.28,18.46,18.3546862266,13055.0,0.0,1.0
2020-12-08,18.17,18.55,18.17,18.47,18.3646291769,11373.0,0.0,1.0
2020-12-07,18.4,18.71,17.93,18.35,18.2453137734,19596.0,0.0,1.0
2020-12-04,18.15,18.68,18.0342,18.68,18.5734311328,13002.0,0.0,1.0
2020-12-03,18.6,18.6,17.79,17.79,17.6885085575,10993.0,0.0,1.0
2020-12-02,17.54,18.5725,17.54,18.49,18.3845150774,13273.0,0.0,1.0
2020-12-01,17.14,18.14,17.14,18.09,17.986797066,11054.0,0.0,1.0
2020-11-30,17.38,17.38,16.72,17.12,17.0223308883,19922.0,0.0,1.0
