date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,20.58,20.68,20.13,20.56,20.56,2567139.0,0.0,1.0
2021-04-15,20.18,20.495,20.11,20.26,20.26,3962510.0,0.0,1.0
2021-04-14,19.42,19.97,19.25,19.73,19.73,3047898.0,0.0,1.0
2021-04-13,18.25,19.1,18.22,18.95,18.95,3676261.0,0.0,1.0
2021-04-12,18.17,18.22,17.6712,17.82,17.82,1904879.0,0.0,1.0
2021-04-09,18.06,18.35,18.0,18.27,18.27,2359911.0,0.0,1.0
2021-04-08,18.79,18.81,18.49,18.62,18.62,2022587.0,0.0,1.0
2021-04-07,18.75,18.78,18.38,18.68,18.68,1424566.0,0.0,1.0
2021-04-06,19.17,19.38,18.92,18.92,18.92,2226280.0,0.0,1.0
2021-04-05,18.63,19.1,18.43,18.87,18.87,2495733.0,0.0,1.0
2021-04-01,17.93,18.43,17.87,18.43,18.43,1697274.0,0.0,1.0
2021-03-31,17.54,18.03,17.54,17.86,17.86,1903011.0,0.0,1.0
2021-03-30,17.3,17.5456,17.16,17.41,17.41,1521727.0,0.0,1.0
2021-03-29,17.55,17.79,17.23,17.66,17.66,3398984.0,0.0,1.0
2021-03-26,17.86,18.43,17.81,18.4,18.4,3034373.0,0.0,1.0
2021-03-25,17.46,17.65,17.18,17.55,17.55,2439504.0,0.0,1.0
2021-03-24,17.65,17.94,17.24,17.29,17.29,2222302.0,0.0,1.0
2021-03-23,17.89,17.97,17.105,17.2,17.2,2745597.0,0.0,1.0
2021-03-22,18.6,18.6,18.05,18.12,18.12,2818437.0,0.0,1.0
2021-03-19,18.22,18.65,18.095,18.21,18.21,6572884.0,0.0,1.0
2021-03-18,18.95,19.55,18.825,19.06,19.06,3208428.0,0.8659,1.0
2021-03-17,18.85,19.76,18.415,19.44,18.5952152726,4163578.0,0.0,1.0
2021-03-16,19.38,19.47,18.75,18.87,18.0499851951,3700377.0,0.0,1.0
