date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,18.83,21.41,18.58,21.05,21.05,465835.0,0.0,1.0
2021-04-15,20.0,20.1,18.55,18.76,18.76,590331.0,0.0,1.0
2021-04-14,18.9,20.6,18.75,19.79,19.79,607746.0,0.0,1.0
2021-04-13,20.14,21.0,20.01,20.64,20.64,459866.0,0.0,1.0
2021-04-12,22.34,22.34,19.91,19.95,19.95,901464.0,0.0,1.0
2021-04-09,23.63,23.75,21.9,22.18,22.18,598679.0,0.0,1.0
2021-04-08,23.68,24.0,23.08,23.25,23.25,381161.0,0.0,1.0
2021-04-07,24.97,25.0,23.12,23.45,23.45,727012.0,0.0,1.0
2021-04-06,25.58,26.29,25.14,25.18,25.18,305662.0,0.0,1.0
2021-04-05,26.63,26.99,25.46,25.67,25.67,297427.0,0.0,1.0
2021-04-01,26.56,27.31,25.82,26.34,26.34,530358.0,0.0,1.0
2021-03-31,26.05,27.44,25.82,26.88,26.88,452964.0,0.0,1.0
2021-03-30,25.69,26.36,25.01,25.73,25.73,414837.0,0.0,1.0
2021-03-29,25.1,26.68,23.87,25.95,25.95,1630862.0,0.0,1.0
2021-03-26,24.91,25.633,23.4401,24.74,24.74,327693.0,0.0,1.0
2021-03-25,25.47,25.94,24.07,24.96,24.96,595924.0,0.0,1.0
2021-03-24,27.21,28.03,26.01,26.32,26.32,429209.0,0.0,1.0
2021-03-23,28.7,29.52,26.57,27.12,27.12,768025.0,0.0,1.0
2021-03-22,26.75,28.17,26.52,27.29,27.29,288931.0,0.0,1.0
2021-03-19,26.06,27.21,25.85,26.97,26.97,304781.0,0.0,1.0
2021-03-18,26.4,27.22,25.81,26.06,26.06,298365.0,0.0,1.0
2021-03-17,27.44,28.1799,26.12,26.78,26.78,410199.0,0.0,1.0
2021-03-16,30.0,30.43,27.54,27.99,27.99,508794.0,0.0,1.0
2021-03-15,26.5,29.74,26.2,29.65,29.65,819274.0,0.0,1.0
2021-03-12,24.26,26.37,23.35,26.12,26.12,285061.0,0.0,1.0
2021-03-11,22.75,26.28,22.25,25.5,25.5,542784.0,0.0,1.0
2021-03-10,22.0,22.75,21.5219,22.3,22.3,418095.0,0.0,1.0
2021-03-09,23.32,23.5,21.14,21.69,21.69,421010.0,0.0,1.0
2021-03-08,23.01,23.98,21.74,22.13,22.13,244492.0,0.0,1.0
2021-03-05,23.3,23.4325,18.9,22.8,22.8,858942.0,0.0,1.0
2021-03-04,26.51,27.1522,22.5192,23.0,23.0,846120.0,0.0,1.0
2021-03-03,27.87,28.83,26.7,27.07,27.07,414154.0,0.0,1.0
2021-03-02,31.0,31.2,28.1,28.22,28.22,1032208.0,0.0,1.0
2021-03-01,28.0,30.14,27.75,28.95,28.95,1454980.0,0.0,1.0
2021-02-26,29.2,29.4771,26.17,26.99,26.99,748728.0,0.0,1.0
2021-02-25,31.0,31.0,26.9,30.88,30.88,2763050.0,0.0,1.0
2021-02-24,31.58,33.667,29.8,30.199,30.199,360646.0,0.0,1.0
2021-02-23,28.03,33.26,24.3001,29.9,29.9,445428.0,0.0,1.0
2021-02-22,34.5,36.8,30.25,30.594,30.594,367233.0,0.0,1.0
2021-02-19,42.0,42.4,36.0,36.702,36.702,272666.0,0.0,1.0
2021-02-18,38.056,43.8,38.056,40.95,40.95,129345.0,0.0,0.1
2021-02-17,3.82,4.0,3.61,3.789,37.89,1794939.0,0.0,1.0
2021-02-16,4.424,4.5,3.81,4.0069,40.069,2440545.0,0.0,1.0
2021-02-12,3.6957,4.34,3.44,4.2,42.0,4273327.0,0.0,1.0
2021-02-11,4.036,4.25,3.3228,3.86,38.6,3301365.0,0.0,1.0
2021-02-10,4.3395,4.47,3.46,4.07,40.7,2468296.0,0.0,1.0
2021-02-09,3.617,4.09,3.48,4.07,40.7,2468296.0,0.0,1.0
2021-02-08,3.2,3.59,3.1729,3.4803,34.803,2987586.0,0.0,1.0
2021-02-05,2.6514,3.1,2.554,3.04,30.4,2351177.0,0.0,1.0
2021-02-04,2.515934,2.62,2.45,2.59,25.9,863143.0,0.0,1.0
2021-02-03,2.58,2.58,2.35,2.41,24.1,521930.0,0.0,1.0
2021-02-02,2.35,2.46,2.25,2.381,23.81,690516.0,0.0,1.0
2021-02-01,2.379,2.59,2.1926,2.27,22.7,586119.0,0.0,1.0
2021-01-29,2.409,2.625,2.25,2.3213,23.213,1436074.0,0.0,1.0
2021-01-28,2.1169,2.63,2.0,2.59,25.9,1460855.0,0.0,1.0
2021-01-27,2.24,2.325,2.0,2.1101,21.101,1624413.0,0.0,1.0
2021-01-26,2.43,2.525,2.05,2.24,22.4,2109336.0,0.0,1.0
2021-01-25,2.63,2.75,2.35,2.44,24.4,1310829.0,0.0,1.0
2021-01-22,2.576,2.7,2.52,2.64,26.4,834139.0,0.0,1.0
2021-01-21,2.74,2.75,2.5,2.59,25.9,1008444.0,0.0,1.0
2021-01-20,2.65,2.8,2.3877,2.68,26.8,973522.0,0.0,1.0
2021-01-19,2.834,2.839,2.489,2.6,26.0,2381369.0,0.0,1.0
2021-01-15,2.25,2.385,2.05,2.29,22.9,1956965.0,0.0,1.0
2021-01-14,1.8,2.2,1.65,2.17,21.7,3682398.0,0.0,1.0
2021-01-13,1.65,1.78,1.65,1.71,17.1,886573.0,0.0,1.0
2021-01-12,1.95,1.95,1.6,1.676,16.76,1841176.0,0.0,1.0
2021-01-11,1.66,1.87,1.6428,1.80367,18.0367,2007291.0,0.0,1.0
2021-01-08,1.57,1.67,1.55,1.62848,16.2848,1666617.0,0.0,1.0
2021-01-07,1.4547,1.57,1.4,1.55,15.5,1122963.0,0.0,1.0
2021-01-06,1.35,1.49,1.33,1.39,13.9,1182739.0,0.0,1.0
2021-01-05,1.269,1.425,1.23,1.3013,13.013,952488.0,0.0,1.0
2021-01-04,1.18,1.33,1.1,1.33,13.3,1260152.0,0.0,1.0
2020-12-31,1.3,1.32,1.15,1.19432,11.9432,300168.0,0.0,1.0
2020-12-30,1.19895,1.295,1.17,1.2,12.0,495840.0,0.0,1.0
2020-12-29,1.98,1.98,1.2,1.219823,12.19823,1720282.0,0.0,1.0
2020-12-28,1.285,1.83,1.18,1.274509,12.74509,1023667.0,0.0,1.0
2020-12-24,1.311,1.39,1.2401,1.274509,12.74509,1023667.0,0.0,1.0
2020-12-23,1.09,1.34,1.07,1.2846,12.846,1577147.0,0.0,1.0
2020-12-22,1.0585,1.09,1.01,1.0776,10.776,561483.0,0.0,1.0
2020-12-21,1.02625,1.15,0.9575,1.04805,10.4805,186331.0,0.0,1.0
2020-12-18,1.14,1.18,1.0215,1.0513,10.513,200781.0,0.0,1.0
2020-12-17,1.06,1.15,1.04,1.1362,11.362,187070.0,0.0,1.0
2020-12-16,1.07,1.11,1.0,1.06,10.6,269022.0,0.0,1.0
2020-12-15,1.0,1.1,1.0,1.07,10.7,128575.0,0.0,1.0
2020-12-14,1.047,1.11,1.0069,1.06,10.6,290164.0,0.0,1.0
2020-12-11,1.15,1.2,1.0,1.1,11.0,489013.0,0.0,1.0
2020-12-10,1.25,1.25,1.1279,1.1943,11.943,232589.0,0.0,1.0
2020-12-09,1.3371,1.394,1.19,1.21,12.1,422442.0,0.0,1.0
2020-12-08,1.42,1.46,1.27,1.31,13.1,597848.0,0.0,1.0
2020-12-07,1.3,1.443,1.28,1.385656,13.85656,502257.0,0.0,1.0
2020-12-04,1.2892,1.35,1.0275,1.28,12.8,447426.0,0.0,1.0
