date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,22.12,22.35,21.98,22.14,22.14,62956.0,0.0,1.0
2021-04-15,22.44,22.44,21.19,21.9,21.9,191564.0,0.0,1.0
2021-04-14,22.96,23.0,22.185,22.51,22.51,155507.0,0.0,1.0
2021-04-13,23.1,23.1,22.3804,22.76,22.76,105079.0,0.0,1.0
2021-04-12,22.73,23.185,22.51,23.0,23.0,156179.0,0.0,1.0
2021-04-09,22.5,22.68,22.21,22.49,22.49,109607.0,0.0,1.0
2021-04-08,22.25,22.52,21.74,22.45,22.45,153362.0,0.0,1.0
2021-04-07,22.09,22.115,21.5,21.91,21.91,138652.0,0.0,1.0
2021-04-06,22.52,22.853,21.9,22.0,22.0,126048.0,0.0,1.0
2021-04-05,22.63,22.94,21.59,22.59,22.59,242502.0,0.0,1.0
2021-04-01,21.84,22.5,21.84,22.21,22.21,112619.0,0.0,1.0
2021-03-31,21.58,22.115,21.58,21.88,21.88,140406.0,0.0,1.0
2021-03-30,21.18,21.99,21.16,21.7,21.7,74251.0,0.0,1.0
2021-03-29,21.56,21.84,21.07,21.32,21.32,111807.0,0.0,1.0
2021-03-26,21.25,21.86,21.05,21.49,21.49,280591.0,0.0,1.0
2021-03-25,21.0,21.64,20.45,21.05,21.05,124186.0,0.0,1.0
2021-03-24,21.75,22.39,20.91,20.96,20.96,126224.0,0.0,1.0
2021-03-23,21.72,21.93,21.22,21.51,21.51,123153.0,0.0,1.0
2021-03-22,21.64,21.93,21.0,21.82,21.82,137218.0,0.0,1.0
2021-03-19,21.49,21.99,20.85,21.64,21.64,425562.0,0.0,1.0
2021-03-18,22.47,22.49,21.35,21.38,21.38,115761.0,0.0,1.0
2021-03-17,21.65,22.2,21.65,22.06,22.06,180414.0,0.0,1.0
2021-03-16,21.6,21.76,21.23,21.66,21.66,296011.0,0.0,1.0
2021-03-15,21.42,21.6097,20.53,21.53,21.53,421804.0,0.0,1.0
2021-03-12,21.65,21.923,21.43,21.6,21.6,99606.0,0.0,1.0
2021-03-11,22.38,22.38,21.22,21.37,21.37,213915.0,0.0,1.0
2021-03-10,21.71,22.3,21.71,22.13,22.13,171703.0,0.0,1.0
2021-03-09,21.89,22.02,21.42,21.77,21.77,193770.0,0.0,1.0
2021-03-08,21.44,22.09,21.3,21.89,21.89,226329.0,0.0,1.0
2021-03-05,21.03,21.2,20.17,21.16,21.16,150067.0,0.0,1.0
2021-03-04,21.79,22.1475,20.5058,20.79,20.79,254833.0,0.0,1.0
2021-03-03,21.39,22.2,21.27,21.56,21.56,178089.0,0.0,1.0
2021-03-02,21.64,22.67,21.26,21.51,21.51,370999.0,0.0,1.0
2021-03-01,21.09,21.52,20.72,21.35,21.35,211379.0,0.0,1.0
2021-02-26,20.49,20.97,19.62,20.64,20.64,221563.0,0.0,1.0
2021-02-25,20.96,20.96,20.25,20.67,20.67,274064.0,0.0,1.0
2021-02-24,21.52,22.28,20.52,21.16,21.16,403802.0,2.35,1.0
2021-02-23,26.37,26.37,24.23,24.78,22.3030540196,674989.0,0.0,1.0
2021-02-22,25.0,25.98,24.7,25.12,22.6090684815,476298.0,0.0,1.0
2021-02-19,24.4,24.67,23.09,24.35,21.9160357295,378906.0,0.0,1.0
2021-02-18,22.43,24.19,22.09,23.95,21.5560187154,444166.0,0.0,1.0
2021-02-17,21.05,22.46,20.43,22.29,20.0619481072,446629.0,0.0,1.0
2021-02-16,21.0,21.73,20.2,20.79,18.7118843046,434161.0,0.0,1.0
2021-02-12,19.85,20.07,19.43,19.74,17.7668396427,170903.0,0.0,1.0
2021-02-11,20.82,21.15,18.81,19.56,17.6048319864,408699.0,0.0,1.0
2021-02-10,17.89,18.22,17.78,17.95,16.1557635049,166062.0,0.0,1.0
2021-02-09,17.9,18.45,17.7,17.89,16.1017609528,74996.0,0.0,1.0
2021-02-08,18.08,18.3569,17.81,18.05,16.2457677584,87468.0,0.0,1.0
2021-02-05,18.58,18.68,17.51,17.98,16.1827647809,131036.0,0.0,1.0
2021-02-04,18.19,18.69,17.68,18.48,16.6327860485,137112.0,0.0,1.0
2021-02-03,17.75,18.11,17.563,17.95,16.1557635049,93140.0,0.0,1.0
2021-02-02,16.75,17.99,16.5745,17.67,15.9037515951,95183.0,0.0,1.0
2021-02-01,16.83,16.83,15.99,16.44,14.7966992769,197794.0,0.0,1.0
2021-01-29,17.11,17.36,16.7125,16.96,15.2647213952,100396.0,0.0,1.0
2021-01-28,17.85,17.98,16.71,17.24,15.516733305,159659.0,0.0,1.0
2021-01-27,18.01,18.98,17.08,17.59,15.8317481923,279343.0,0.0,1.0
2021-01-26,18.16,18.55,17.69,18.39,16.5517822203,145302.0,0.0,1.0
2021-01-25,17.72,18.05,17.45,17.91,16.1197618035,226325.0,0.0,1.0
2021-01-22,17.64,17.96,17.62,17.96,16.1647639302,84406.0,0.0,1.0
2021-01-21,18.43,18.45,17.61,17.86,16.0747596767,89656.0,0.0,1.0
2021-01-20,17.81,18.44,17.6865,18.35,16.5157805189,111177.0,0.0,1.0
2021-01-19,18.1,18.2667,17.53,17.71,15.9397532965,314739.0,0.0,1.0
2021-01-15,17.91,18.31,17.55,17.87,16.0837601021,113109.0,0.0,1.0
2021-01-14,17.8,18.54,17.6437,18.23,16.4077754147,130748.0,0.0,1.0
2021-01-13,17.37,17.79,17.0195,17.73,15.9577541472,285814.0,0.0,1.0
2021-01-12,16.85,17.8199,16.43,17.46,15.7147426627,106015.0,0.0,1.0
2021-01-11,16.48,16.97,16.33,16.67,15.00370906,262442.0,0.0,1.0
2021-01-08,17.01,17.2499,16.3,16.51,14.8597022544,329793.0,0.0,1.0
2021-01-07,15.93,16.24,15.36,15.99,14.3916801361,260388.0,0.0,1.0
2021-01-06,15.4,16.37,15.4,15.69,14.1216673756,225934.0,0.0,1.0
2021-01-05,15.42,15.72,14.87,15.0,13.5006380264,425049.0,0.0,1.0
2021-01-04,15.47,15.52,15.01,15.3,13.7706507869,87701.0,0.0,1.0
2020-12-31,15.23,15.6482,15.0,15.2,13.6806465334,76543.0,0.0,1.0
2020-12-30,15.38,15.6,15.05,15.25,13.7256486601,103514.0,0.0,1.0
2020-12-29,15.51,15.51,14.9,15.47,13.9236580179,109432.0,0.0,1.0
2020-12-28,15.49,15.98,15.25,15.4,13.8606550404,78061.0,0.0,1.0
2020-12-24,15.07,15.97,15.07,15.32,13.7886516376,62514.0,0.0,1.0
2020-12-23,15.19,15.37,14.725,14.87,13.3836324968,87252.0,0.0,1.0
2020-12-22,14.9,15.52,14.8,15.0,13.5006380264,48539.0,0.0,1.0
2020-12-21,15.55,15.6435,14.93,15.0,13.5006380264,101923.0,0.0,1.0
2020-12-18,14.85,16.685,14.76,15.66,14.0946660995,235252.0,0.0,1.0
2020-12-17,14.67,14.79,14.14,14.52,13.0686176095,215704.0,0.0,1.0
2020-12-16,14.81,14.9594,14.46,14.56,13.1046193109,89417.0,0.0,1.0
2020-12-15,14.77,14.8,14.34,14.5,13.0506167588,97294.0,0.0,1.0
2020-12-14,15.14,15.2141,14.59,14.59,13.131620587,34712.0,0.0,1.0
2020-12-11,15.0,15.49,14.838,14.99,13.491637601,42942.0,0.0,1.0
2020-12-10,15.09,15.29,15.0,15.1,13.5906422799,179012.0,0.0,1.0
2020-12-09,15.65,15.79,15.19,15.2,13.6806465334,47788.0,0.0,1.0
2020-12-08,15.33,15.97,15.01,15.5,13.9506592939,70747.0,0.0,1.0
2020-12-07,16.01,16.01,15.43,15.49,13.9416588686,52440.0,0.0,1.0
2020-12-04,16.01,16.56,16.01,16.05,14.4456826882,60880.0,0.0,1.0
2020-12-03,16.17,16.4,15.76,15.85,14.2656741812,49311.0,0.0,1.0
2020-12-02,14.38,16.3998,14.38,15.9,14.310676308,229484.0,0.0,1.0
2020-12-01,14.29,14.61,14.24,14.4,12.9606125053,107796.0,0.0,1.0
2020-11-30,14.34,14.34,13.865,14.08,12.6725988941,59598.0,0.0,1.0
2020-11-27,14.72,14.74,14.39,14.44,12.9966142067,30288.0,0.0,1.0
2020-11-25,14.8,14.97,14.46,14.79,13.311629094,31832.0,0.0,1.0
2020-11-24,14.33,15.2,14.2,14.8,13.3206295194,101814.0,0.0,1.0
2020-11-23,14.27,14.59,13.96,14.0,12.6005954913,60313.0,0.0,1.0
2020-11-20,13.9,14.32,13.7,14.0,12.6005954913,61843.0,0.0,1.0
2020-11-19,14.07,14.445,14.04,14.1,12.6905997448,68934.0,0.0,1.0
2020-11-18,13.97,14.64,13.97,14.1,12.6905997448,82736.0,0.0,1.0
2020-11-17,13.29,14.24,13.29,13.88,12.4925903871,120780.0,0.0,1.0
2020-11-16,13.19,13.55,13.15,13.4,12.0605699702,121151.0,0.0,1.0
2020-11-13,12.59,13.22,12.5803,12.74,11.4665418971,79034.0,0.0,1.0
2020-11-12,12.85,13.17,12.2401,12.4,11.1605274351,106663.0,0.0,1.0
2020-11-11,13.54,13.54,12.605,13.03,11.7275542322,66258.0,0.0,1.0
2020-11-10,13.59,13.9139,13.22,13.4,12.0605699702,112827.0,0.0,1.0
2020-11-09,11.77,13.94,11.6,13.31,11.9795661421,211212.0,0.0,1.0
2020-11-06,11.79,11.855,11.17,11.3,10.1704806465,56625.0,0.0,1.0
2020-11-05,11.01,12.24,11.01,11.71,10.5394980859,112200.0,0.0,1.0
2020-11-04,11.06,11.06,10.7001,10.89,9.80146320715,90269.0,0.0,1.0
2020-11-03,10.96,11.38,10.87,11.28,10.1524797958,39757.0,0.0,1.0
2020-11-02,11.04,11.09,10.625,10.72,9.64845597618,35155.0,0.0,1.0
2020-10-30,11.12,11.12,10.65,10.84,9.75646108039,58115.0,0.0,1.0
2020-10-29,10.95,10.95,10.28,10.89,9.80146320715,92500.0,0.0,1.0
2020-10-28,10.81,11.02,10.62,10.64,9.57645257337,108218.0,0.0,1.0
2020-10-27,11.11,11.1799,10.9,11.07,9.96347086346,63125.0,0.0,1.0
2020-10-26,11.16,11.4999,11.05,11.07,9.96347086346,39853.0,0.0,1.0
2020-10-23,11.43,11.7,11.28,11.32,10.1884814972,33171.0,0.0,1.0
2020-10-22,11.34,11.59,11.11,11.32,10.1884814972,45495.0,0.0,1.0
2020-10-21,11.28,11.58,11.2,11.46,10.3144874521,35633.0,0.0,1.0
2020-10-20,11.28,11.7,11.27,11.38,10.2424840493,36966.0,0.0,1.0
2020-10-19,11.26,11.5118,11.19,11.24,10.1164780944,36626.0,0.0,1.0
2020-10-16,11.25,11.44,11.02,11.3,10.1704806465,39215.0,0.0,1.0
2020-10-15,11.22,11.49,11.1671,11.37,10.233483624,36074.0,0.0,1.0
2020-10-14,11.24,11.57,11.24,11.31,10.1794810719,31182.0,0.0,1.0
2020-10-13,11.36,11.375,11.095,11.29,10.1614802212,54157.0,0.0,1.0
2020-10-12,11.54,11.7085,11.38,11.46,10.3144874521,98956.0,0.0,1.0
2020-10-09,11.9,12.2599,11.57,11.58,10.4224925564,35824.0,0.0,1.0
2020-10-08,11.22,12.05,10.99,11.79,10.6115014887,117725.0,0.0,1.0
2020-10-07,11.02,11.15,10.78,10.98,9.8824670353,126403.0,0.0,1.0
2020-10-06,11.38,11.46,10.96,10.96,9.8644661846,76355.0,0.0,1.0
2020-10-05,11.5,11.62,11.29,11.38,10.2424840493,81292.0,0.0,1.0
2020-10-02,11.18,11.75,11.12,11.44,10.2964866014,122994.0,0.0,1.0
2020-10-01,11.65,11.8481,11.43,11.55,10.3954912803,100995.0,0.0,1.0
2020-09-30,11.81,12.05,11.52,11.74,10.566499362,65869.0,0.0,1.0
2020-09-29,12.68,12.85,11.88,11.93,10.7375074436,60846.0,0.0,1.0
2020-09-28,11.34,12.72,11.34,12.53,11.2775329647,204580.0,0.0,1.0
2020-09-25,10.85,11.26,10.82,11.2,10.080476393,106647.0,0.0,1.0
2020-09-24,10.73,11.23,10.5,10.98,9.8824670353,112060.0,0.0,1.0
2020-09-23,11.2,11.24,10.65,10.68,9.61245427478,76681.0,0.0,1.0
2020-09-22,11.16,11.305,10.85,11.03,9.92746916206,96565.0,0.0,1.0
2020-09-21,11.52,11.52,10.85,11.12,10.0084729902,143062.0,0.0,1.0
2020-09-18,12.29,12.42,11.7,11.81,10.6295023394,154548.0,0.0,1.0
2020-09-17,11.87,12.59,11.82,12.2,10.9805189281,62101.0,0.0,1.0
2020-09-16,12.02,12.2738,11.98,11.99,10.7915099957,124304.0,0.0,1.0
2020-09-15,12.09,12.32,11.925,11.98,10.7825095704,61555.0,0.0,1.0
2020-09-14,11.85,12.07,11.8,11.98,10.7825095704,58068.0,0.0,1.0
2020-09-11,11.99,11.99,11.76,11.96,10.7645087197,55982.0,0.0,1.0
2020-09-10,12.03,12.1,11.77,11.88,10.6925053169,77436.0,0.0,1.0
2020-09-09,12.24,12.25,11.9049,12.01,10.8095108464,98945.0,0.0,1.0
2020-09-08,12.27,12.57,12.14,12.17,10.9535176521,59083.0,0.0,1.0
2020-09-04,12.52,12.53,11.91,12.4,11.1605274351,61450.0,0.0,1.0
2020-09-03,12.85,13.07,12.3,12.41,11.1695278605,94012.0,0.0,1.0
2020-09-02,12.75,12.9456,12.62,12.8,11.5205444492,70228.0,0.0,1.0
2020-09-01,12.65,12.87,12.54,12.8,11.5205444492,57900.0,0.0,1.0
2020-08-31,12.87,13.08,12.53,12.77,11.4935431731,79030.0,0.0,1.0
2020-08-28,13.25,13.25,12.94,12.97,11.6735516801,25188.0,0.0,1.0
2020-08-27,12.86,13.435,12.86,13.1,11.7905572097,31799.0,0.0,1.0
2020-08-26,13.02,13.02,12.65,12.81,11.5295448745,59841.0,0.0,1.0
2020-08-25,13.09,13.19,12.91,13.06,11.7545555083,42511.0,0.0,1.0
2020-08-24,12.86,13.11,12.4,13.04,11.7365546576,58082.0,0.0,1.0
2020-08-21,13.06,13.32,12.77,12.86,11.5745470013,70791.0,0.0,1.0
2020-08-20,13.15,13.535,13.14,13.21,11.8895618886,34864.0,0.0,1.0
2020-08-19,13.26,13.8525,13.26,13.39,12.0515695449,44135.0,0.0,1.0
2020-08-18,13.57,13.65,13.24,13.28,11.952564866,41626.0,0.0,1.0
2020-08-17,14.03,14.03,13.49,13.58,12.2225776265,92365.0,0.0,1.0
2020-08-14,13.78,14.1,13.78,13.9,12.5105912378,49431.0,0.0,1.0
2020-08-13,14.01,14.39,13.7,13.91,12.5195916631,41458.0,0.0,1.0
2020-08-12,14.5,14.53,13.96,14.11,12.6996001701,59931.0,0.0,1.0
2020-08-11,14.43,14.92,14.13,14.21,12.7896044236,88717.0,0.0,1.0
2020-08-10,14.07,14.42,13.69,14.35,12.9156103786,96754.0,0.0,1.0
2020-08-07,13.79,14.4525,13.62,13.9,12.5105912378,110599.0,0.0,1.0
2020-08-06,13.79,14.02,13.7,13.81,12.4295874096,67152.0,0.0,1.0
2020-08-05,13.51,13.78,12.9523,13.78,12.4025861336,85257.0,0.0,1.0
2020-08-04,12.39,13.37,12.39,13.31,11.9795661421,76676.0,0.0,1.0
2020-08-03,12.5,12.51,12.18,12.44,11.1965291365,100473.0,0.0,1.0
2020-07-31,12.75,12.7845,12.1,12.43,11.1875287112,92236.0,0.0,1.0
2020-07-30,13.1,13.6,12.52,12.94,11.6465504041,148433.0,0.0,1.0
2020-07-29,13.37,13.7,13.23,13.27,11.9435644407,135585.0,0.0,1.0
2020-07-28,13.36,13.54,13.15,13.32,11.9885665674,106239.0,0.0,1.0
2020-07-27,13.49,13.6184,13.2952,13.48,12.132573373,51935.0,0.0,1.0
2020-07-24,14.15,14.49,13.56,13.6,12.2405784772,129068.0,0.0,1.0
2020-07-23,13.97,14.26,13.68,13.78,12.4025861336,72890.0,0.0,1.0
2020-07-22,14.2,14.43,13.89,14.09,12.6815993194,90239.0,0.0,1.0
