date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,38.5,39.25,38.18,38.59,38.59,130775.0,0.0,1.0
2021-04-15,37.94,38.46,37.47,38.1,38.1,317984.0,0.0,1.0
2021-04-14,38.34,38.53,37.68,37.78,37.78,286921.0,0.0,1.0
2021-04-13,39.41,39.6799,37.76,38.03,38.03,126137.0,0.0,1.0
2021-04-12,38.56,39.5,37.84,39.29,39.29,196245.0,0.0,1.0
2021-04-09,38.81,38.84,37.82,38.58,38.58,157761.0,0.0,1.0
2021-04-08,38.37,38.76,37.63,38.7,38.7,188078.0,0.0,1.0
2021-04-07,38.13,38.5,37.58,37.96,37.96,164735.0,0.0,1.0
2021-04-06,37.92,38.75,37.87,38.29,38.29,156911.0,0.0,1.0
2021-04-05,38.68,38.68,37.23,37.84,37.84,112678.0,0.0,1.0
2021-04-01,37.28,38.8099,37.28,37.93,37.93,128038.0,0.0,1.0
2021-03-31,36.98,37.61,36.66,37.2,37.2,232438.0,0.0,1.0
2021-03-30,35.45,36.99,35.14,36.72,36.72,168719.0,0.0,1.0
2021-03-29,36.72,37.425,35.31,35.41,35.41,166786.0,0.0,1.0
2021-03-26,38.0,38.1488,36.32,37.19,37.19,191299.0,0.0,1.0
2021-03-25,35.8,37.73,35.0546,37.34,37.34,388027.0,0.0,1.0
2021-03-24,36.77,37.46,35.85,36.05,36.05,209700.0,0.0,1.0
2021-03-23,37.16,37.83,35.942,36.19,36.19,248960.0,0.0,1.0
2021-03-22,38.31,38.31,37.06,37.73,37.73,147781.0,0.0,1.0
2021-03-19,38.27,39.47,37.4,37.91,37.91,469529.0,0.0,1.0
2021-03-18,39.92,40.315,38.23,38.45,38.45,140899.0,0.0,1.0
2021-03-17,40.41,40.85,39.5,40.16,40.16,234081.0,0.0,1.0
2021-03-16,41.45,42.15,40.04,40.95,40.95,366829.0,0.0,1.0
2021-03-15,43.7458,43.7458,41.03,41.18,41.18,579377.0,0.0,1.0
2021-03-12,38.95,40.95,38.445,40.84,40.84,528758.0,0.0,1.0
2021-03-11,34.5,38.65,34.32,38.65,38.65,441429.0,0.0,1.0
2021-03-10,34.26,35.07,32.381,34.42,34.42,297168.0,0.0,1.0
2021-03-09,34.09,35.56,33.93,34.28,34.28,227751.0,0.0,1.0
2021-03-08,33.18,34.76,32.8,33.91,33.91,133018.0,0.0,1.0
2021-03-05,32.85,33.4,31.07,33.24,33.24,199858.0,0.0,1.0
2021-03-04,33.02,33.3,31.59,32.29,32.29,169233.0,0.0,1.0
2021-03-03,33.07,33.6,32.6255,32.9,32.9,111043.0,0.0,1.0
2021-03-02,34.06,34.55,33.11,33.17,33.17,210533.0,0.0,1.0
2021-03-01,33.44,34.53,33.2432,34.22,34.22,229886.0,0.0,1.0
2021-02-26,32.73,33.765,32.37,32.89,32.89,148212.0,0.0,1.0
2021-02-25,34.44,34.83,32.16,32.68,32.68,200143.0,0.0,1.0
2021-02-24,33.45,34.955,33.45,34.65,34.65,153366.0,0.025,1.0
2021-02-23,33.15,33.71,32.2791,33.31,33.2859841384,128264.0,0.0,1.0
2021-02-22,32.9,33.88,32.66,33.57,33.5457966835,152250.0,0.0,1.0
2021-02-19,32.79,33.385,32.47,33.07,33.0461571738,180428.0,0.0,1.0
2021-02-18,32.02,32.62,31.61,32.12,32.0968421053,160214.0,0.0,1.0
2021-02-17,31.91,32.2371,31.5,32.06,32.0368853641,126179.0,0.0,1.0
2021-02-16,33.32,33.5,32.06,32.21,32.186777217,140653.0,0.0,1.0
2021-02-12,32.44,33.14,32.13,32.86,32.8363085797,145740.0,0.0,1.0
2021-02-11,33.2,33.6529,31.95,32.64,32.6164671954,94171.0,0.0,1.0
2021-02-10,33.76,33.89,32.79,33.01,32.9862004326,151999.0,0.0,1.0
2021-02-09,34.3,34.66,33.58,33.69,33.6657101658,148054.0,0.0,1.0
2021-02-08,33.77,34.725,33.52,34.5,34.4751261716,189718.0,0.0,1.0
2021-02-05,34.59,34.59,33.0,33.48,33.4558615717,176449.0,0.0,1.0
2021-02-04,33.01,34.505,33.01,33.75,33.725666907,232373.0,0.0,1.0
2021-02-03,32.79,33.1099,32.4431,32.86,32.8363085797,135533.0,0.0,1.0
2021-02-02,31.4,33.0,30.61,32.82,32.7963374189,272337.0,0.0,1.0
2021-02-01,30.4,31.13,29.58,30.95,30.9276856525,189933.0,0.0,1.0
2021-01-29,30.335,31.27,29.85,30.2,30.1782263879,205268.0,0.0,1.0
2021-01-28,31.06,31.19,30.09,30.66,30.6378947368,119287.0,0.0,1.0
2021-01-27,30.58,32.16,30.45,30.61,30.5879307859,281759.0,0.0,1.0
2021-01-26,31.68,31.92,31.23,31.54,31.517260274,306992.0,0.0,1.0
2021-01-25,31.89,32.36,30.61,31.43,31.4073395818,269466.0,0.0,1.0
2021-01-22,31.23,32.23,30.98,31.89,31.8670079308,242707.0,0.0,1.0
2021-01-21,30.88,31.9,30.69,31.7,31.6771449171,177446.0,0.0,1.0
2021-01-20,30.7,31.38,30.3,30.48,30.4580245133,91269.0,0.0,1.0
2021-01-19,29.92,30.775,29.52,30.64,30.6179091565,226700.0,0.0,1.0
2021-01-15,30.55,30.71,28.97,29.435,29.413777938,548021.0,0.0,1.0
2021-01-14,30.74,31.53,30.49,30.81,30.7877865898,140031.0,0.0,1.0
2021-01-13,31.25,31.86,30.29,30.48,30.4580245133,211338.0,0.0,1.0
2021-01-12,30.01,31.06,29.76,31.04,31.0176207642,188520.0,0.0,1.0
2021-01-11,29.32,30.21,29.32,29.97,29.9483922134,115506.0,0.0,1.0
2021-01-08,30.27,30.27,29.15,29.66,29.6386157174,167386.0,0.0,1.0
2021-01-07,29.85,30.49,29.27,30.16,30.1382552271,153758.0,0.0,1.0
2021-01-06,28.64,30.04,28.64,29.72,29.6985724585,214159.0,0.0,1.0
2021-01-05,27.74,28.59,27.74,28.36,28.3395529921,279451.0,0.0,1.0
2021-01-04,28.65,29.39,26.9,27.53,27.5101514059,267350.0,0.0,1.0
2020-12-31,28.73,29.17,28.31,28.38,28.3595385725,177366.0,0.0,1.0
2020-12-30,27.315,28.81,27.315,28.65,28.6293439077,116091.0,0.0,1.0
2020-12-29,28.47,28.525,27.57,28.0,27.9798125451,151209.0,0.0,1.0
2020-12-28,29.0,29.5,28.29,28.51,28.489444845,170929.0,0.0,1.0
2020-12-24,28.1,28.71,28.02,28.64,28.6193511175,73011.0,0.0,1.0
2020-12-23,28.1,28.375,27.92,28.1,28.079740447,168895.0,0.0,1.0
2020-12-22,27.9,28.38,27.77,28.12,28.0997260274,178348.0,0.0,1.0
2020-12-21,27.63,27.99,27.16,27.8,27.7799567412,139092.0,0.0,1.0
2020-12-18,28.64,28.72,27.65,27.97,27.9498341745,385974.0,0.0,1.0
2020-12-17,28.52,28.77,27.93,28.41,28.389516943,150345.0,0.0,1.0
2020-12-16,28.0,28.2267,27.36,27.93,27.9098630137,221633.0,0.0,1.0
2020-12-15,27.24,27.92,26.7806,27.88,27.8598990627,114006.0,0.0,1.0
2020-12-14,28.09,28.3614,26.85,26.96,26.9405623648,182432.0,0.0,1.0
2020-12-11,26.5,28.24,26.3,27.99,27.9698197549,489787.0,0.0,1.0
2020-12-10,27.43,27.74,26.39,26.53,26.5108723864,192285.0,0.0,1.0
2020-12-09,28.03,28.37,27.33,27.69,27.670036049,220528.0,0.0,1.0
2020-12-08,27.13,27.65,26.55,27.63,27.6100793079,179608.0,0.0,1.0
2020-12-07,26.93,27.665,26.35,27.4,27.3802451334,174897.0,0.0,1.0
2020-12-04,26.33,27.17,26.02,26.76,26.7407065609,187351.0,0.0,1.0
2020-12-03,25.84,26.3,25.55,25.98,25.9612689257,146161.0,0.0,1.0
2020-12-02,25.51,26.0,25.3,25.87,25.8513482336,169127.0,0.0,1.0
2020-12-01,26.27,26.7599,25.4496,25.6,25.5815428983,189189.0,0.0,1.0
2020-11-30,25.69,26.05,25.24,25.93,25.9113049748,212652.0,0.0,1.0
2020-11-27,25.92,26.16,25.43,25.74,25.7214419611,101512.0,0.0,1.0
2020-11-25,25.31,26.27,24.85,25.8,25.7813987022,233688.0,0.0,1.0
2020-11-24,25.55,25.93,25.05,25.49,25.4716222062,194842.0,0.0,1.0
2020-11-23,25.5,25.9,25.1401,25.54,25.5215861572,193389.0,0.0,1.0
2020-11-20,24.24,25.45,24.19,25.41,25.3916798846,189958.0,0.0,1.0
2020-11-19,24.3,24.92,24.02,24.42,24.4023936554,153834.0,0.0,1.0
2020-11-18,26.3837,26.62,24.48,24.53,24.5123143475,413460.0,0.0,1.0
2020-11-17,23.98,25.57,23.8,24.98,24.9619899063,225617.0,0.025,1.0
2020-11-16,23.82,24.48,23.48,24.02,23.9786841651,174079.0,0.0,1.0
2020-11-13,23.42,23.6,23.06,23.36,23.3198194045,128831.0,0.0,1.0
2020-11-12,24.04,24.18,22.76,23.1,23.0602666201,153650.0,0.0,1.0
2020-11-11,23.55,23.92,22.755,23.9,23.8588905723,216693.0,0.0,1.0
2020-11-10,23.0,23.8,22.51,23.56,23.5194753926,273467.0,0.0,1.0
2020-11-09,22.73,23.25,22.02,22.5,22.4612986559,265495.0,0.0,1.0
2020-11-06,22.15,22.15,21.27,21.51,21.4730015151,183297.0,0.0,1.0
2020-11-05,21.34,22.59,21.04,22.1,22.0619866798,189130.0,0.0,1.0
2020-11-04,20.3,20.8,19.5589,20.68,20.6444291646,122270.0,0.0,1.0
2020-11-03,19.61,20.55,19.2,20.45,20.4148247784,103243.0,0.0,1.0
