date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,4.0518,4.21,3.94,4.2,4.2,4882346.0,0.0,1.0
2021-04-15,4.4582,4.46,4.04,4.16,4.16,6257682.0,0.0,1.0
2021-04-14,4.52,4.595,4.37,4.4,4.4,4495889.0,0.0,1.0
2021-04-13,4.57,4.6083,4.4,4.6,4.6,3965677.0,0.0,1.0
2021-04-12,4.71,4.7299,4.46,4.56,4.56,3829431.0,0.0,1.0
2021-04-09,4.8,4.82,4.62,4.74,4.74,4091020.0,0.0,1.0
2021-04-08,4.83,4.91,4.69,4.85,4.85,3262871.0,0.0,1.0
2021-04-07,5.0,5.02,4.735,4.76,4.76,4606152.0,0.0,1.0
2021-04-06,4.75,5.08,4.69,4.98,4.98,4849085.0,0.0,1.0
2021-04-05,5.13,5.14,4.72,4.79,4.79,5390635.0,0.0,1.0
2021-04-01,4.9856,5.3,4.86,4.93,4.93,9221774.0,0.0,1.0
2021-03-31,4.77,4.8,4.63,4.7,4.7,3967773.0,0.0,1.0
2021-03-30,4.4,4.67,4.24,4.67,4.67,5557252.0,0.0,1.0
2021-03-29,4.54,4.575,4.35,4.435,4.435,5298556.0,0.0,1.0
2021-03-26,4.69,4.78,4.41,4.62,4.62,6647164.0,0.0,1.0
2021-03-25,4.3117,4.775,4.28,4.75,4.75,8198457.0,0.0,1.0
2021-03-24,5.06,5.09,4.46,4.48,4.48,11671613.0,0.0,1.0
2021-03-23,5.46,5.46,5.02,5.09,5.09,7293990.0,0.0,1.0
2021-03-22,5.6417,5.7,5.45,5.46,5.46,5706722.0,0.0,1.0
2021-03-19,5.41,5.57,5.245,5.57,5.57,4842477.0,0.0,1.0
2021-03-18,5.62,5.69,5.315,5.38,5.38,5033563.0,0.0,1.0
2021-03-17,5.39,5.78,5.24,5.71,5.71,6197416.0,0.0,1.0
2021-03-16,5.85,5.89,5.37,5.51,5.51,7589625.0,0.0,1.0
2021-03-15,5.9365,6.038,5.65,5.75,5.75,8471215.0,0.0,1.0
2021-03-12,5.695,5.855,5.615,5.83,5.83,6934473.0,0.0,1.0
2021-03-11,5.94,5.95,5.745,5.84,5.84,8568924.0,0.0,1.0
2021-03-10,6.05,6.15,5.57,5.74,5.74,10300300.0,0.0,1.0
2021-03-09,5.2111,6.05,5.19,5.77,5.77,17745246.0,0.0,1.0
2021-03-08,5.19,5.43,4.815,4.88,4.88,8322726.0,0.0,1.0
2021-03-05,5.32,5.33,4.34,5.05,5.05,13400121.0,0.0,1.0
2021-03-04,5.5633,5.85,5.0,5.37,5.37,12405196.0,0.0,1.0
2021-03-03,6.21,6.25,5.61,5.66,5.66,9382938.0,0.0,1.0
2021-03-02,6.45,6.54,6.14,6.15,6.15,5430876.0,0.0,1.0
2021-03-01,6.22,6.48,6.05,6.45,6.45,6435800.0,0.0,1.0
2021-02-26,6.17,6.3,5.7613,6.17,6.17,10564269.0,0.0,1.0
2021-02-25,6.6,6.68,6.16,6.28,6.28,7570965.0,0.0,1.0
2021-02-24,6.59,6.83,6.37,6.68,6.68,7211368.0,0.0,1.0
2021-02-23,6.24,6.53,5.3,6.45,6.45,15817352.0,0.0,1.0
2021-02-22,7.14,7.19,6.81,6.89,6.89,10599387.0,0.0,1.0
2021-02-19,7.45,7.53,7.21,7.27,7.27,9249377.0,0.0,1.0
2021-02-18,7.53,7.74,7.2,7.28,7.28,11168906.0,0.0,1.0
2021-02-17,7.94,8.0,7.33,7.75,7.75,13444022.0,0.0,1.0
2021-02-16,8.08,8.24,7.77,7.93,7.93,11877658.0,0.0,1.0
2021-02-12,7.95,8.15,7.85,7.94,7.94,10764147.0,0.0,1.0
2021-02-11,8.51,8.75,7.67,7.92,7.92,19260279.0,0.0,1.0
2021-02-10,8.79,9.11,8.16,8.39,8.39,25291050.0,0.0,1.0
2021-02-09,8.52,9.23,8.085,8.83,8.83,21855912.0,0.0,1.0
2021-02-08,8.82,8.95,8.47,8.53,8.53,11908653.0,0.0,1.0
2021-02-05,9.24,9.4,8.33,8.69,8.69,24456455.0,0.0,1.0
2021-02-04,8.18,9.74,7.98,9.48,9.48,40065601.0,0.0,1.0
2021-02-03,8.22,8.63,8.06,8.13,8.13,14394589.0,0.0,1.0
2021-02-02,7.74,8.22,7.38,8.01,8.01,15789198.0,0.0,1.0
2021-02-01,7.88,7.9,7.16,7.65,7.65,12830964.0,0.0,1.0
2021-01-29,7.95,8.49,7.63,7.69,7.69,16984497.0,0.0,1.0
2021-01-28,8.0,8.2,7.7,7.85,7.85,9754392.0,0.0,1.0
2021-01-27,8.13,8.43,7.7,7.99,7.99,20013837.0,0.0,1.0
2021-01-26,8.25,8.77,7.93,8.63,8.63,22889489.0,0.0,1.0
2021-01-25,8.38,9.21,7.5201,8.15,8.15,31886317.0,0.0,1.0
2021-01-22,8.05,8.35,7.77,8.16,8.16,15042802.0,0.0,1.0
2021-01-21,7.5759,8.43,7.22,8.29,8.29,30555378.0,0.0,1.0
2021-01-20,7.67,7.79,7.08,7.55,7.55,12199689.0,0.0,1.0
2021-01-19,7.64,7.78,7.26,7.59,7.59,13266523.0,0.0,1.0
2021-01-15,8.1661,8.49,7.46,7.55,7.55,19128109.0,0.0,1.0
2021-01-14,8.34,8.34,7.61,7.91,7.91,14436078.0,0.0,1.0
2021-01-13,8.73,8.87,7.87,8.15,8.15,26079168.0,0.0,1.0
2021-01-12,7.35,8.98,7.13,8.87,8.87,53798900.0,0.0,1.0
2021-01-11,6.67,7.57,6.66,7.23,7.23,27796520.0,0.0,1.0
2021-01-08,7.12,7.23,6.56,6.74,6.74,16999304.0,0.0,1.0
2021-01-07,6.89,7.41,6.81,6.94,6.94,17988143.0,0.0,1.0
2021-01-06,6.7976,7.23,6.5,6.65,6.65,17963680.0,0.0,1.0
2021-01-05,6.57,6.8,6.4,6.71,6.71,8373871.0,0.0,1.0
2021-01-04,6.38,6.95,6.26,6.58,6.58,15023726.0,0.0,1.0
2020-12-31,6.61,6.6231,6.17,6.19,6.19,9683839.0,0.0,1.0
2020-12-30,6.54,6.83,6.53,6.61,6.61,11467909.0,0.0,1.0
2020-12-29,6.69,6.74,6.17,6.58,6.58,9672114.0,0.0,1.0
2020-12-28,7.11,7.22,6.6,6.6,6.6,14335842.0,0.0,1.0
2020-12-24,7.04,7.28,6.83,6.95,6.95,10888029.0,0.0,1.0
2020-12-23,7.34,7.34,6.75,7.01,7.01,14653124.0,0.0,1.0
2020-12-22,7.6,7.63,6.9,7.36,7.36,24669147.0,0.0,1.0
2020-12-21,7.17,7.65,7.0,7.4,7.4,14055803.0,0.0,1.0
2020-12-18,7.045,7.5154,6.92,7.29,7.29,15128481.0,0.0,1.0
2020-12-17,6.81,7.525,6.635,6.96,6.96,18742428.0,0.0,1.0
2020-12-16,6.9,6.9,6.45,6.55,6.55,6087086.0,0.0,1.0
2020-12-15,6.4,6.85,6.14,6.81,6.81,11868898.0,0.0,1.0
2020-12-14,6.6045,6.63,6.01,6.31,6.31,7443103.0,0.0,1.0
2020-12-11,6.726,6.88,6.26,6.44,6.44,7926442.0,0.0,1.0
2020-12-10,6.76,7.0774,6.6,6.85,6.85,8221192.0,0.0,1.0
2020-12-09,7.82,7.98,6.85,7.09,7.09,14298865.0,0.0,1.0
2020-12-08,7.55,8.15,7.36,7.67,7.67,16172516.0,0.0,1.0
2020-12-07,6.77,7.95,6.53,7.47,7.47,25808553.0,0.0,1.0
2020-12-04,7.015,7.03,6.57,6.85,6.85,9600348.0,0.0,1.0
2020-12-03,7.34,7.34,6.95,6.98,6.98,9677115.0,0.0,1.0
2020-12-02,6.215,7.55,5.8,6.96,6.96,22881374.0,0.0,1.0
2020-12-01,7.8471,7.86,6.9,6.97,6.97,12058100.0,0.0,1.0
2020-11-30,8.25,8.3,7.26,7.47,7.47,17645714.0,0.0,1.0
2020-11-27,9.1,9.18,8.15,8.27,8.27,14838767.0,0.0,1.0
2020-11-25,7.825,9.25,7.64,8.56,8.56,35398273.0,0.0,1.0
2020-11-24,10.005,10.04,7.49,8.43,8.43,51761240.0,0.0,1.0
2020-11-23,10.33,11.45,9.27,10.2,10.2,68144497.0,0.0,1.0
2020-11-20,9.27,13.6,8.6,10.81,10.81,162854358.0,0.0,1.0
2020-11-19,7.65,9.74,7.5,9.64,9.64,90640582.0,0.0,1.0
2020-11-18,6.46,7.35,6.14,6.91,6.91,32487166.0,0.0,1.0
2020-11-17,6.06,7.0,5.99,6.44,6.44,31456453.0,0.0,1.0
2020-11-16,6.42,6.45,5.37,6.21,6.21,35693877.0,0.0,1.0
2020-11-13,5.34,7.91,5.24,6.29,6.29,171302101.0,0.0,1.0
2020-11-12,3.82,4.99,3.77,4.83,4.83,39285222.0,0.0,1.0
2020-11-11,3.55,3.85,3.4,3.77,3.77,8312759.0,0.0,1.0
2020-11-10,3.69,3.73,3.18,3.43,3.43,7037613.0,0.0,1.0
2020-11-09,3.95,3.98,3.61,3.69,3.69,9424733.0,0.0,1.0
2020-11-06,3.8,3.9,3.46,3.59,3.59,13502988.0,0.0,1.0
2020-11-05,3.15,3.83,3.05,3.77,3.77,28133125.0,0.0,1.0
2020-11-04,2.88,3.17,2.73,2.97,2.97,17356419.0,0.0,1.0
2020-11-03,2.91,2.92,2.75,2.81,2.81,4528046.0,0.0,1.0
2020-11-02,2.88,3.04,2.8,2.86,2.86,7068691.0,0.0,1.0
2020-10-30,2.88,2.89,2.69,2.78,2.78,6884284.0,0.0,1.0
2020-10-29,2.62,3.09,2.58,2.99,2.99,32307894.0,0.0,1.0
2020-10-28,2.54,2.56,2.45,2.5,2.5,2853218.0,0.0,1.0
2020-10-27,2.51,2.64,2.46,2.64,2.64,3594827.0,0.0,1.0
2020-10-26,2.61,2.638,2.45,2.51,2.51,3761037.0,0.0,1.0
2020-10-23,2.63,2.65,2.51,2.64,2.64,2617849.0,0.0,1.0
2020-10-22,2.7399,2.75,2.6,2.62,2.62,3219839.0,0.0,1.0
2020-10-21,2.73,2.79,2.7,2.73,2.73,3415840.0,0.0,1.0
2020-10-20,2.87,2.88,2.74,2.78,2.78,3090440.0,0.0,1.0
2020-10-19,2.88,2.9566,2.8,2.82,2.82,5371238.0,0.0,1.0
2020-10-16,3.04,3.04,2.75,2.81,2.81,7711310.0,0.0,1.0
2020-10-15,2.98,3.06,2.84,3.0,3.0,12269355.0,0.0,1.0
2020-10-14,2.8,3.35,2.71,3.23,3.23,36516361.0,0.0,1.0
2020-10-13,2.8315,2.84,2.65,2.77,2.77,4102912.0,0.0,1.0
2020-10-12,2.6182,2.88,2.52,2.79,2.79,9811720.0,0.0,1.0
2020-10-09,2.48,2.68,2.44,2.6,2.6,5646263.0,0.0,1.0
2020-10-08,2.5,2.5,2.44,2.46,2.46,2040470.0,0.0,1.0
2020-10-07,2.44,2.5,2.42,2.49,2.49,1732083.0,0.0,1.0
2020-10-06,2.51,2.52,2.42,2.44,2.44,2988271.0,0.0,1.0
2020-10-05,2.49,2.52,2.45,2.47,2.47,1689321.0,0.0,1.0
2020-10-02,2.4,2.5,2.4,2.49,2.49,2305313.0,0.0,1.0
2020-10-01,2.55,2.55,2.48,2.52,2.52,1695683.0,0.0,1.0
2020-09-30,2.56,2.57,2.46,2.49,2.49,2482298.0,0.0,1.0
2020-09-29,2.48,2.59,2.47,2.52,2.52,5790586.0,0.0,1.0
2020-09-28,2.47,2.53,2.42,2.49,2.49,2692269.0,0.0,1.0
2020-09-25,2.37,2.54,2.34,2.44,2.44,5197029.0,0.0,1.0
2020-09-24,2.86,2.88,2.38,2.475,2.475,20787970.0,0.0,1.0
2020-09-23,2.5,2.75,2.42,2.56,2.56,13651883.0,0.0,1.0
2020-09-22,2.54,2.555,2.45,2.5,2.5,2170710.0,0.0,1.0
2020-09-21,2.55,2.58,2.4,2.56,2.56,2547971.0,0.0,1.0
2020-09-18,2.61,2.62,2.53,2.58,2.58,2073094.0,0.0,1.0
2020-09-17,2.58,2.66,2.56,2.6,2.6,2688634.0,0.0,1.0
2020-09-16,2.7,2.74,2.58,2.66,2.66,5212593.0,0.0,1.0
2020-09-15,2.57,2.64,2.49,2.61,2.61,3094475.0,0.0,1.0
2020-09-14,2.57,2.5798,2.5,2.56,2.56,1796174.0,0.0,1.0
2020-09-11,2.62,2.62,2.5,2.57,2.57,2201551.0,0.0,1.0
2020-09-10,2.67,2.75,2.57,2.58,2.58,2689576.0,0.0,1.0
2020-09-09,2.61,2.78,2.55,2.66,2.66,3333921.0,0.0,1.0
2020-09-08,2.67,2.69,2.52,2.59,2.59,2100026.0,0.0,1.0
2020-09-04,2.64,2.6595,2.35,2.64,2.64,4238012.0,0.0,1.0
2020-09-03,2.55,2.95,2.52,2.67,2.67,11395406.0,0.0,1.0
2020-09-02,2.71,2.72,2.5,2.65,2.65,4051960.0,0.0,1.0
2020-09-01,2.74,2.77,2.65,2.7,2.7,4172619.0,0.0,1.0
2020-08-31,2.75,2.95,2.6885,2.82,2.82,6921770.0,0.0,1.0
2020-08-28,2.8,2.9,2.75,2.8,2.8,2845783.0,0.0,1.0
2020-08-27,3.07,3.0801,2.7,2.89,2.89,8967870.0,0.0,1.0
2020-08-26,3.18,3.3,3.01,3.07,3.07,24462731.0,0.0,1.0
2020-08-25,2.83,3.08,2.65,3.01,3.01,8151478.0,0.0,1.0
2020-08-24,2.87,2.9,2.63,2.83,2.83,6434747.0,0.0,1.0
2020-08-21,2.63,2.6666,2.58,2.6,2.6,2182229.0,0.0,1.0
2020-08-20,2.7,2.7496,2.59,2.63,2.63,2360470.0,0.0,1.0
2020-08-19,2.81,2.82,2.7,2.72,2.72,2102652.0,0.0,1.0
2020-08-18,2.91,2.94,2.71,2.84,2.84,3346894.0,0.0,1.0
2020-08-17,2.72,3.04,2.66,2.98,2.98,9015427.0,0.0,1.0
2020-08-14,2.66,2.75,2.56,2.73,2.73,2600345.0,0.0,1.0
2020-08-13,2.7238,2.78,2.53,2.63,2.63,3725958.0,0.0,1.0
2020-08-12,2.85,2.91,2.7,2.74,2.74,3096923.0,0.0,1.0
2020-08-11,3.04,3.0495,2.71,2.8,2.8,4534286.0,0.0,1.0
