date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,101.65,101.65,96.89,99.98,99.98,185302.0,0.0,1.0
2021-04-15,100.0,102.15,97.738,101.46,101.46,221077.0,0.0,1.0
2021-04-14,100.86,104.57,98.91,99.19,99.19,412715.0,0.0,1.0
2021-04-13,94.08,100.0,94.08,98.99,98.99,509577.0,0.0,1.0
2021-04-12,92.9,94.0,90.95,93.35,93.35,172695.0,0.0,1.0
2021-04-09,93.13,93.2299,92.0,92.9,92.9,184207.0,0.0,1.0
2021-04-08,91.55,93.29,90.85,93.16,93.16,288814.0,0.0,1.0
2021-04-07,89.0,89.99,87.92,89.63,89.63,201406.0,0.0,1.0
2021-04-06,93.26,93.885,88.86,89.18,89.18,199651.0,0.0,1.0
2021-04-05,91.79,94.8,90.69,93.59,93.59,347912.0,0.0,1.0
2021-04-01,89.47,91.45,88.79,91.36,91.36,360821.0,0.0,1.0
2021-03-31,86.59,90.7,86.48,89.04,89.04,256609.0,0.0,1.0
2021-03-30,84.73,86.37,83.84,85.51,85.51,145757.0,0.0,1.0
2021-03-29,85.4,87.07,83.88,84.76,84.76,288150.0,0.0,1.0
2021-03-26,81.23,85.39,80.62,85.23,85.23,314125.0,0.0,1.0
2021-03-25,81.59,82.66,79.15,81.08,81.08,293487.0,0.0,1.0
2021-03-24,89.62,89.62,82.56,82.72,82.72,284148.0,0.0,1.0
2021-03-23,88.78,90.41,87.7,88.75,88.75,241188.0,0.0,1.0
2021-03-22,91.59,91.59,88.8,89.17,89.17,169426.0,0.0,1.0
2021-03-19,89.35,92.44,88.74,90.67,90.67,364077.0,0.0,1.0
2021-03-18,90.01,90.3765,88.27,89.01,89.01,278339.0,0.0,1.0
2021-03-17,90.02,91.32,82.82,91.17,91.17,355875.0,0.0,1.0
2021-03-16,92.16,95.29,91.02,92.1,92.1,236998.0,0.0,1.0
2021-03-15,91.74,92.72,90.77,91.23,91.23,189676.0,0.0,1.0
2021-03-12,90.09,92.35,89.19,92.29,92.29,214108.0,0.0,1.0
2021-03-11,88.83,92.86,87.96,92.03,92.03,486260.0,0.0,1.0
2021-03-10,88.32,89.76,86.46,86.61,86.61,204121.0,0.0,1.0
2021-03-09,86.17,88.82,85.98,87.13,87.13,205689.0,0.0,1.0
2021-03-08,87.47,89.6973,83.17,83.85,83.85,393365.0,0.0,1.0
2021-03-05,85.14,87.49,82.5,87.43,87.43,395726.0,0.0,1.0
2021-03-04,85.15,87.46,82.12,84.25,84.25,391503.0,0.0,1.0
2021-03-03,86.15,87.52,84.66,85.86,85.86,311616.0,0.21,1.0
2021-03-02,88.83,88.83,85.56,86.15,85.93980481,424933.0,0.0,1.0
2021-03-01,89.47,89.8,88.1691,89.22,89.0023143953,375440.0,0.0,1.0
2021-02-26,87.36,90.52,85.4,88.23,88.014729871,264515.0,0.0,1.0
2021-02-25,89.42,91.31,85.2,86.28,86.0694876264,314257.0,0.0,1.0
2021-02-24,90.7,91.21,88.79,89.54,89.3215336354,378355.0,0.0,1.0
2021-02-23,91.26,92.12,88.25,91.2,90.9774834437,480547.0,0.0,1.0
2021-02-22,93.25,94.88,91.63,92.4,92.1745555943,303000.0,0.0,1.0
2021-02-19,95.77,96.5,93.82,95.32,95.0874311607,335487.0,0.0,1.0
2021-02-18,89.28,95.93,88.771,95.19,94.9577483444,503964.0,0.0,1.0
2021-02-17,86.54,94.17,85.87,90.26,90.0397769258,694818.0,0.0,1.0
2021-02-16,85.92,87.78,83.68,86.19,85.9797072151,589247.0,0.0,1.0
2021-02-12,88.92,92.46,85.47,86.0,85.7901707912,784079.0,0.0,1.0
2021-02-11,75.31,86.46,73.5,85.35,85.1417567097,792894.0,0.0,1.0
2021-02-10,69.78,70.56,68.14,69.08,68.9114534681,316798.0,0.0,1.0
2021-02-09,68.17,69.84,67.83,69.4,69.2306727083,279482.0,0.0,1.0
2021-02-08,70.73,70.98,68.11,68.5,68.3328685953,271236.0,0.0,1.0
2021-02-05,70.0,71.4,69.5,70.91,70.7369884977,314502.0,0.0,1.0
2021-02-04,67.32,69.7,67.1,69.39,69.220697107,372628.0,0.0,1.0
2021-02-03,67.07,67.92,66.05,66.76,66.597113977,150580.0,0.0,1.0
2021-02-02,66.65,68.08,66.47,66.88,66.7168211921,183707.0,0.0,1.0
2021-02-01,65.31,66.81,62.21,66.28,66.1182851168,335524.0,0.0,1.0
2021-01-29,66.13,66.8694,64.98,64.99,64.8314325549,244644.0,0.0,1.0
2021-01-28,67.34,67.96,65.03,66.55,66.3876263506,283860.0,0.0,1.0
2021-01-27,72.34,72.5,66.71,67.21,67.0460160335,479076.0,0.0,1.0
2021-01-26,71.33,73.51,71.16,73.19,73.0114255838,238929.0,0.0,1.0
2021-01-25,71.25,71.91,68.5001,70.19,70.0187452074,248697.0,0.0,1.0
2021-01-22,71.7,71.78,69.81,70.95,70.7768909028,164430.0,0.0,1.0
2021-01-21,72.95,73.15,71.4503,72.0,71.8243290345,170410.0,0.0,1.0
2021-01-20,73.4,73.72,71.88,72.78,72.6024259324,152372.0,0.0,1.0
2021-01-19,70.67,71.47,69.4033,71.37,71.1958661555,191895.0,0.0,1.0
2021-01-15,74.02,74.0325,69.7,69.95,69.7793307773,272475.0,0.0,1.0
2021-01-14,73.59,76.809,73.59,74.9,74.7172533984,352588.0,0.0,1.0
2021-01-13,72.33,73.87,70.92,73.65,73.4703032415,251595.0,0.0,1.0
2021-01-12,69.81,70.92,69.32,70.34,70.1683792262,377210.0,0.0,1.0
2021-01-11,69.55,70.01,67.84,69.52,69.3503799233,274259.0,0.0,1.0
2021-01-08,68.74,70.13,68.6109,70.0,69.8292087835,291669.0,0.0,1.0
2021-01-07,67.35,68.99,65.35,68.22,68.0535517602,248171.0,0.0,1.0
2021-01-06,69.3,70.42,66.84,67.14,66.9761868247,363385.0,0.0,1.0
2021-01-05,68.99,70.91,68.6,70.22,70.0486720112,211501.0,0.0,1.0
2021-01-04,72.74,77.07,67.78,69.27,69.1009898919,913108.0,0.0,1.0
2020-12-31,72.0,72.26,70.76,71.7,71.5250609969,336066.0,0.0,1.0
2020-12-30,71.48,72.8076,71.36,71.72,71.5450121994,162826.0,0.0,1.0
2020-12-29,71.68,71.87,70.43,71.23,71.0562077379,152413.0,0.0,1.0
2020-12-28,72.49,72.7499,70.44,71.42,71.2457441617,147955.0,0.0,1.0
2020-12-24,71.54,72.68,71.18,71.76,71.5849146044,118010.0,0.0,1.0
2020-12-23,73.85,74.06,71.22,71.54,71.3654513768,188155.0,0.0,1.0
2020-12-22,72.1,74.06,72.055,73.52,73.3406204252,251881.0,0.0,1.0
2020-12-21,69.58,72.43,68.8,72.38,72.2034018822,301971.0,0.0,1.0
2020-12-18,70.68,70.68,69.44,70.43,70.2581596375,559911.0,0.0,1.0
2020-12-17,68.81,70.48,68.7,70.33,70.158403625,279995.0,0.0,1.0
2020-12-16,68.06,68.91,67.71,68.75,68.5822586267,200433.0,0.0,1.0
2020-12-15,66.97,68.598,66.97,68.17,68.0036737539,278899.0,0.0,1.0
2020-12-14,68.28,69.09,66.68,66.71,66.5472359707,320877.0,0.0,1.0
2020-12-11,68.58,69.48,67.0,67.58,67.4151132799,234278.0,0.0,1.0
2020-12-10,66.48,69.25,66.187,68.66,68.4924782154,288190.0,0.0,1.0
2020-12-09,70.33,71.3199,65.83,66.87,66.7068455908,561427.0,0.0,1.0
2020-12-08,71.26,71.5,69.51,70.13,69.9588915999,421424.0,0.0,1.0
2020-12-07,73.23,73.425,71.1,71.48,71.3055977693,282272.0,0.0,1.0
2020-12-04,71.87,74.259,71.27,73.19,73.0114255838,362295.0,0.0,1.0
2020-12-03,72.87,73.03,70.2,72.02,71.844280237,351582.0,0.0,1.0
2020-12-02,70.72,73.62,69.5401,72.57,72.392938306,845131.0,0.17,1.0
2020-12-01,70.05,73.65,68.55,70.44,70.1039122117,1236329.0,0.0,1.0
2020-11-30,68.63,69.42,67.28,68.76,68.431927934,408455.0,0.0,1.0
2020-11-27,67.32,68.69,67.22,68.6,68.2726913362,105127.0,0.0,1.0
2020-11-25,67.82,68.73,67.06,67.25,66.9291325417,272415.0,0.0,1.0
2020-11-24,68.57,69.27,67.26,67.82,67.4964129216,211840.0,0.0,1.0
2020-11-23,69.66,69.96,68.51,68.58,68.2527867614,266570.0,0.0,1.0
2020-11-20,69.0,69.46,68.44,69.0,68.6707828309,278179.0,0.0,1.0
2020-11-19,68.26,69.11,67.66,69.0,68.6707828309,157517.0,0.0,1.0
2020-11-18,69.63,69.85,68.15,68.26,67.9343135657,306888.0,0.0,1.0
2020-11-17,69.28,70.56,68.3,69.91,69.5764409812,232364.0,0.0,1.0
2020-11-16,68.0,69.03,67.57,68.9,68.5712599572,222075.0,0.0,1.0
2020-11-13,68.22,69.23,67.49,68.22,67.8945044162,164540.0,0.0,1.0
2020-11-12,69.37,70.29,67.46,67.78,67.4566037721,252076.0,0.0,1.0
2020-11-11,67.82,69.04,67.5257,68.74,68.4120233593,538557.0,0.0,1.0
2020-11-10,69.65,69.665,66.5,66.9,66.5808024838,397318.0,0.0,1.0
2020-11-09,71.29,71.61,68.89,69.66,69.3276337971,279880.0,0.0,1.0
2020-11-06,70.18,71.97,69.52,70.87,70.5318605684,191702.0,0.0,1.0
2020-11-05,68.75,70.53,68.62,70.18,69.8451527401,207437.0,0.0,1.0
2020-11-04,65.96,68.63,65.96,67.77,67.4466514847,216792.0,0.0,1.0
2020-11-03,64.84,66.76,64.09,66.09,65.7746672071,485103.0,0.0,1.0
2020-11-02,65.76,65.85,63.31,64.76,64.4510129873,507669.0,0.0,1.0
2020-10-30,66.58,67.58,64.88,65.45,65.1377208156,456391.0,0.0,1.0
2020-10-29,69.63,70.06,67.07,67.1,66.7798482312,415466.0,0.0,1.0
2020-10-28,70.44,71.4372,68.45,69.63,69.297776935,380949.0,0.0,1.0
2020-10-27,67.92,70.6,65.9,69.63,69.297776935,911089.0,0.0,1.0
2020-10-26,62.08,62.72,60.85,62.27,61.972893433,415613.0,0.0,1.0
2020-10-23,61.71,62.87,61.62,62.72,62.4207463645,334417.0,0.0,1.0
2020-10-22,60.34,60.92,59.49,60.32,60.0321973965,187396.0,0.0,1.0
2020-10-21,62.0,62.58,59.73,60.21,59.9227222354,204748.0,0.0,1.0
2020-10-20,60.53,61.99,60.015,61.55,61.2563287426,356248.0,0.0,1.0
2020-10-19,61.09,61.73,60.23,60.34,60.0521019712,226762.0,0.0,1.0
2020-10-16,60.42,61.37,59.93,60.96,60.669143788,305856.0,0.0,1.0
2020-10-15,59.73,60.44,59.1,60.38,60.0919111207,240890.0,0.0,1.0
2020-10-14,60.1,60.51,59.33,60.19,59.9028176607,215497.0,0.0,1.0
2020-10-13,59.12,60.09,57.755,59.9,59.6142013271,154774.0,0.0,1.0
2020-10-12,58.51,59.5,57.91,59.34,59.0568732345,290170.0,0.0,1.0
2020-10-09,57.44,58.45,57.11,58.26,57.9820261989,200175.0,0.0,1.0
2020-10-08,58.0,58.43,56.615,56.93,56.6583719791,276978.0,0.0,1.0
2020-10-07,55.66,57.93,55.66,57.84,57.5640301295,468654.0,0.0,1.0
2020-10-06,53.39,56.4,52.94,55.4,55.135672012,728172.0,0.0,1.0
2020-10-05,53.02,53.84,52.05,53.48,53.2248328376,200292.0,0.0,1.0
2020-10-02,52.08,53.21,51.4118,52.41,52.1599380893,371625.0,0.0,1.0
2020-10-01,52.29,53.61,51.99,53.21,52.9561210787,323789.0,0.0,1.0
2020-09-30,53.25,53.25,51.62,52.04,51.7917034568,283484.0,0.0,1.0
2020-09-29,53.82,54.35,52.63,53.4,53.1452145387,324196.0,0.0,1.0
2020-09-28,52.39,52.57,51.47,52.04,51.7917034568,192959.0,0.0,1.0
2020-09-25,50.78,52.24,50.34,52.14,51.8912263304,257361.0,0.0,1.0
2020-09-24,52.34,52.34,50.19,50.53,50.2889080644,259081.0,0.0,1.0
2020-09-23,52.69,53.17,52.0201,52.45,52.1997472388,347228.0,0.0,1.0
2020-09-22,52.0,53.33,50.37,53.03,52.7769799061,329792.0,0.0,1.0
2020-09-21,52.63,53.14,50.49,51.73,51.4831825484,342502.0,0.0,1.0
2020-09-18,52.96,54.49,52.58,53.52,53.2646419871,1172223.0,0.0,1.0
2020-09-17,51.09,52.45,50.295,52.35,52.1002243651,347111.0,0.0,1.0
2020-09-16,50.66,52.52,50.48,52.05,51.8016557441,430404.0,0.0,1.0
2020-09-15,49.72,50.71,49.14,50.66,50.4182878002,319381.0,0.0,1.0
2020-09-14,48.92,49.89,48.83,49.18,48.9453492699,238348.0,0.0,1.0
2020-09-11,48.99,49.275,47.97,48.57,48.3382597405,302956.0,0.0,1.0
2020-09-10,49.49,50.135,48.5,48.51,48.2785460163,279063.0,0.0,1.0
2020-09-09,48.87,49.57,48.2,49.05,48.8159695341,360820.0,0.0,1.0
2020-09-08,46.65,48.88,46.65,48.1,47.8705022343,370267.0,0.0,1.0
2020-09-04,48.0,48.48,45.7,47.65,47.4226493028,377471.0,0.0,1.0
2020-09-03,50.44,50.44,47.47,47.93,47.701313349,466468.0,0.0,1.0
2020-09-02,51.77,51.88,50.02,50.97,50.7268087085,286688.0,0.17,1.0
2020-09-01,51.0,51.86,50.74,51.77,51.3517185538,273886.0,0.0,1.0
