date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,1.66,1.7299,1.63,1.7,1.7,521170.0,0.0,1.0
2021-04-15,1.67,1.69,1.64,1.69,1.69,495720.0,0.0,1.0
2021-04-14,1.7,1.77,1.67,1.67,1.67,499946.0,0.0,1.0
2021-04-13,1.75,1.76,1.7,1.7,1.7,656385.0,0.0,1.0
2021-04-12,1.75,1.85,1.71,1.77,1.77,1020813.0,0.0,1.0
2021-04-09,1.77,1.78,1.73,1.75,1.75,183959.0,0.0,1.0
2021-04-08,1.8,1.8002,1.76,1.79,1.79,171603.0,0.0,1.0
2021-04-07,1.82,1.8286,1.76,1.76,1.76,255746.0,0.0,1.0
2021-04-06,1.78,1.8379,1.77,1.82,1.82,250005.0,0.0,1.0
2021-04-05,1.77,1.8,1.7201,1.8,1.8,427919.0,0.0,1.0
2021-04-01,1.75,1.76,1.72,1.74,1.74,330514.0,0.0,1.0
2021-03-31,1.76,1.77,1.73,1.73,1.73,328344.0,0.0,1.0
2021-03-30,1.77,1.7799,1.73,1.76,1.76,249951.0,0.0,1.0
2021-03-29,1.83,1.83,1.75,1.77,1.77,228929.0,0.0,1.0
2021-03-26,1.78,1.82,1.78,1.81,1.81,393828.0,0.0,1.0
2021-03-25,1.75,1.8299,1.735,1.78,1.78,525694.0,0.0,1.0
2021-03-24,1.88,1.9099,1.76,1.77,1.77,655598.0,0.0,1.0
2021-03-23,1.87,1.91,1.835,1.91,1.91,476692.0,0.0,1.0
2021-03-22,1.9,1.92,1.845,1.88,1.88,245610.0,0.0,1.0
2021-03-19,1.83,1.93,1.8,1.88,1.88,315124.0,0.0,1.0
2021-03-18,1.96,2.0,1.84,1.87,1.87,434375.0,0.0,1.0
2021-03-17,1.91,1.97,1.9,1.94,1.94,475771.0,0.0,1.0
2021-03-16,2.01,2.07,1.93,1.93,1.93,686042.0,0.0,1.0
2021-03-15,1.9,2.04,1.88,2.02,2.02,1263423.0,0.0,1.0
2021-03-12,1.88,1.88,1.84,1.87,1.87,330094.0,0.0,1.0
2021-03-11,1.87,1.9,1.82,1.85,1.85,791545.0,0.0,1.0
2021-03-10,1.74,1.88,1.71,1.87,1.87,966078.0,0.0,1.0
2021-03-09,1.65,1.76,1.64,1.71,1.71,1129571.0,0.0,1.0
2021-03-08,1.76,1.79,1.68,1.75,1.75,796647.0,0.0,1.0
2021-03-05,1.8,1.825,1.6701,1.77,1.77,996257.0,0.0,1.0
2021-03-04,1.73,1.87,1.66,1.8,1.8,2336055.0,0.0,1.0
2021-03-03,1.88,1.895,1.78,1.8,1.8,869086.0,0.0,1.0
2021-03-02,1.91,1.94,1.86,1.88,1.88,580896.0,0.0,1.0
2021-03-01,1.9,1.9519,1.9,1.91,1.91,704770.0,0.0,1.0
2021-02-26,1.9,1.935,1.79,1.89,1.89,1504030.0,0.0,1.0
2021-02-25,1.98,1.99,1.86,1.9,1.9,1509172.0,0.0,1.0
2021-02-24,1.95,2.08,1.92,1.97,1.97,1102572.0,0.0,1.0
2021-02-23,1.92,2.04,1.8101,1.96,1.96,2638045.0,0.0,1.0
2021-02-22,2.13,2.2117,2.03,2.12,2.12,4387385.0,0.0,1.0
2021-02-19,2.59,2.8,2.29,2.36,2.36,16075093.0,0.0,1.0
2021-02-18,2.47,3.63,2.29,2.39,2.39,60940572.0,0.0,1.0
2021-02-17,2.04,2.26,1.96,2.18,2.18,1968946.0,0.0,1.0
2021-02-16,1.97,2.08,1.95,2.08,2.08,556205.0,0.0,1.0
2021-02-12,1.96,2.02,1.9101,1.93,1.93,523386.0,0.0,1.0
2021-02-11,1.97,2.0,1.94,2.0,2.0,299449.0,0.0,1.0
2021-02-10,2.02,2.02,1.895,1.94,1.94,341936.0,0.0,1.0
2021-02-09,1.96,1.985,1.9,1.97,1.97,493910.0,0.0,1.0
2021-02-08,1.93,1.97,1.89,1.91,1.91,435215.0,0.0,1.0
2021-02-05,1.86,1.91,1.845,1.89,1.89,425250.0,0.0,1.0
2021-02-04,1.84,1.87,1.7781,1.85,1.85,347691.0,0.0,1.0
2021-02-03,1.83,1.83,1.7901,1.82,1.82,102047.0,0.0,1.0
2021-02-02,1.85,1.85,1.77,1.8,1.8,253396.0,0.0,1.0
2021-02-01,1.73,1.81,1.73,1.81,1.81,514897.0,0.0,1.0
2021-01-29,1.78,1.81,1.7,1.73,1.73,460017.0,0.0,1.0
2021-01-28,1.78,1.84,1.74,1.78,1.78,218162.0,0.0,1.0
2021-01-27,1.81,1.85,1.71,1.78,1.78,1163453.0,0.0,1.0
2021-01-26,1.85,1.8999,1.81,1.84,1.84,428522.0,0.0,1.0
2021-01-25,1.84,1.84,1.77,1.82,1.82,382633.0,0.0,1.0
2021-01-22,1.83,1.86,1.81,1.85,1.85,269527.0,0.0,1.0
2021-01-21,1.93,1.935,1.83,1.84,1.84,563967.0,0.0,1.0
2021-01-20,1.9,1.95,1.88,1.93,1.93,250966.0,0.0,1.0
2021-01-19,1.98,1.98,1.9,1.9,1.9,265131.0,0.0,1.0
2021-01-15,1.98,1.98,1.902,1.94,1.94,268572.0,0.0,1.0
2021-01-14,1.98,2.005,1.92,1.95,1.95,477598.0,0.0,1.0
