date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,1.6,1.7,1.55,1.57,1.57,41293.0,0.0,1.0
2021-04-15,1.62,1.74,1.59,1.62,1.62,31044.0,0.0,1.0
2021-04-14,1.62,1.67,1.59,1.59,1.59,17261.0,0.0,1.0
2021-04-13,1.5901,1.76,1.5901,1.62,1.62,41619.0,0.0,1.0
2021-04-12,1.68,1.68,1.59,1.62,1.62,26002.0,0.0,1.0
2021-04-09,1.64,1.64,1.56,1.59,1.59,39466.0,0.0,1.0
2021-04-08,1.61,1.62,1.56,1.56,1.56,35277.0,0.0,1.0
2021-04-07,1.6,1.64,1.55,1.6,1.6,52847.0,0.0,1.0
2021-04-06,1.715,1.77,1.6,1.65,1.65,80266.0,0.0,1.0
2021-04-05,1.58,1.79,1.58,1.68,1.68,75972.0,0.0,1.0
2021-04-01,1.534,1.8,1.51,1.79,1.79,90738.0,0.0,1.0
2021-03-31,1.52,1.8,1.45,1.5,1.5,151971.0,0.0,1.0
2021-03-30,1.5701,1.64,1.53,1.59,1.59,18637.0,0.0,1.0
2021-03-29,1.7,1.75,1.56,1.56,1.56,37557.0,0.0,1.0
2021-03-26,1.665,1.69,1.54,1.665,1.665,46150.0,0.0,1.0
2021-03-25,1.6696,1.74,1.545,1.64,1.64,77332.0,0.0,1.0
2021-03-24,1.88,1.92,1.7,1.705,1.705,75547.0,0.0,1.0
2021-03-23,2.15,2.15,1.84,1.92,1.92,206689.0,0.0,1.0
2021-03-22,2.2,2.2,2.01,2.07,2.07,20986.0,0.0,1.0
2021-03-19,2.15,2.15,1.99,2.15,2.15,40969.0,0.0,1.0
2021-03-18,2.19,2.19,1.8999,2.15,2.15,95346.0,0.0,1.0
2021-03-17,2.16,2.16,1.95,2.01,2.01,39517.0,0.0,1.0
2021-03-16,2.2,2.2,1.95,2.16,2.16,68960.0,0.0,1.0
2021-03-15,2.12,2.12,1.915,2.07,2.07,83973.0,0.0,1.0
2021-03-12,2.21,2.21,1.83,2.12,2.12,29305.0,0.0,1.0
2021-03-11,2.08,2.08,1.95,2.04,2.04,45430.0,0.0,1.0
2021-03-10,1.6,1.95,1.5,1.95,1.95,114924.0,0.0,1.0
2021-03-09,1.85,1.85,1.45,1.6,1.6,141139.0,0.0,1.0
2021-03-08,1.75,1.75,1.5,1.5,1.5,98660.0,0.0,1.0
2021-03-05,1.38,1.605,1.25,1.5,1.5,222792.0,0.0,1.0
2021-03-04,1.55,1.7,1.26,1.33,1.33,190494.0,0.0,1.0
2021-03-03,1.91,2.1,1.4,1.56,1.56,282846.0,0.0,1.0
2021-03-02,2.2,2.24,1.95,1.95,1.95,90349.0,0.0,1.0
2021-03-01,2.25,2.27,2.05,2.19,2.19,178613.0,0.0,1.0
2021-02-26,2.0,2.2,1.96,2.0,2.0,108173.0,0.0,1.0
2021-02-25,2.1,2.25,1.99,2.05,2.05,199416.0,0.0,1.0
2021-02-24,2.5,2.5,2.18,2.18,2.18,267974.0,0.0,1.0
2021-02-23,2.7,2.8,2.33,2.4,2.4,362514.0,0.0,1.0
2021-02-22,3.5,3.5,2.8,2.95,2.95,1185689.0,0.0,1.0
2021-02-19,2.9467,2.96,2.65,2.7,2.7,104703.0,0.0,1.0
2021-02-18,2.67,2.75,2.61,2.64,2.64,52739.0,0.0,1.0
2021-02-17,2.7945,2.845,2.61,2.61,2.61,50250.0,0.0,1.0
2021-02-16,2.89,2.9,2.6,2.6922,2.6922,56646.0,0.0,1.0
2021-02-12,2.95,2.96,2.55,2.7594,2.7594,66093.0,0.0,1.0
2021-02-11,2.96,2.99,2.7,2.705,2.705,44522.0,0.0,1.0
2021-02-10,2.8683,2.98,2.6,2.87,2.87,53738.0,0.0,1.0
2021-02-09,2.95,3.19,2.7,2.8,2.8,66381.0,0.0,1.0
2021-02-08,2.79,2.95,2.76,2.88,2.88,117909.0,0.0,1.0
2021-02-05,2.7,2.76,2.52,2.6985,2.6985,74874.0,0.0,1.0
2021-02-04,2.6,2.76,2.51,2.63,2.63,43543.0,0.0,1.0
2021-02-03,2.45,2.68,2.3,2.62,2.62,59909.0,0.0,1.0
2021-02-02,2.03,2.45,2.03,2.39,2.39,62612.0,0.0,1.0
2021-02-01,2.0,2.18,1.89,2.15,2.15,144457.0,0.0,1.0
2021-01-29,1.8501,2.0,1.7501,1.875,1.875,41292.0,0.0,1.0
2021-01-28,1.8001,2.0655,1.79,1.85,1.85,138398.0,0.0,1.0
2021-01-27,2.09,2.1,1.75,1.8,1.8,97968.0,0.0,1.0
