date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,6.54,6.69,5.93,6.22,6.22,610378.0,0.0,1.0
2021-04-15,6.67,6.8,6.49,6.51,6.51,461661.0,0.0,1.0
2021-04-14,6.44,6.915,6.33,6.63,6.63,770477.0,0.0,1.0
2021-04-13,6.42,6.55,6.14,6.32,6.32,1383381.0,0.0,1.0
2021-04-12,6.57,6.57,6.2506,6.36,6.36,589649.0,0.0,1.0
2021-04-09,6.8,6.83,6.4,6.53,6.53,1261610.0,0.0,1.0
2021-04-08,7.03,7.25,6.78,6.85,6.85,431900.0,0.0,1.0
2021-04-07,7.25,7.35,6.88,6.93,6.93,528280.0,0.0,1.0
2021-04-06,7.46,7.52,7.21,7.22,7.22,580954.0,0.0,1.0
2021-04-05,7.58,7.766,7.35,7.48,7.48,577418.0,0.0,1.0
2021-04-01,7.44,8.2,7.35,7.385,7.385,964352.0,0.0,1.0
2021-03-31,7.42,7.68,7.3,7.48,7.48,1215672.0,0.0,1.0
2021-03-30,7.41,7.82,7.14,7.245,7.245,966982.0,0.0,1.0
2021-03-29,7.94,8.09,7.385,7.44,7.44,481189.0,0.0,1.0
2021-03-26,8.34,8.39,7.36,8.01,8.01,574596.0,0.0,1.0
2021-03-25,8.0,8.235,7.5,8.22,8.22,620491.0,0.0,1.0
2021-03-24,9.03,9.03,8.0,8.17,8.17,492791.0,0.0,1.0
2021-03-23,9.32,9.4329,8.67,8.9,8.9,390095.0,0.0,1.0
2021-03-22,9.21,9.5,8.89,9.41,9.41,579007.0,0.0,1.0
2021-03-19,8.68,9.31,8.495,9.18,9.18,2215391.0,0.0,1.0
2021-03-18,8.89,9.18,8.46,8.56,8.56,530466.0,0.0,1.0
2021-03-17,8.94,9.43,8.43,9.17,9.17,592016.0,0.0,1.0
2021-03-16,9.46,9.805,8.96,9.245,9.245,520072.0,0.0,1.0
2021-03-15,9.08,9.725,8.95,9.41,9.41,539209.0,0.0,1.0
2021-03-12,9.0,9.09,8.66,8.98,8.98,413965.0,0.0,1.0
2021-03-11,9.22,9.44,8.8,9.3,9.3,732367.0,0.0,1.0
2021-03-10,8.56,9.21,8.34,8.93,8.93,1067368.0,0.0,1.0
2021-03-09,7.54,8.53,7.32,8.23,8.23,977445.0,0.0,1.0
2021-03-08,7.88,7.95,7.035,7.19,7.19,848443.0,0.0,1.0
2021-03-05,8.02,8.16,6.7,7.94,7.94,1186726.0,0.0,1.0
2021-03-04,8.28,8.66,7.32,7.96,7.96,1017801.0,0.0,1.0
2021-03-03,9.075,9.15,8.2,8.32,8.32,754175.0,0.0,1.0
2021-03-02,9.45,9.6277,9.16,9.16,9.16,755838.0,0.0,1.0
2021-03-01,8.92,9.7499,8.722,9.45,9.45,825107.0,0.0,1.0
2021-02-26,9.01,9.335,8.21,8.4,8.4,917813.0,0.0,1.0
2021-02-25,9.4,9.49,8.75,8.88,8.88,907204.0,0.0,1.0
2021-02-24,9.19,9.72,8.85,9.38,9.38,464741.0,0.0,1.0
2021-02-23,10.1,10.15,8.81,9.18,9.18,1342828.0,0.0,1.0
