date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,45.33,45.8383,44.83,45.53,45.53,39191.0,0.0,1.0
2021-04-15,44.82,45.11,44.27,45.03,45.03,37305.0,0.0,1.0
2021-04-14,44.24,44.97,44.22,44.57,44.57,54214.0,0.0,1.0
2021-04-13,44.7,44.7,43.93,44.3,44.3,101764.0,0.0,1.0
2021-04-12,43.97,44.79,43.73,44.69,44.69,56711.0,0.0,1.0
2021-04-09,43.35,44.14,42.9,43.97,43.97,54137.0,0.0,1.0
2021-04-08,43.09,43.61,42.81,43.42,43.42,170891.0,0.0,1.0
2021-04-07,44.0,44.0,42.5201,42.9,42.9,69590.0,0.0,1.0
2021-04-06,44.0,44.51,43.76,43.9,43.9,108520.0,0.0,1.0
2021-04-05,42.38,43.86,42.31,43.47,43.47,88418.0,0.0,1.0
2021-04-01,41.73,42.27,41.1912,42.27,42.27,40523.0,0.0,1.0
2021-03-31,40.56,41.7288,40.56,41.12,41.12,124662.0,0.0,1.0
2021-03-30,40.59,40.77,39.88,40.44,40.44,70962.0,0.0,1.0
2021-03-29,41.39,42.17,40.39,40.65,40.65,95322.0,0.0,1.0
2021-03-26,39.48,41.2,39.48,40.92,40.92,74055.0,0.0,1.0
2021-03-25,37.9,39.46,37.845,39.33,39.33,61325.0,0.0,1.0
2021-03-24,38.69,39.0399,38.09,38.09,38.09,92020.0,0.0,1.0
2021-03-23,38.81,39.14,38.25,38.5,38.5,80693.0,0.0,1.0
2021-03-22,38.23,38.76,37.94,38.75,38.75,74297.0,0.0,1.0
2021-03-19,38.03,38.3617,37.68,37.89,37.89,388212.0,0.0,1.0
2021-03-18,38.07,38.42,37.55,38.01,38.01,81919.0,0.0,1.0
2021-03-17,38.11,38.3498,37.51,38.21,38.21,61010.0,0.0,1.0
2021-03-16,37.92,38.38,37.695,38.32,38.32,72404.0,0.0,1.0
2021-03-15,37.9,38.1,37.53,38.08,38.08,68465.0,0.0,1.0
2021-03-12,37.81,38.0,37.27,37.88,37.88,60635.0,0.0,1.0
2021-03-11,37.54,37.94,37.26,37.94,37.94,102777.0,0.0,1.0
2021-03-10,36.9,37.7999,36.75,37.27,37.27,70959.0,0.0,1.0
2021-03-09,36.7,37.0,36.29,36.7,36.7,56257.0,0.0,1.0
2021-03-08,35.69,36.98,35.69,36.21,36.21,86425.0,0.0,1.0
2021-03-05,35.46,35.8499,34.43,35.47,35.47,102797.0,0.16,1.0
2021-03-04,36.99,37.32,35.2116,35.36,35.2012124614,91886.0,0.0,1.0
2021-03-03,36.76,37.51,36.65,36.81,36.6447010946,134991.0,0.0,1.0
