date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,9.91,9.91,9.78,9.86,9.86,129063.0,0.0,1.0
2021-04-15,9.93,9.93,9.755,9.83,9.83,117659.0,0.0,1.0
2021-04-14,9.91,9.96,9.87,9.91,9.91,160596.0,0.0,1.0
2021-04-13,9.8,9.935,9.755,9.92,9.92,216466.0,0.0,1.0
2021-04-12,9.87,9.94,9.765,9.83,9.83,141349.0,0.0,1.0
2021-04-09,9.89,9.97,9.8,9.85,9.85,234767.0,0.0,1.0
2021-04-08,9.74,9.85,9.69,9.85,9.85,139090.0,0.0,1.0
2021-04-07,9.76,9.7899,9.67,9.7,9.7,131589.0,0.0,1.0
2021-04-06,9.69,9.85,9.62,9.81,9.81,169762.0,0.0,1.0
2021-04-05,9.72,9.77,9.61,9.68,9.68,187020.0,0.0,1.0
2021-04-01,9.5,9.72,9.485,9.65,9.65,207922.0,0.0,1.0
2021-03-31,9.39,9.5,9.37,9.46,9.46,209097.0,0.0,1.0
2021-03-30,9.31,9.38,9.1346,9.35,9.35,233098.0,0.0,1.0
2021-03-29,9.35,9.36,9.09,9.25,9.25,317993.0,0.0,1.0
2021-03-26,8.98,9.47,8.96,9.36,9.36,461315.0,0.0,1.0
2021-03-25,8.87,9.0,8.82,8.96,8.96,219090.0,0.0,1.0
2021-03-24,9.19,9.19,8.915,8.93,8.93,148088.0,0.0,1.0
2021-03-23,9.11,9.29,9.07,9.11,9.11,298202.0,0.0,1.0
2021-03-22,9.0,9.23,8.86,9.18,9.18,433510.0,0.0,1.0
2021-03-19,8.64,9.02,8.62,8.92,8.92,387921.0,0.0,1.0
2021-03-18,8.87,8.87,8.63,8.66,8.66,419004.0,0.0,1.0
2021-03-17,9.05,9.05,8.765,8.94,8.94,314820.0,0.0,1.0
2021-03-16,9.01,9.08,8.96,9.05,9.05,259590.0,0.0,1.0
2021-03-15,9.0,9.09,8.925,9.01,9.01,277613.0,0.0,1.0
2021-03-12,8.82,9.0,8.77,8.99,8.99,224654.0,0.0,1.0
2021-03-11,8.74,8.93,8.64,8.9,8.9,178493.0,0.0,1.0
2021-03-10,8.6,8.74,8.59,8.67,8.67,172626.0,0.0,1.0
2021-03-09,8.57,8.76,8.53,8.55,8.55,220698.0,0.0,1.0
2021-03-08,8.22,8.515,8.14,8.43,8.43,403870.0,0.0,1.0
2021-03-05,8.29,8.37,7.96,8.14,8.14,566973.0,0.0,1.0
2021-03-04,8.43,8.45,8.095,8.23,8.23,564636.0,0.0,1.0
2021-03-03,8.86,8.89,8.28,8.37,8.37,652463.0,0.0,1.0
2021-03-02,8.87,8.93,8.71,8.92,8.92,312721.0,0.0,1.0
2021-03-01,8.85,8.925,8.79,8.8,8.8,237041.0,0.0,1.0
2021-02-26,8.91,8.95,8.65,8.69,8.69,286377.0,0.0359,1.0
2021-02-25,9.04,9.12,8.85,8.92,8.88325562446,246177.0,0.0,1.0
2021-02-24,9.22,9.38,8.95,9.04,9.00276130551,356458.0,0.0,1.0
2021-02-23,9.52,9.52,9.11,9.23,9.19197863383,517843.0,0.0,1.0
2021-02-22,9.67,9.7,9.335,9.49,9.45090760943,594526.0,0.0,1.0
2021-02-19,9.49,9.78,9.4,9.71,9.67000135802,364858.0,0.0,1.0
2021-02-18,9.38,9.495,9.27,9.41,9.3712371554,835259.0,0.0,1.0
2021-02-17,9.38,9.42,9.29,9.39,9.35131954189,174385.0,0.0,1.0
2021-02-16,9.29,9.405,9.29,9.38,9.34136073514,134419.0,0.0,1.0
2021-02-12,9.31,9.31,9.19,9.23,9.19197863383,188599.0,0.0,1.0
2021-02-11,9.24,9.35,9.2,9.31,9.27164908786,133466.0,0.0,1.0
2021-02-10,9.27,9.27,9.19,9.24,9.20193744059,163339.0,0.0,1.0
2021-02-09,9.17,9.23,9.05,9.22,9.18201982708,214291.0,0.0,1.0
2021-02-08,9.02,9.14,8.98,9.11,9.07247295279,193727.0,0.0,1.0
2021-02-05,8.84,9.01,8.84,8.98,8.94300846499,227016.0,0.0,1.0
