date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,0.18,0.185651,0.155,0.172,0.172,38347.0,0.0,1.0
2021-04-15,0.2,0.2,0.1719,0.1996,0.1996,50339.0,0.0,1.0
2021-04-14,0.26,0.26,0.18,0.219,0.219,68599.0,0.0,1.0
2021-04-13,0.22,0.24,0.22,0.22,0.22,48688.0,0.0,1.0
2021-04-12,0.222,0.25,0.2202,0.223,0.223,13147.0,0.0,1.0
2021-04-09,0.23425,0.23425,0.2215,0.2215,0.2215,12651.0,0.0,1.0
2021-04-08,0.2499,0.25,0.2215,0.2216,0.2216,6641.0,0.0,1.0
2021-04-07,0.2268,0.26,0.22,0.22,0.22,5923.0,0.0,1.0
2021-04-06,0.24,0.24,0.22,0.225,0.225,7336.0,0.0,1.0
2021-04-05,0.2374,0.242,0.2296,0.23,0.23,15564.0,0.0,1.0
2021-04-01,0.2496,0.2496,0.205,0.2101,0.2101,8911.0,0.0,1.0
2021-03-31,0.24,0.2598,0.2002,0.230999,0.230999,22985.0,0.0,1.0
2021-03-30,0.2483,0.25,0.189,0.24,0.24,16484.0,0.0,1.0
2021-03-29,0.203,0.229401,0.189,0.21,0.21,47284.0,0.0,1.0
2021-03-26,0.211201,0.26,0.21,0.2184,0.2184,7903.0,0.0,1.0
2021-03-25,0.2697,0.2698,0.211,0.229899,0.229899,17293.0,0.0,1.0
2021-03-24,0.256,0.2832,0.2339,0.25,0.25,36764.0,0.0,1.0
2021-03-23,0.2604,0.297601,0.25,0.26,0.26,81774.0,0.0,1.0
2021-03-22,0.275,0.287,0.2613,0.287,0.287,8821.0,0.0,1.0
2021-03-19,0.25,0.284,0.25,0.271,0.271,31691.0,0.0,1.0
2021-03-18,0.31,0.31,0.2531,0.2538,0.2538,31494.0,0.0,1.0
2021-03-17,0.250101,0.266,0.250101,0.2535,0.2535,6423.0,0.0,1.0
2021-03-16,0.257,0.275,0.257,0.266,0.266,24624.0,0.0,1.0
2021-03-15,0.25,0.275,0.25,0.275,0.275,50959.0,0.0,1.0
2021-03-12,0.266,0.279899,0.248301,0.2788,0.2788,45102.0,0.0,1.0
2021-03-11,0.252,0.267,0.245,0.266,0.266,9814.0,0.0,1.0
2021-03-10,0.2595,0.2781,0.2595,0.264876,0.264876,16110.0,0.0,1.0
2021-03-09,0.263,0.27,0.2255,0.265,0.265,68384.0,0.0,1.0
2021-03-08,0.26,0.297899,0.2599,0.2623,0.2623,7979.0,0.0,1.0
2021-03-05,0.25,0.297899,0.240101,0.279899,0.279899,26394.0,0.0,1.0
2021-03-04,0.298,0.298,0.211,0.2599,0.2599,102883.0,0.0,1.0
2021-03-03,0.279899,0.289899,0.239,0.265,0.265,91257.0,0.0,1.0
2021-03-02,0.28,0.2998,0.252,0.28,0.28,95887.0,0.0,1.0
2021-03-01,0.31,0.33,0.27,0.28,0.28,59667.0,0.0,1.0
2021-02-26,0.3,0.3,0.265,0.2855,0.2855,77396.0,0.0,1.0
2021-02-25,0.33,0.33,0.291,0.291,0.291,107405.0,0.0,1.0
2021-02-24,0.348,0.348,0.3,0.32,0.32,19837.0,0.0,1.0
2021-02-23,0.302,0.374899,0.2699,0.32,0.32,303781.0,0.0,1.0
2021-02-22,0.3211,0.36,0.2924,0.3187,0.3187,106517.0,0.0,1.0
2021-02-19,0.37,0.38,0.303,0.3301,0.3301,159570.0,0.0,1.0
2021-02-18,0.3402,0.4,0.296,0.3488,0.3488,142376.0,0.0,1.0
2021-02-17,0.37,0.439899,0.355,0.396,0.396,112951.0,0.0,1.0
2021-02-16,0.41,0.449899,0.34,0.36,0.36,64593.0,0.0,1.0
2021-02-12,0.48,0.48,0.3612,0.41,0.41,59463.0,0.0,1.0
2021-02-11,0.49,0.49,0.41,0.4201,0.4201,121516.0,0.0,1.0
2021-02-10,0.4188,0.4795,0.4,0.431,0.431,281084.0,0.0,1.0
2021-02-09,0.316,0.452,0.31,0.399,0.399,446526.0,0.0,1.0
2021-02-08,0.299,0.3,0.25,0.299,0.299,325867.0,0.0,1.0
2021-02-05,0.255,0.2946,0.25,0.275,0.275,225460.0,0.0,1.0
2021-02-04,0.306,0.306,0.2,0.2545,0.2545,730436.0,0.0,1.0
2021-02-03,0.35,0.35,0.252,0.276,0.276,479057.0,0.0,1.0
2021-02-02,0.612,0.62,0.1993,0.3199,0.3199,1260262.0,0.0,1.0
2021-02-01,0.84,0.84,0.6002,0.688,0.688,196163.0,0.0,1.0
2021-01-29,0.81,0.85,0.520101,0.84,0.84,163625.0,0.0,1.0
2021-01-28,0.78,0.909,0.78,0.839,0.839,123651.0,0.0,1.0
2021-01-27,0.77,0.9,0.76,0.8202,0.8202,225817.0,0.0,1.0
2021-01-26,0.6996,0.77,0.66,0.77,0.77,71597.0,0.0,1.0
2021-01-25,0.65,0.79,0.58,0.7,0.7,335023.0,0.0,1.0
