date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,14.7,14.71,14.53,14.6,14.6,203140.0,0.0,1.0
2021-04-15,14.38,14.63,14.36,14.58,14.58,233314.0,0.0,1.0
2021-04-14,14.45,14.54,14.34,14.37,14.37,178288.0,0.0,1.0
2021-04-13,14.57,14.579,14.362,14.44,14.44,173287.0,0.0,1.0
2021-04-12,14.66,14.77,14.48,14.55,14.55,347662.0,0.0,1.0
2021-04-09,14.57,14.67,14.51,14.56,14.56,158428.0,0.0,1.0
2021-04-08,14.48,14.54,14.34,14.51,14.51,186871.0,0.0,1.0
2021-04-07,14.43,14.58,14.36,14.43,14.43,339475.0,0.0,1.0
2021-04-06,14.25,14.4,14.25,14.39,14.39,272482.0,0.0,1.0
2021-04-05,14.09,14.3271,14.0389,14.17,14.17,351843.0,0.0,1.0
2021-04-01,13.92,14.11,13.85,14.06,14.06,206487.0,0.0,1.0
2021-03-31,14.12,14.14,13.83,13.83,13.83,326992.0,0.0,1.0
2021-03-30,13.86,14.07,13.84,14.02,14.02,157648.0,0.0,1.0
2021-03-29,13.88,13.99,13.7328,13.87,13.87,238580.0,0.0,1.0
2021-03-26,13.83,13.93,13.72,13.93,13.93,164215.0,0.0,1.0
2021-03-25,13.47,13.85,13.47,13.83,13.83,327152.0,0.0,1.0
2021-03-24,13.93,14.12,13.66,13.68,13.68,339701.0,0.0,1.0
2021-03-23,14.0,14.13,13.84,13.91,13.91,273024.0,0.0,1.0
2021-03-22,14.25,14.348,14.03,14.09,14.09,268974.0,0.0,1.0
2021-03-19,13.94,14.25,13.91,14.235,14.235,693805.0,0.0,1.0
2021-03-18,14.42,14.47,13.84,13.88,13.88,484637.0,0.0,1.0
2021-03-17,14.47,14.49,14.25,14.43,14.43,433623.0,0.0,1.0
2021-03-16,14.8902,14.8902,14.15,14.37,14.37,777039.0,0.3,1.0
2021-03-15,14.87,15.07,14.5121,14.89,14.5855010225,1456955.0,0.0,1.0
2021-03-12,14.05,14.4,13.93,14.4,14.1055214724,545895.0,0.0,1.0
2021-03-11,14.14,14.14,13.9,13.93,13.6451329243,301481.0,0.0,1.0
2021-03-10,13.91,14.15,13.8363,14.08,13.7920654397,342095.0,0.0,1.0
2021-03-09,13.8,13.91,13.68,13.8,13.517791411,319648.0,0.0,1.0
2021-03-08,13.58,13.89,13.31,13.8,13.517791411,466546.0,0.0,1.0
2021-03-05,13.46,13.56,12.82,13.345,13.0720961145,402206.0,0.0,1.0
2021-03-04,13.9,13.99,13.32,13.45,13.1749488753,530634.0,0.0,1.0
2021-03-03,13.75,13.9366,13.59,13.88,13.5961554192,608820.0,0.0,1.0
2021-03-02,13.27,13.65,13.07,13.6,13.3218813906,710387.0,0.0,1.0
2021-03-01,13.07,13.19,12.86,13.12,12.8516973415,430781.0,0.0,1.0
2021-02-26,12.55,13.05,12.53,12.91,12.64599182,500356.0,0.0,1.0
2021-02-25,12.74,12.79,12.41,12.5,12.2443762781,252983.0,0.0,1.0
2021-02-24,12.5,12.725,12.47,12.62,12.3619222904,257828.0,0.0,1.0
2021-02-23,12.54,12.54,12.35,12.47,12.2149897751,237888.0,0.0,1.0
2021-02-22,12.36,12.51,12.3003,12.45,12.195398773,198227.0,0.0,1.0
2021-02-19,12.5,12.53,12.27,12.33,12.0778527607,163943.0,0.0,1.0
2021-02-18,12.34,12.52,12.34,12.45,12.195398773,187034.0,0.0,1.0
2021-02-17,12.56,12.56,12.31,12.42,12.1660122699,201707.0,0.0,1.0
2021-02-16,12.4,12.51,12.38,12.46,12.205194274,222579.0,0.0,1.0
2021-02-12,12.3,12.36,12.17,12.29,12.0386707566,201962.0,0.0,1.0
2021-02-11,12.24,12.43,12.14,12.28,12.0288752556,279924.0,0.0,1.0
2021-02-10,12.0,12.29,11.96,12.26,12.0092842536,228275.0,0.0,1.0
2021-02-09,12.05,12.13,11.86,11.95,11.7056237219,257448.0,0.0,1.0
2021-02-08,12.06,12.1,11.99,12.06,11.8133742331,233607.0,0.0,1.0
2021-02-05,12.06,12.14,12.0151,12.07,11.8231697342,186593.0,0.0,1.0
2021-02-04,11.99,12.1501,11.95,11.99,11.744805726,169699.0,0.0,1.0
2021-02-03,11.86,11.97,11.83,11.9,11.6566462168,134201.0,0.0,1.0
2021-02-02,11.79,11.96,11.7375,11.86,11.6174642127,178763.0,0.0,1.0
2021-02-01,11.41,11.78,11.41,11.7,11.4607361963,228103.0,0.0,1.0
2021-01-29,11.52,11.62,11.3,11.39,11.1570756646,330928.0,0.0,1.0
2021-01-28,11.68,11.87,11.42,11.55,11.313803681,332430.0,0.0,1.0
2021-01-27,11.9,11.99,11.75,11.75,11.5097137014,210110.0,0.0,1.0
2021-01-26,11.92,12.05,11.91,11.96,11.7154192229,192677.0,0.0,1.0
2021-01-25,11.87,12.0747,11.8108,11.86,11.6174642127,291411.0,0.0,1.0
2021-01-22,11.97,11.9864,11.7678,11.89,11.6468507157,127255.0,0.0,1.0
2021-01-21,11.98,12.1,11.91,11.98,11.7350102249,181100.0,0.0,1.0
2021-01-20,11.85,11.98,11.84,11.96,11.7154192229,130290.0,0.0,1.0
2021-01-19,12.0,12.05,11.79,11.87,11.6272597137,275581.0,0.0,1.0
2021-01-15,11.92,12.0,11.7923,11.96,11.7154192229,221552.0,0.0,1.0
2021-01-14,11.75,12.0,11.65,11.92,11.6762372188,262745.0,0.0,1.0
2021-01-13,11.51,11.74,11.5,11.7,11.4607361963,298205.0,0.0,1.0
2021-01-12,11.38,11.54,11.35,11.51,11.2746216769,247254.0,0.0,1.0
2021-01-11,11.5,11.55,11.29,11.32,11.0885071575,211996.0,0.0,1.0
2021-01-08,11.5,11.6,11.35,11.6,11.3627811861,180493.0,0.0,1.0
2021-01-07,11.43,11.62,11.39,11.49,11.2550306748,194461.0,0.0,1.0
2021-01-06,11.3,11.5,11.27,11.37,11.1374846626,203479.0,0.0,1.0
2021-01-05,11.18,11.35,11.17,11.24,11.0101431493,220051.0,0.0,1.0
2021-01-04,11.32,11.3629,11.065,11.13,10.902392638,256220.0,0.0,1.0
2020-12-31,11.29,11.44,11.1837,11.24,11.0101431493,329632.0,0.0,1.0
2020-12-30,11.11,11.27,11.05,11.19,10.9611656442,332921.0,0.0,1.0
2020-12-29,11.25,11.38,11.11,11.2,10.9709611452,321315.0,0.0,1.0
2020-12-28,11.3,11.57,11.17,11.18,10.9513701431,320016.0,0.0,1.0
2020-12-24,11.35,11.53,11.24,11.31,11.0787116564,125725.0,0.0,1.0
2020-12-23,11.27,11.61,11.2636,11.28,11.0493251534,385364.0,0.0,1.0
2020-12-22,11.64,11.74,11.1,11.2,10.9709611452,508013.0,0.0,1.0
2020-12-21,11.77,11.9,11.59,11.64,11.4019631902,343346.0,0.0,1.0
2020-12-18,11.91,11.96,11.66,11.76,11.5195092025,628643.0,0.0,1.0
2020-12-17,11.76,11.88,11.57,11.87,11.6272597137,359222.0,0.0,1.0
2020-12-16,12.08,12.08,11.76,11.83,11.5880777096,331689.0,0.3,1.0
2020-12-15,12.17,12.3,12.04,12.275,11.7265996608,375393.0,0.0,1.0
2020-12-14,12.13,12.2231,11.97,12.1,11.5594179956,337193.0,0.0,1.0
2020-12-11,11.99,12.205,11.975,12.08,11.5403115195,177024.0,0.0,1.0
2020-12-10,12.22,12.22,11.88,11.99,11.4543323774,513531.0,0.0,1.0
2020-12-09,12.35,12.39,12.1785,12.3,11.7504827558,293161.0,0.0,1.0
2020-12-08,12.37,12.43,12.25,12.33,11.7791424699,238284.0,0.0,1.0
2020-12-07,12.48,12.48,12.16,12.37,11.8173554219,393125.0,0.0,1.0
2020-12-04,12.27,12.42,12.21,12.36,11.8078021839,298908.0,0.0,1.0
2020-12-03,12.15,12.26,12.1,12.25,11.7027165658,282390.0,0.0,1.0
2020-12-02,12.18,12.2199,12.0968,12.15,11.6071841856,265195.0,0.0,1.0
2020-12-01,11.95,12.16,11.9332,12.09,11.5498647576,219662.0,0.0,1.0
2020-11-30,11.89,11.95,11.78,11.85,11.3205870453,342554.0,0.0,1.0
2020-11-27,11.87,11.96,11.78,11.89,11.3587999973,66772.0,0.0,1.0
2020-11-25,11.97,11.9799,11.85,11.95,11.4161194254,138863.0,0.0,1.0
2020-11-24,11.74,12.205,11.74,11.96,11.4256726634,397299.0,0.0,1.0
2020-11-23,11.31,11.71,11.31,11.57,11.0530963809,232335.0,0.0,1.0
2020-11-20,11.3,11.405,11.28,11.31,10.8047121926,133777.0,0.0,1.0
2020-11-19,11.14,11.4,11.1101,11.37,10.8620316206,103014.0,0.0,1.0
2020-11-18,11.14,11.47,11.12,11.17,10.6709668604,245526.0,0.0,1.0
2020-11-17,11.11,11.25,11.11,11.15,10.6518603844,143171.0,0.0,1.0
2020-11-16,11.07,11.28,11.07,11.23,10.7282862885,301508.0,0.0,1.0
2020-11-13,10.74,10.99,10.74,10.89,10.403476196,276033.0,0.0,1.0
2020-11-12,10.6,10.8424,10.38,10.52,10.0500063895,389809.0,0.0,1.0
2020-11-11,10.77,10.99,10.68,10.88,10.393922958,212143.0,0.0,1.0
2020-11-10,10.5,10.78,10.46,10.71,10.2315179118,301931.0,0.0,1.0
2020-11-09,10.84,11.29,10.34,10.42,9.95447400941,477499.0,0.0,1.0
2020-11-06,10.44,10.6,10.335,10.52,10.0500063895,233914.0,0.0,1.0
2020-11-05,10.28,10.61,10.22,10.48,10.0117934375,275598.0,0.0,1.0
2020-11-04,9.84,10.35,9.66,10.25,9.79206896319,534324.0,0.0,1.0
2020-11-03,9.55,10.24,9.55,10.05,9.60100420293,488226.0,0.0,1.0
2020-11-02,9.31,9.61,9.3,9.42,8.99915020812,241090.0,0.0,1.0
2020-10-30,9.22,9.355,9.1,9.25,8.8367451619,258384.0,0.0,1.0
2020-10-29,9.27,9.35,9.15,9.22,8.80808544787,295257.0,0.0,1.0
2020-10-28,9.44,9.49,9.2,9.24,8.82719192389,342039.0,0.0,1.0
2020-10-27,9.5,9.64,9.5,9.53,9.10423582627,156720.0,0.0,1.0
2020-10-26,9.76,9.8,9.5,9.53,9.10423582627,195335.0,0.0,1.0
2020-10-23,9.8,9.84,9.73,9.81,9.37172649063,140605.0,0.0,1.0
2020-10-22,9.65,9.73,9.6,9.73,9.29530058652,109272.0,0.0,1.0
2020-10-21,9.74,9.75,9.63,9.64,9.20932144441,141062.0,0.0,1.0
2020-10-20,9.71,9.8,9.65,9.73,9.29530058652,183616.0,0.0,1.0
2020-10-19,9.84,9.9,9.65,9.7,9.26664087248,226055.0,0.0,1.0
2020-10-16,9.84,9.89,9.78,9.79,9.3526200146,159834.0,0.0,1.0
2020-10-15,9.74,9.85,9.74,9.84,9.40038620466,115561.0,0.0,1.0
2020-10-14,9.8,9.89,9.76,9.81,9.37172649063,216784.0,0.0,1.0
2020-10-13,9.77,9.84,9.74,9.79,9.3526200146,125996.0,0.0,1.0
2020-10-12,9.87,9.89,9.65,9.8,9.36217325261,234012.0,0.0,1.0
2020-10-09,9.91,9.96,9.87,9.89,9.44815239473,169797.0,0.0,1.0
2020-10-08,9.92,9.99,9.825,9.89,9.44815239473,269445.0,0.0,1.0
2020-10-07,10.02,10.0667,9.8701,9.91,9.46725887075,199701.0,0.0,1.0
2020-10-06,10.03,10.18,9.9,9.9,9.45770563274,154893.0,0.0,1.0
2020-10-05,10.05,10.15,9.92,9.98,9.53413153684,140165.0,0.0,1.0
2020-10-02,9.8,10.1,9.7988,10.0,9.55323801287,151804.0,0.0,1.0
2020-10-01,9.81,9.91,9.75,9.91,9.46725887075,170643.0,0.0,1.0
2020-09-30,10.03,10.2,9.8,9.81,9.37172649063,380604.0,0.0,1.0
2020-09-29,10.18,10.22,9.77,9.81,9.37172649063,319539.0,0.0,1.0
2020-09-28,9.85,10.27,9.85,10.21,9.75385601114,456425.0,0.0,1.0
2020-09-25,9.47,9.7899,9.47,9.76,9.32396030056,231579.0,0.0,1.0
2020-09-24,9.65,9.7,9.43,9.455,9.03258654117,296394.0,0.0,1.0
2020-09-23,9.84,9.89,9.555,9.62,9.19021496838,329376.0,0.0,1.0
2020-09-22,9.92,10.0,9.72,9.77,9.33351353857,268125.0,0.0,1.0
2020-09-21,9.94,10.125,9.78,9.86,9.41949268069,644750.0,0.0,1.0
2020-09-18,9.8,9.94,9.72,9.89,9.44815239473,594476.0,0.0,1.0
2020-09-17,9.72,9.81,9.66,9.76,9.32396030056,344169.0,0.0,1.0
2020-09-16,9.75,9.9,9.74,9.85,9.40993944268,392624.0,0.0,1.0
2020-09-15,9.74,9.93,9.7261,9.78,9.34306677659,368244.0,0.3,1.0
2020-09-14,10.06,10.24,9.91,10.09,9.35233569204,718758.0,0.0,1.0
2020-09-11,9.92,9.99,9.8,9.97,9.2411087066,254347.0,0.0,1.0
2020-09-10,9.88,10.02,9.78,9.82,9.10207497481,256454.0,0.0,1.0
2020-09-09,9.95,10.02,9.82,9.91,9.18549521389,290520.0,0.0,1.0
2020-09-08,9.85,10.05,9.78,9.94,9.21330196025,340185.0,0.0,1.0
