date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,82.58,83.93,82.51,83.29,83.29,489895.0,0.0,1.0
2021-04-15,81.14,82.11,80.1,81.99,81.99,324684.0,0.0,1.0
2021-04-14,80.02,81.505,79.44,80.66,80.66,391433.0,0.0,1.0
2021-04-13,80.94,81.41,78.84,79.9,79.9,432234.0,0.0,1.0
2021-04-12,81.0,81.56,80.07,81.18,81.18,384992.0,0.0,1.0
2021-04-09,80.29,81.54,80.11,81.51,81.51,402279.0,0.0,1.0
2021-04-08,81.18,81.18,79.07,80.11,80.11,523557.0,0.0,1.0
2021-04-07,81.74,82.22,80.545,81.19,81.19,298322.0,0.0,1.0
2021-04-06,82.82,84.135,81.6,81.84,81.84,380227.0,0.0,1.0
2021-04-05,83.07,83.73,82.065,82.61,82.61,412482.0,0.0,1.0
2021-04-01,81.56,82.23,80.38,82.16,82.16,364968.0,0.0,1.0
2021-03-31,82.36,82.93,81.005,81.17,81.17,563416.0,0.0,1.0
2021-03-30,81.94,82.3699,80.93,82.12,82.12,427954.0,0.0,1.0
2021-03-29,82.39,83.86,81.21,81.34,81.34,443260.0,0.0,1.0
2021-03-26,81.64,82.62,80.51,82.54,82.54,340921.0,0.0,1.0
2021-03-25,77.89,80.74,76.23,80.52,80.52,460785.0,0.0,1.0
2021-03-24,79.19,80.58,78.24,78.36,78.36,444899.0,0.0,1.0
2021-03-23,81.0,81.43,77.515,78.07,78.07,668524.0,0.0,1.0
2021-03-22,83.48,83.54,80.17,82.11,82.11,424955.0,0.0,1.0
2021-03-19,84.44,84.92,82.47,84.02,84.02,1305745.0,0.0,1.0
2021-03-18,86.01,87.92,84.49,84.83,84.83,557219.0,0.0,1.0
2021-03-17,82.93,85.99,82.93,85.84,85.84,753004.0,0.0,1.0
2021-03-16,82.63,85.98,82.21,83.03,83.03,1690295.0,0.0,1.0
2021-03-15,82.78,83.22,80.925,82.93,82.93,522418.0,0.0,1.0
2021-03-12,82.64,83.8,81.91,82.32,82.32,454551.0,0.0,1.0
2021-03-11,80.5,82.97,79.72,82.51,82.51,597533.0,0.0,1.0
