date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,10.0,10.0,9.97,9.99,9.99,7231.0,0.0,1.0
2021-04-15,9.95,10.0,9.95,10.0,10.0,3071.0,0.0,1.0
2021-04-14,9.94,9.97,9.94,9.97,9.97,30136.0,0.0,1.0
2021-04-13,9.98,9.995,9.97,9.97,9.97,28247.0,0.0,1.0
2021-04-12,9.99,10.0,9.95,9.99,9.99,101467.0,0.0,1.0
2021-04-09,10.0,10.0,9.95,9.96,9.96,100103.0,0.0,1.0
2021-04-08,9.97,9.97,9.88,9.91,9.91,38491.0,0.0,1.0
2021-04-07,9.99,10.0,9.98,10.0,10.0,6590.0,0.0,1.0
2021-04-06,9.9,9.99,9.87,9.965,9.965,80895.0,0.0,1.0
2021-04-05,9.93,10.03,9.87,9.92,9.92,80156.0,0.0,1.0
2021-04-01,9.85,9.91,9.85,9.85,9.85,226793.0,0.0,1.0
2021-03-31,9.86,9.9,9.81,9.85,9.85,59191.0,0.0,1.0
2021-03-30,9.9,9.9,9.9,9.9,9.9,129775.0,0.0,1.0
2021-03-29,9.9,9.94,9.83,9.94,9.94,34603.0,0.0,1.0
2021-03-26,9.85,9.9577,9.85,9.95,9.95,104528.0,0.0,1.0
2021-03-25,9.865,9.865,9.785,9.8,9.8,192906.0,0.0,1.0
2021-03-24,9.85,9.92,9.84,9.86,9.86,74291.0,0.0,1.0
2021-03-23,9.93,9.99,9.82,9.82,9.82,104554.0,0.0,1.0
2021-03-22,9.91,9.92,9.91,9.91,9.91,185868.0,0.0,1.0
2021-03-19,10.01,10.01,9.91,9.92,9.92,8315.0,0.0,1.0
2021-03-18,9.9222,9.95,9.91,9.91,9.91,8359.0,0.0,1.0
2021-03-17,9.9298,10.0526,9.91,9.91,9.91,12548.0,0.0,1.0
2021-03-16,9.9786,9.9786,9.91,9.97,9.97,24905.0,0.0,1.0
2021-03-15,10.06,10.115,9.96,9.96,9.96,19528.0,0.0,1.0
2021-03-12,9.92,10.0,9.92,9.92,9.92,40461.0,0.0,1.0
2021-03-11,9.92,9.94,9.92,9.92,9.92,68220.0,0.0,1.0
2021-03-10,9.9,9.98,9.9,9.92,9.92,330840.0,0.0,1.0
2021-03-09,9.91,10.24,9.91,9.96,9.96,25982.0,0.0,1.0
2021-03-08,10.0,10.21,9.97,9.98,9.98,78571.0,0.0,1.0
2021-03-05,10.02,10.04,9.94,10.0,10.0,60473.0,0.0,1.0
2021-03-04,10.01,10.105,9.76,9.98,9.98,130362.0,0.0,1.0
2021-03-03,10.224,10.224,10.0,10.01,10.01,30770.0,0.0,1.0
2021-03-02,10.2,10.3,10.01,10.05,10.05,160800.0,0.0,1.0
2021-03-01,10.36,10.36,10.25,10.25,10.25,43248.0,0.0,1.0
2021-02-26,10.32,10.4,10.1,10.36,10.36,173374.0,0.0,1.0
2021-02-25,10.47,10.47,10.15,10.34,10.34,43201.0,0.0,1.0
2021-02-24,10.22,10.49,10.22,10.4,10.4,31780.0,0.0,1.0
2021-02-23,10.31,10.3866,10.2,10.305,10.305,346664.0,0.0,1.0
2021-02-22,10.31,10.39,10.31,10.385,10.385,15897.0,0.0,1.0
2021-02-19,10.49,10.49,10.3,10.4,10.4,15738.0,0.0,1.0
2021-02-18,10.445,10.5,10.3,10.37,10.37,65092.0,0.0,1.0
2021-02-17,10.33,10.42,10.2201,10.39,10.39,14089.0,0.0,1.0
2021-02-16,10.4489,10.45,10.3114,10.365,10.365,9044.0,0.0,1.0
2021-02-12,10.29,10.45,10.28,10.45,10.45,45599.0,0.0,1.0
2021-02-11,10.32,10.47,10.24,10.28,10.28,61763.0,0.0,1.0
2021-02-10,10.27,10.4,10.23,10.33,10.33,58525.0,0.0,1.0
2021-02-09,10.22,10.36,10.22,10.23,10.23,51597.0,0.0,1.0
2021-02-08,10.4,10.4542,10.21,10.25,10.25,72844.0,0.0,1.0
2021-02-05,10.49,10.5,10.24,10.37,10.37,28077.0,0.0,1.0
2021-02-04,10.32,10.45,10.27,10.44,10.44,54368.0,0.0,1.0
2021-02-03,10.17,10.5,10.17,10.41,10.41,14151.0,0.0,1.0
2021-02-02,10.3,10.34,10.29,10.32,10.32,30387.0,0.0,1.0
2021-02-01,10.275,10.3,10.2,10.3,10.3,97214.0,0.0,1.0
2021-01-29,10.32,10.48,10.14,10.2,10.2,156996.0,0.0,1.0
2021-01-28,10.21,10.47,10.2,10.4,10.4,155436.0,0.0,1.0
2021-01-27,10.25,10.27,10.11,10.17,10.17,84657.0,0.0,1.0
2021-01-26,10.49,10.49,10.24,10.27,10.27,63673.0,0.0,1.0
2021-01-25,10.3,10.47,10.29,10.37,10.37,104328.0,0.0,1.0
2021-01-22,10.25,10.27,10.1,10.27,10.27,60855.0,0.0,1.0
2021-01-21,10.25,10.35,10.25,10.27,10.27,13972.0,0.0,1.0
2021-01-20,10.3039,10.34,10.2,10.27,10.27,9387.0,0.0,1.0
2021-01-19,10.2578,10.31,10.256,10.31,10.31,21603.0,0.0,1.0
2021-01-15,10.3,10.34,10.2499,10.29,10.29,14776.0,0.0,1.0
2021-01-14,10.35,10.35,10.23,10.275,10.275,57042.0,0.0,1.0
2021-01-13,10.3,10.32,10.27,10.28,10.28,71658.0,0.0,1.0
2021-01-12,10.25,10.26,10.2,10.26,10.26,37390.0,0.0,1.0
2021-01-11,10.19,10.25,10.19,10.235,10.235,10803.0,0.0,1.0
2021-01-08,10.15,10.25,10.15,10.17,10.17,7979.0,0.0,1.0
2021-01-07,10.2384,10.2384,10.1,10.1,10.1,14066.0,0.0,1.0
2021-01-06,10.25,10.25,10.06,10.06,10.06,287572.0,0.0,1.0
2021-01-05,10.23,10.23,10.1566,10.18,10.18,16713.0,0.0,1.0
2021-01-04,10.23,10.25,10.1,10.11,10.11,73765.0,0.0,1.0
2020-12-31,10.14,10.2,10.06,10.06,10.06,118743.0,0.0,1.0
2020-12-30,10.19,10.1901,10.08,10.15,10.15,65650.0,0.0,1.0
2020-12-29,10.15,10.1622,10.125,10.15,10.15,90412.0,0.0,1.0
