date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,64.42,65.07,63.72,63.84,63.84,449291.0,0.0,1.0
2021-04-15,64.52,64.88,63.27,63.69,63.69,549843.0,0.0,1.0
2021-04-14,64.12,65.25,63.53,63.78,63.78,621739.0,0.0,1.0
2021-04-13,64.24,64.56,62.8575,64.01,64.01,430890.0,0.0,1.0
2021-04-12,63.65,64.59,62.9,64.39,64.39,326384.0,0.0,1.0
2021-04-09,64.2,64.33,63.385,64.1,64.1,263518.0,0.0,1.0
2021-04-08,64.63,64.87,62.9,64.44,64.44,599134.0,0.0,1.0
2021-04-07,64.03,65.32,63.85,64.56,64.56,584877.0,0.0,1.0
2021-04-06,64.25,65.5,63.75,63.94,63.94,550941.0,0.0,1.0
2021-04-05,64.21,64.64,63.34,63.74,63.74,435552.0,0.0,1.0
2021-04-01,61.58,63.04,61.46,62.5,62.5,425390.0,0.0,1.0
2021-03-31,62.91,63.09,61.16,61.16,61.16,1635645.0,0.0,1.0
2021-03-30,60.48,62.6,60.48,62.33,62.33,1298781.0,0.0,1.0
2021-03-29,62.43,63.0,60.56,60.96,60.96,605028.0,0.0,1.0
2021-03-26,61.52,62.95,60.79,62.77,62.77,842169.0,0.0,1.0
2021-03-25,58.26,61.66,57.79,61.29,61.29,837113.0,0.0,1.0
2021-03-24,60.77,62.23,58.77,59.02,59.02,812232.0,0.0,1.0
2021-03-23,62.26,62.5,59.43,59.98,59.98,769012.0,0.0,1.0
2021-03-22,64.44,64.63,62.29,63.06,63.06,546136.0,0.0,1.0
2021-03-19,64.6,64.96,62.45,64.39,64.39,1308475.0,0.0,1.0
2021-03-18,65.28,65.535,64.0,64.41,64.41,876424.0,0.0,1.0
2021-03-17,62.68,65.13,62.68,65.11,65.11,696287.0,0.0,1.0
2021-03-16,64.92,64.92,62.83,63.21,63.21,457697.0,0.0,1.0
2021-03-15,62.91,65.13,62.145,64.87,64.87,575907.0,0.0,1.0
2021-03-12,62.52,63.5,61.72,62.0,62.0,572318.0,0.3,1.0
2021-03-11,63.14,63.45,62.19,62.46,62.1592295345,541063.0,0.0,1.0
2021-03-10,61.01,62.78,60.955,62.64,62.3383627608,675721.0,0.0,1.0
2021-03-09,62.33,62.34,59.69,61.07,60.7759229535,892922.0,0.0,1.0
2021-03-08,61.35,63.99,61.15,61.94,61.6417335474,862797.0,0.0,1.0
2021-03-05,59.0,60.7699,57.01,60.63,60.3380417335,600006.0,0.0,1.0
2021-03-04,59.5,59.5,55.53,57.97,57.6908507223,568718.0,0.0,1.0
2021-03-03,59.35,60.865,58.72,59.0,58.7158908507,823218.0,0.0,1.0
2021-03-02,59.66,60.14,58.51,58.95,58.6661316212,807568.0,0.0,1.0
2021-03-01,61.81,61.99,59.03,59.5,59.2134831461,1120709.0,0.0,1.0
2021-02-26,59.08,61.3,58.35,60.43,60.1390048154,954682.0,0.0,1.0
2021-02-25,59.0,59.98,57.33,58.11,57.830176565,665557.0,0.0,1.0
2021-02-24,58.02,59.95,57.98,58.99,58.7059390048,1376959.0,0.0,1.0
2021-02-23,55.59,58.45,54.77,58.15,57.8699839486,1197437.0,0.0,1.0
2021-02-22,55.0,57.79,54.66,55.47,55.2028892456,1402512.0,0.0,1.0
2021-02-19,53.42,55.62,53.22,55.25,54.9839486356,754654.0,0.0,1.0
2021-02-18,52.94,53.57,51.8,53.15,52.8940609952,581828.0,0.0,1.0
2021-02-17,52.09,53.84,51.01,53.84,53.5807383628,312059.0,0.0,1.0
2021-02-16,51.75,52.78,51.11,51.75,51.5008025682,649248.0,0.0,1.0
2021-02-12,51.01,52.45,51.01,51.68,51.4311396469,506468.0,0.0,1.0
2021-02-11,51.0,51.7,50.64,51.57,51.3216693419,537003.0,0.0,1.0
2021-02-10,50.83,51.405,50.54,50.69,50.4459069021,426767.0,0.0,1.0
2021-02-09,50.69,51.55,50.44,50.48,50.236918138,686118.0,0.0,1.0
2021-02-08,51.32,51.71,50.65,51.05,50.8041733547,619575.0,0.0,1.0
2021-02-05,50.08,51.26,49.6491,50.7,50.455858748,559493.0,0.0,1.0
2021-02-04,48.05,49.76,48.05,49.39,49.1521669342,704552.0,0.0,1.0
2021-02-03,47.27,48.46,47.2,47.6,47.3707865169,437061.0,0.0,1.0
2021-02-02,46.26,47.86,46.03,47.08,46.8532905297,420879.0,0.0,1.0
2021-02-01,44.73,45.66,44.275,45.57,45.3505617978,378258.0,0.0,1.0
2021-01-29,45.49,45.51,44.16,44.24,44.0269662921,720799.0,0.0,1.0
2021-01-28,45.0,46.68,44.8,45.97,45.748635634,558309.0,0.0,1.0
2021-01-27,45.05,45.93,43.4,44.14,43.9274478331,1301582.0,0.0,1.0
2021-01-26,47.5,48.0,46.22,46.35,46.1268057785,599512.0,0.0,1.0
2021-01-25,47.97,48.47,46.3,47.03,46.8035313002,751018.0,0.0,1.0
2021-01-22,48.24,48.6,47.6801,48.35,48.1171749599,383219.0,0.0,1.0
2021-01-21,49.14,49.9,48.5201,49.26,49.0227929374,851832.0,0.0,1.0
2021-01-20,48.44,49.8999,48.25,49.49,49.2516853933,677494.0,0.0,1.0
2021-01-19,47.7,48.96,47.63,48.19,47.9579454254,597473.0,0.0,1.0
2021-01-15,46.99,47.61,46.6,47.42,47.1916532905,584115.0,0.0,1.0
2021-01-14,47.5,48.22,46.85,47.55,47.3210272873,633827.0,0.0,1.0
2021-01-13,47.75,47.91,46.32,46.52,46.2959871589,419189.0,0.0,1.0
2021-01-12,47.24,48.12,46.82,47.73,47.5001605136,621629.0,0.0,1.0
2021-01-11,46.04,47.456,45.58,46.77,46.5447833066,466673.0,0.0,1.0
2021-01-08,48.73,49.0,46.37,47.21,46.9826645265,586550.0,0.0,1.0
2021-01-07,49.31,50.34,47.7,48.18,47.9479935795,887372.0,0.0,1.0
2021-01-06,46.86,50.27,45.75,49.13,48.8934189406,1141418.0,0.0,1.0
2021-01-05,43.22,46.31,43.22,45.59,45.3704654896,872585.0,0.0,1.0
2021-01-04,45.0,45.15,42.79,43.34,43.1313001605,616218.0,0.0,1.0
2020-12-31,43.64,45.385,43.21,44.86,44.6439807384,388528.0,0.0,1.0
2020-12-30,42.99,44.91,42.99,44.02,43.8080256822,805657.0,0.0,1.0
2020-12-29,43.32,43.68,42.75,42.92,42.7133226324,798927.0,0.0,1.0
2020-12-28,43.64,44.05,42.94,42.98,42.7730337079,453844.0,0.0,1.0
2020-12-24,42.89,43.03,42.27,43.01,42.8028892456,123993.0,0.0,1.0
2020-12-23,42.33,43.392,42.33,42.85,42.6436597111,411186.0,0.0,1.0
2020-12-22,42.3,42.54,41.27,42.16,41.9569823435,403003.0,0.0,1.0
2020-12-21,41.43,42.46,41.07,42.38,42.1759229535,731004.0,0.0,1.0
2020-12-18,42.59,43.65,42.22,42.83,42.6237560193,1485865.0,0.0,1.0
2020-12-17,43.77,43.77,42.14,42.4,42.1958266453,844184.0,0.0,1.0
2020-12-16,44.0,44.0,42.68,43.37,43.1611556982,516030.0,0.0,1.0
2020-12-15,42.87,44.2372,42.31,44.04,43.827929374,452619.0,0.0,1.0
2020-12-14,44.02,44.135,42.05,42.1,41.8972712681,961911.0,0.3,1.0
2020-12-11,44.33,45.23,43.515,43.67,43.1522131197,458061.0,0.0,1.0
2020-12-10,43.89,44.51,43.6,44.4,43.8735576486,374231.0,0.0,1.0
2020-12-09,45.98,46.22,44.1,44.63,44.1008305824,466370.0,0.0,1.0
2020-12-08,44.37,46.2,44.3,45.53,44.9901594536,418210.0,0.0,1.0
2020-12-07,45.33,45.98,44.13,45.23,44.6937164966,452696.0,0.0,1.0
2020-12-04,46.0,46.16,44.71,45.7,45.158143796,449981.0,0.0,1.0
2020-12-03,45.23,46.49,44.89,45.73,45.1877880917,612071.0,0.0,1.0
2020-12-02,43.6,45.24,42.8,44.84,44.3083406524,663168.0,0.0,1.0
2020-12-01,42.99,44.96,42.54,43.96,43.4387746449,990381.0,0.0,1.0
2020-11-30,44.53,44.53,42.03,42.06,41.5613025834,788956.0,0.0,1.0
2020-11-27,44.39,45.25,44.3,44.88,44.34786638,315821.0,0.0,1.0
2020-11-25,45.59,45.59,43.83,44.37,43.8439133529,416916.0,0.0,1.0
2020-11-24,45.22,46.605,45.04,45.75,45.2075509555,812260.0,0.0,1.0
2020-11-23,42.74,44.37,42.51,44.06,43.5375889639,476780.0,0.0,1.0
2020-11-20,42.54,42.95,41.43,41.96,41.4624882643,426530.0,0.0,1.0
2020-11-19,42.83,43.84,42.555,42.99,42.4802757503,277437.0,0.0,1.0
2020-11-18,43.74,44.335,43.09,43.14,42.6284972289,627417.0,0.0,1.0
2020-11-17,43.0,44.24,42.0101,43.48,42.9644659136,642195.0,0.0,1.0
2020-11-16,43.95,44.28,42.59,43.93,43.4091303492,943627.0,0.0,1.0
2020-11-13,39.58,41.63,39.58,41.59,41.0968752839,411175.0,0.0,1.0
2020-11-12,39.31,40.22,38.53,38.89,38.4288886702,653134.0,0.0,1.0
2020-11-11,42.15,42.15,39.78,40.09,39.6146604985,529859.0,0.0,1.0
2020-11-10,43.13,43.43,41.97,42.0,41.5020139919,795356.0,0.0,1.0
2020-11-09,42.89,45.12,40.83,42.86,42.3518171356,1646356.0,0.0,1.0
2020-11-06,37.14,37.66,36.46,36.85,36.413076562,423246.0,0.0,1.0
2020-11-05,35.69,37.54,35.69,37.23,36.7885709743,805455.0,0.0,1.0
2020-11-04,34.52,36.2613,34.34,35.31,34.8913360489,486377.0,0.0,1.0
2020-11-03,34.06,35.39,33.89,35.1,34.683825979,489502.0,0.0,1.0
2020-11-02,32.81,33.384,32.3,33.33,32.9348125322,534288.0,0.0,1.0
2020-10-30,32.11,32.835,31.74,32.63,32.243112299,770531.0,0.0,1.0
2020-10-29,31.67,32.615,31.13,32.28,31.8972621824,716577.0,0.0,1.0
2020-10-28,33.08,33.86,31.62,31.69,31.3142577001,1215083.0,0.0,1.0
2020-10-27,34.32,34.41,33.26,33.58,33.1818483297,789149.0,0.0,1.0
2020-10-26,35.2,35.38,33.77,34.54,34.1304657924,716612.0,0.0,1.0
2020-10-23,36.25,36.63,35.8,36.0,35.5731548502,613248.0,0.0,1.0
2020-10-22,34.61,36.19,34.55,36.0,35.5731548502,712689.0,0.0,1.0
2020-10-21,34.25,34.535,33.92,34.35,33.9427185863,574144.0,0.0,1.0
2020-10-20,33.2,34.66,33.2,34.14,33.7352085163,721644.0,0.0,1.0
2020-10-19,32.86,33.54,32.5,32.63,32.243112299,699271.0,0.0,1.0
2020-10-16,32.92,33.39,32.51,32.62,32.2332308671,433533.0,0.0,1.0
2020-10-15,32.42,32.94,32.0,32.83,32.440740937,392265.0,0.0,1.0
2020-10-14,32.61,33.64,32.61,32.9,32.5099109604,757837.0,0.0,1.0
2020-10-13,32.62,33.34,32.43,32.52,32.134416548,611171.0,0.0,1.0
2020-10-12,32.23,32.79,32.05,32.63,32.243112299,366989.0,0.0,1.0
2020-10-09,33.19,33.52,31.93,32.09,31.7095149762,863110.0,0.0,1.0
2020-10-08,33.23,33.29,32.34,33.06,32.6680138708,583074.0,0.0,1.0
2020-10-07,33.43,34.02,32.77,32.79,32.4012152094,734875.0,0.0,1.0
2020-10-06,32.65,34.07,32.54,32.8,32.4110966413,802382.0,0.0,1.0
2020-10-05,32.01,32.2699,31.33,32.12,31.7391592719,574229.0,0.0,1.0
2020-10-02,30.33,32.16,30.02,31.74,31.3636648596,407116.0,0.0,1.0
2020-10-01,30.78,31.34,30.24,31.3,30.9288818559,607501.0,0.0,1.0
2020-09-30,31.28,31.9899,30.61,30.76,30.3952845331,1486747.0,0.0,1.0
2020-09-29,31.65,31.79,29.99,30.78,30.415047397,721798.0,0.0,1.0
2020-09-28,31.73,32.1,30.92,31.84,31.4624791787,433154.0,0.0,1.0
2020-09-25,29.92,31.06,29.76,30.88,30.513861716,593930.0,0.0,1.0
2020-09-24,30.31,30.76,29.41,30.1,29.7431100276,705650.0,0.0,1.0
2020-09-23,30.83,31.5,30.26,30.29,29.9308572337,850645.0,0.0,1.0
2020-09-22,31.36,31.76,30.395,30.64,30.2767073503,780933.0,0.0,1.0
2020-09-21,30.72,31.04,29.86,30.62,30.2569444865,954270.0,0.0,1.0
2020-09-18,33.25,33.5137,31.935,32.28,31.8972621824,1436659.0,0.0,1.0
2020-09-17,33.5,34.15,33.25,33.45,33.053389715,766506.0,0.0,1.0
2020-09-16,33.68,34.7,33.3414,34.05,33.6462756292,673405.0,0.0,1.0
2020-09-15,34.14,34.74,33.34,33.68,33.2806626488,746605.0,0.0,1.0
2020-09-14,31.79,34.31,31.71,34.14,33.7352085163,1306037.0,0.3,1.0
2020-09-11,32.09,32.24,31.19,31.51,30.8651689997,734129.0,0.0,1.0
2020-09-10,31.86,32.7,31.54,31.8,31.1492343443,749879.0,0.0,1.0
2020-09-09,32.08,32.24,30.94,31.66,31.0120993504,749851.0,0.0,1.0
2020-09-08,31.85,33.23,31.48,32.11,31.4528904024,919834.0,0.0,1.0
2020-09-04,31.76,32.23,30.82,31.44,30.7966015027,1000266.0,0.0,1.0
2020-09-03,31.36,32.26,30.3,30.76,30.1305172463,885213.0,0.0,1.0
2020-09-02,29.89,31.1325,29.675,30.98,30.3460150939,823299.0,0.0,1.0
2020-09-01,28.6,29.94,28.3,29.64,29.0334372945,1288220.0,0.0,1.0
2020-08-31,30.92,30.99,28.98,28.99,28.3967391082,1624128.0,0.0,1.0
2020-08-28,30.25,31.545,30.15,31.25,30.6104897252,1074623.0,0.0,1.0
2020-08-27,28.16,30.26,28.16,30.01,29.3958654929,906607.0,0.0,1.0
2020-08-26,28.4,28.6,27.575,28.15,27.5739291444,635505.0,0.0,1.0
2020-08-25,29.25,29.4,28.21,28.62,28.0343109099,616178.0,0.0,1.0
2020-08-24,27.63,29.04,26.91,28.81,28.2204226874,1938912.0,0.0,1.0
2020-08-21,27.81,28.03,27.16,27.22,26.6629609702,767324.0,0.0,1.0
2020-08-20,27.37,27.96,26.96,27.63,27.0645705954,895532.0,0.0,1.0
2020-08-19,27.83,28.35,27.62,27.9,27.3290452266,1232038.0,0.0,1.0
2020-08-18,28.75,28.92,28.03,28.12,27.5445430743,949538.0,0.0,1.0
2020-08-17,29.91,29.91,28.66,29.04,28.4457158918,1278959.0,0.0,1.0
2020-08-14,29.24,30.32,29.18,29.99,29.3762747794,607602.0,0.0,1.0
2020-08-13,30.15,30.76,29.73,29.82,29.2097537153,529534.0,0.0,1.0
2020-08-12,31.12,31.12,29.9,30.59,29.9639961822,661133.0,0.0,1.0
2020-08-11,31.27,32.16,30.5,30.52,29.8954286852,1023488.0,0.0,1.0
2020-08-10,28.58,30.475,28.58,30.28,29.6603401241,857377.0,0.0,1.0
2020-08-07,27.22,28.305,26.91,28.28,27.7012687817,694045.0,0.0,1.0
2020-08-06,27.08,27.81,27.08,27.43,26.8686634612,894890.0,0.0,1.0
2020-08-05,27.8,28.0244,26.96,27.42,26.8588681044,538610.0,0.0,1.0
2020-08-04,26.13,27.31,26.13,27.25,26.6923470403,868478.0,0.0,1.0
2020-08-03,26.53,26.98,25.78,26.29,25.751992796,1088721.0,0.0,1.0
2020-07-31,27.2,27.54,26.3147,26.6,26.0556488541,1452979.0,0.0,1.0
2020-07-30,28.1,28.61,26.59,27.39,26.8294820343,1372970.0,0.0,1.0
2020-07-29,28.7,29.34,28.44,29.29,28.6905998096,623442.0,0.0,1.0
2020-07-28,28.28,28.8699,27.93,28.4,27.8188130622,453775.0,0.0,1.0
2020-07-27,28.52,28.925,27.92,28.59,28.0049248398,530671.0,0.0,1.0
2020-07-24,29.89,30.09,29.18,29.23,28.6318276693,521878.0,0.0,1.0
2020-07-23,30.1,30.46,29.43,30.03,29.4154562063,656740.0,0.0,1.0
2020-07-22,29.77,30.94,29.5,30.44,29.8170658315,2455014.0,0.0,1.0
2020-07-21,29.82,30.39,28.8,30.05,29.4350469197,1871200.0,0.0,1.0
2020-07-20,30.8,30.8,28.11,28.26,27.6816780683,2078012.0,0.0,1.0
2020-07-17,31.3,31.56,30.45,30.72,30.0913358194,485360.0,0.0,1.0
2020-07-16,31.33,31.57,30.67,31.41,30.7672154326,660212.0,0.0,1.0
2020-07-15,30.6,32.28,30.21,32.0,31.3451414786,1051449.0,0.0,1.0
2020-07-14,28.5,29.39,27.79,29.06,28.4653066052,761592.0,0.0,1.0
2020-07-13,29.2,30.2,28.62,28.9,28.3085808978,908133.0,0.0,1.0
2020-07-10,27.61,28.85,27.23,28.83,28.2400134008,734703.0,0.0,1.0
2020-07-09,29.88,29.88,27.1,27.73,27.1625241625,1039530.0,0.0,1.0
2020-07-08,28.98,29.65,28.55,29.59,28.984460511,975559.0,0.0,1.0
2020-07-07,29.02,29.34,28.61,28.96,28.3673530381,1205423.0,0.0,1.0
2020-07-06,30.07,30.16,28.64,29.57,28.9648697975,958628.0,0.0,1.0
2020-07-02,29.99,30.34,29.03,29.11,28.5142833888,1063669.0,0.0,1.0
2020-07-01,29.02,30.21,28.61,28.86,28.269399471,1048982.0,0.0,1.0
2020-06-30,27.0,28.45,26.94,28.18,27.6033152146,858169.0,0.0,1.0
2020-06-29,26.69,27.8,25.95,27.61,27.044979882,1449191.0,0.0,1.0
2020-06-26,27.64,27.9,26.04,26.41,25.8695370765,1913633.0,0.0,1.0
2020-06-25,27.11,28.13,26.57,27.92,27.3486359401,1121181.0,0.0,1.0
2020-06-24,29.67,29.97,27.6,27.61,27.044979882,1651833.0,0.0,1.0
2020-06-23,31.0,31.0,29.37,30.38,29.7582936912,1592193.0,0.0,1.0
2020-06-22,30.09,30.6,29.13,30.42,29.7974751181,1604357.0,0.0,1.0
2020-06-19,30.98,31.82,29.53,30.17,29.5525912003,3028022.0,0.0,1.0
2020-06-18,30.24,31.49,30.04,30.45,29.8268611882,1232617.0,0.0,1.0
2020-06-17,32.36,32.36,30.87,30.92,30.2872429537,1168563.0,0.0,1.0
2020-06-16,33.94,34.02,31.37,32.43,31.7663418172,1612395.0,0.0,1.0
2020-06-15,30.23,32.42,30.05,31.85,31.1982111279,1736083.0,0.0,1.0
2020-06-12,32.91,33.59,31.8,32.32,31.6585928934,2068844.0,0.5,1.0
2020-06-11,31.65,32.99,30.9,30.93,29.8354746554,1750902.0,0.0,1.0
2020-06-10,36.24,36.44,34.08,35.06,33.8193256198,1055159.0,0.0,1.0
2020-06-09,37.17,37.95,35.96,36.84,35.536336447,1546904.0,0.0,1.0
2020-06-08,39.93,39.93,37.6,38.83,37.4559159674,1380790.0,0.0,1.0
2020-06-05,39.18,39.96,36.25,37.0,35.6906744989,2399251.0,0.0,1.0
2020-06-04,35.1,36.72,34.37,36.42,35.1311990608,1703667.0,0.0,1.0
2020-06-03,34.74,36.01,34.51,35.34,34.0894172106,1166625.0,0.0,1.0
2020-06-02,33.98,34.17,33.22,33.89,32.6907286153,1446627.0,0.0,1.0
2020-06-01,32.0,33.42,31.5,33.25,32.0733764078,1014213.0,0.0,1.0
2020-05-29,31.85,32.82,31.3,31.8,30.6746878126,1711486.0,0.0,1.0
2020-05-28,35.29,35.29,32.02,32.32,31.1762864812,1176502.0,0.0,1.0
2020-05-27,33.65,34.92,32.71,34.76,33.5299417725,2103148.0,0.0,1.0
2020-05-26,31.11,32.15,30.58,31.94,30.809733608,1573977.0,0.0,1.0
2020-05-22,28.92,29.24,27.63,28.42,27.4142964665,778583.0,0.0,1.0
2020-05-21,28.59,29.31,28.34,28.77,27.751910955,1205830.0,0.0,1.0
2020-05-20,29.91,29.93,28.3,28.66,27.6458035443,1264627.0,0.0,1.0
2020-05-19,29.5,29.85,27.43,28.19,27.1924355169,1982246.0,0.0,1.0
2020-05-18,25.35,27.93,25.15,27.7,26.719775233,1347536.0,0.0,1.0
2020-05-15,22.4,23.48,21.88,23.35,22.5237094473,789096.0,0.0,1.0
2020-05-14,21.14,22.77,20.38,22.72,21.916003368,916384.0,0.0,1.0
2020-05-13,23.51,23.9,21.71,21.96,21.1828976215,1107058.0,0.0,1.0
2020-05-12,25.01,25.5,24.04,24.04,23.189292296,900816.0,0.0,1.0
2020-05-11,24.99,25.33,24.31,24.81,23.9320441708,1240913.0,0.0,1.0
2020-05-08,23.79,25.49,23.65,25.41,24.5108118653,973612.0,0.0,1.0
2020-05-07,22.41,24.13,22.23,23.05,22.2343256,1438548.0,0.0,1.0
2020-05-06,23.94,24.8,21.59,22.09,21.3082972887,1732170.0,0.0,1.0
2020-05-05,25.3,25.97,23.63,23.8,22.9577852182,1223358.0,0.0,1.0
2020-05-04,23.36,24.87,23.08,24.76,23.8838135295,1618132.0,0.0,1.0
2020-05-01,24.07,24.56,23.27,24.28,23.4207993739,1274369.0,0.0,1.0
2020-04-30,25.73,25.94,24.54,25.57,24.6651499172,2321675.0,0.0,1.0
2020-04-29,25.05,27.65,25.01,26.61,25.6683472545,2815034.0,0.0,1.0
