date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,49.98,50.14,49.05,49.81,49.81,96289.0,0.0,1.0
2021-04-15,50.1,50.1,48.76,49.56,49.56,84384.0,0.0,1.0
2021-04-14,49.93,50.31,49.02,49.66,49.66,107583.0,0.0,1.0
2021-04-13,50.34,50.34,49.16,49.99,49.99,101162.0,0.0,1.0
2021-04-12,51.43,51.69,49.78,50.34,50.34,90176.0,0.0,1.0
2021-04-09,51.74,52.32,51.02,51.34,51.34,45941.0,0.0,1.0
2021-04-08,50.7,52.05,49.9101,52.0,52.0,80957.0,0.0,1.0
2021-04-07,51.39,51.39,49.16,50.43,50.43,108167.0,0.0,1.0
2021-04-06,50.98,51.49,50.285,50.84,50.84,63007.0,0.0,1.0
2021-04-05,52.88,52.88,50.44,50.98,50.98,145927.0,0.0,1.0
2021-04-01,52.59,54.84,52.0,52.38,52.38,254248.0,0.0,1.0
2021-03-31,51.46,52.95,51.46,52.17,52.17,201469.0,0.0,1.0
2021-03-30,50.7,51.64,49.86,51.26,51.26,208192.0,0.0,1.0
2021-03-29,52.0,52.91,50.4,50.75,50.75,137030.0,0.0,1.0
2021-03-26,52.42,52.58,51.5401,52.27,52.27,206340.0,0.0,1.0
2021-03-25,50.7,52.23,49.67,51.96,51.96,217909.0,0.0,1.0
2021-03-24,50.96,51.91,50.58,51.13,51.13,174930.0,0.0,1.0
2021-03-23,52.83,53.4,50.09,50.74,50.74,331730.0,0.0,1.0
2021-03-22,52.17,53.4,51.21,53.06,53.06,131999.0,0.0,1.0
2021-03-19,51.81,52.54,50.71,52.15,52.15,187823.0,0.0,1.0
2021-03-18,51.65,52.89,51.46,51.59,51.59,114474.0,0.055,1.0
2021-03-17,50.52,52.26,50.3343,52.05,51.9945686901,118629.0,0.0,1.0
2021-03-16,52.58,53.335,50.37,50.99,50.9356975506,160264.0,0.0,1.0
2021-03-15,52.6,53.545,52.08,52.77,52.7138019169,96063.0,0.0,1.0
2021-03-12,51.6,52.9,51.6,52.74,52.6838338658,154286.0,0.0,1.0
2021-03-11,51.0,51.8141,50.395,51.54,51.4851118211,165705.0,0.0,1.0
2021-03-10,50.02,52.12,50.02,50.57,50.5161448349,184740.0,0.0,1.0
2021-03-09,49.3,50.29,48.4,49.76,49.7070074547,209877.0,0.0,1.0
2021-03-08,47.86,49.175,47.86,48.46,48.4083919063,217171.0,0.0,1.0
2021-03-05,47.81,48.37,45.8,48.13,48.078743344,305257.0,0.0,1.0
2021-03-04,48.97,49.9,46.58,47.52,47.4693929712,305301.0,0.0,1.0
2021-03-03,50.1,50.49,48.97,48.97,48.9178487753,282932.0,0.0,1.0
2021-03-02,51.47,51.47,48.84,49.88,49.8268796592,236913.0,0.0,1.0
2021-03-01,50.04,52.2899,50.04,51.59,51.5350585729,178792.0,0.0,1.0
2021-02-26,50.88,51.015,49.0,49.2,49.1476038339,170593.0,0.0,1.0
2021-02-25,51.92,52.64,49.98,50.43,50.3762939297,169687.0,0.0,1.0
2021-02-24,51.54,52.86,51.1,52.21,52.1543982961,271378.0,0.0,1.0
