date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,7.62,7.62,7.51,7.55,7.55,170193.0,0.0,1.0
2021-04-15,7.53,7.54,7.41,7.54,7.54,144608.0,0.0,1.0
2021-04-14,7.41,7.545,7.41,7.52,7.52,239329.0,0.0,1.0
2021-04-13,7.5,7.5,7.38,7.43,7.43,231313.0,0.0,1.0
2021-04-12,7.51,7.56,7.51,7.55,7.55,154908.0,0.0,1.0
2021-04-09,7.51,7.55,7.465,7.53,7.53,246910.0,0.0,1.0
2021-04-08,7.4,7.5,7.33,7.49,7.49,260051.0,0.0,1.0
2021-04-07,7.44,7.49,7.38,7.44,7.44,327599.0,0.0,1.0
2021-04-06,7.46,7.51,7.41,7.45,7.45,233268.0,0.0,1.0
2021-04-05,7.55,7.585,7.43,7.5,7.5,272318.0,0.0,1.0
2021-04-01,7.37,7.48,7.29,7.46,7.46,427312.0,0.0,1.0
2021-03-31,7.44,7.5,7.32,7.37,7.37,684972.0,0.0,1.0
2021-03-30,7.54,7.59,7.45,7.46,7.46,771570.0,0.0,1.0
2021-03-29,7.47,7.59,7.37,7.42,7.42,337763.0,0.0,1.0
2021-03-26,7.49,7.54,7.41,7.53,7.53,379883.0,0.0,1.0
2021-03-25,7.24,7.47,7.14,7.38,7.38,376381.0,0.0,1.0
2021-03-24,7.19,7.445,7.16,7.18,7.18,413595.0,0.0,1.0
2021-03-23,7.25,7.295,7.11,7.12,7.12,318365.0,0.0,1.0
2021-03-22,7.45,7.48,7.22,7.31,7.31,436882.0,0.0,1.0
2021-03-19,7.44,7.54,7.37,7.48,7.48,2412526.0,0.0,1.0
2021-03-18,7.63,7.78,7.54,7.57,7.57,379659.0,0.0,1.0
2021-03-17,7.59,7.635,7.51,7.56,7.56,335587.0,0.0,1.0
2021-03-16,7.61,7.61,7.44,7.55,7.55,361099.0,0.0,1.0
2021-03-15,7.83,7.86,7.61,7.68,7.68,310232.0,0.0,1.0
2021-03-12,7.77,7.95,7.69,7.815,7.815,368353.0,0.0,1.0
2021-03-11,7.73,7.75,7.612,7.71,7.71,401977.0,0.0,1.0
2021-03-10,7.52,7.8,7.44,7.73,7.73,566207.0,0.0,1.0
2021-03-09,7.58,7.62,7.4299,7.52,7.52,329167.0,0.0,1.0
2021-03-08,7.37,7.68,7.37,7.63,7.63,538190.0,0.0,1.0
2021-03-05,7.27,7.35,7.22,7.33,7.33,498671.0,0.0,1.0
2021-03-04,7.11,7.38,7.08,7.2,7.2,715097.0,0.0681,1.0
2021-03-03,7.11,7.3933,7.11,7.23,7.16223235016,622970.0,0.0,1.0
2021-03-02,7.07,7.115,6.98,7.03,6.96410697394,257538.0,0.0,1.0
2021-03-01,7.04,7.13,6.98,7.09,7.02354458681,349910.0,0.0,1.0
2021-02-26,6.97,6.99,6.815,6.88,6.81551294178,708050.0,0.0,1.0
2021-02-25,7.18,7.18,6.96,6.96,6.89476309227,694738.0,0.0,1.0
2021-02-24,7.09,7.19,7.08,7.13,7.06316966205,451501.0,0.0,1.0
2021-02-23,7.0,7.12,6.95,7.02,6.95420070513,533491.0,0.0,1.0
2021-02-22,6.81,6.97,6.805,6.95,6.88485682346,1106132.0,0.0,1.0
2021-02-19,6.73,6.87,6.73,6.845,6.78084100095,1016730.0,0.0,1.0
2021-02-18,6.8,6.86,6.685,6.69,6.62729383438,415834.0,0.0,1.0
2021-02-17,6.75,6.86,6.75,6.81,6.74616906011,237037.0,0.0,1.0
2021-02-16,6.82,6.91,6.76,6.81,6.74616906011,326229.0,0.0,1.0
2021-02-12,6.7,6.8,6.7,6.77,6.70654398487,226651.0,0.0,1.0
2021-02-11,6.74,6.84,6.67,6.74,6.67682517843,394680.0,0.0,1.0
2021-02-10,6.77,6.82,6.715,6.75,6.68673144724,555783.0,0.0,1.0
2021-02-09,6.63,6.8,6.59,6.75,6.68673144724,369040.0,0.0,1.0
2021-02-08,6.55,6.63,6.51,6.63,6.56785622152,469717.0,0.0,1.0
2021-02-05,6.56,6.58,6.4599,6.51,6.44898099579,439599.0,0.0,1.0
2021-02-04,6.38,6.53,6.33,6.5,6.43907472698,632169.0,0.0,1.0
2021-02-03,6.38,6.43,6.26,6.37,6.31029323244,654298.0,0.0,1.0
2021-02-02,6.38,6.47,6.295,6.39,6.33010577006,473010.0,0.0,1.0
2021-02-01,6.28,6.33,6.17,6.29,6.23104308195,385580.0,0.0,1.0
2021-01-29,6.34,6.38,6.19,6.22,6.16169920028,474821.0,0.0,1.0
2021-01-28,6.34,6.37,6.25,6.34,6.280574426,598163.0,0.0,1.0
2021-01-27,6.46,6.51,6.23,6.28,6.22113681314,655832.0,0.0,1.0
2021-01-26,6.67,6.695,6.54,6.56,6.49851233984,443552.0,0.0,1.0
2021-01-25,6.73,6.83,6.54,6.67,6.60748129676,884409.0,0.0,1.0
2021-01-22,7.1,7.12,6.75,7.08,7.013638318,602823.0,0.0,1.0
2021-01-21,7.3,7.34,7.12,7.145,7.07802906527,402353.0,0.0,1.0
2021-01-20,7.24,7.31,7.18,7.3,7.23157623183,529981.0,0.0,1.0
2021-01-19,7.22,7.29,7.13,7.23,7.16223235016,331120.0,0.0,1.0
2021-01-15,7.16,7.26,7.1,7.215,7.14737294694,604052.0,0.0,1.0
2021-01-14,7.11,7.26,7.1001,7.19,7.12260727492,548052.0,0.0,1.0
2021-01-13,7.13,7.19,6.99,7.08,7.013638318,304103.0,0.0,1.0
2021-01-12,7.08,7.17,7.03,7.15,7.08298219967,329524.0,0.0,1.0
2021-01-11,6.95,7.085,6.92,7.075,7.00868518359,240262.0,0.0,1.0
2021-01-08,7.14,7.23,6.88,7.025,6.95915383954,408876.0,0.0,1.0
2021-01-07,7.26,7.39,7.085,7.135,7.06812279646,440361.0,0.0,1.0
2021-01-06,6.86,7.31,6.75,7.15,7.08298219967,1177459.0,0.0,1.0
2021-01-05,6.64,6.8,6.64,6.74,6.67682517843,373538.0,0.0,1.0
2021-01-04,6.73,6.76,6.61,6.64,6.57776249033,638384.0,0.0,1.0
2020-12-31,6.57,6.68,6.54,6.67,6.60748129676,282881.0,0.0,1.0
2020-12-30,6.56,6.64,6.51,6.58,6.51832487746,268515.0,0.0,1.0
2020-12-29,6.73,6.73,6.51,6.555,6.49355920543,247438.0,0.0,1.0
2020-12-28,6.63,6.73,6.59,6.69,6.62729383438,369817.0,0.0,1.0
2020-12-24,6.62,6.65,6.52,6.6,6.53813741508,117823.0,0.0,1.0
2020-12-23,6.46,6.635,6.46,6.61,6.54804368389,269337.0,0.0,1.0
2020-12-22,6.54,6.565,6.445,6.46,6.39944965173,291212.0,0.0,1.0
2020-12-21,6.53,6.62,6.48,6.555,6.49355920543,472954.0,0.0,1.0
2020-12-18,6.67,6.7701,6.56,6.62,6.5579499527,2416480.0,0.0,1.0
