date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,32.81,33.32,32.54,33.13,33.13,221280.0,0.0,1.0
2021-04-15,31.83,32.72,31.68,32.66,32.66,235904.0,0.0,1.0
2021-04-14,32.04,32.14,31.52,31.58,31.58,185050.0,0.0,1.0
2021-04-13,32.13,32.43,31.84,32.07,32.07,237856.0,0.0,1.0
2021-04-12,32.37,32.985,32.34,32.35,32.35,158822.0,0.0,1.0
2021-04-09,32.58,32.85,32.17,32.45,32.45,237390.0,0.0,1.0
2021-04-08,32.64,32.95,32.3,32.58,32.58,209121.0,0.0,1.0
2021-04-07,33.25,33.41,32.61,32.64,32.64,174928.0,0.0,1.0
2021-04-06,33.36,33.5,33.07,33.25,33.25,124537.0,0.0,1.0
2021-04-05,33.01,33.49,32.8,33.39,33.39,102220.0,0.0,1.0
2021-04-01,33.07,33.1172,32.315,33.01,33.01,190861.0,0.0,1.0
2021-03-31,33.08,33.57,32.85,33.13,33.13,227693.0,0.0,1.0
2021-03-30,33.48,34.05,33.06,33.26,33.26,158675.0,0.0,1.0
2021-03-29,33.4,34.44,33.27,33.49,33.49,260376.0,0.0,1.0
2021-03-26,34.22,34.38,33.3,33.6,33.6,216048.0,0.0,1.0
2021-03-25,32.75,34.02,32.43,33.94,33.94,205801.0,0.0,1.0
2021-03-24,32.83,33.39,32.39,32.77,32.77,200590.0,0.0,1.0
2021-03-23,33.09,33.58,32.88,33.07,33.07,208645.0,0.0,1.0
2021-03-22,33.64,34.19,33.0,33.17,33.17,211287.0,0.0,1.0
2021-03-19,33.92,34.64,33.87,33.98,33.98,495931.0,0.0,1.0
2021-03-18,33.91,34.4,33.69,33.84,33.84,165003.0,0.0,1.0
2021-03-17,34.31,34.35,33.62,33.94,33.94,194089.0,0.0,1.0
2021-03-16,34.34,34.99,33.78,34.29,34.29,296419.0,0.0,1.0
2021-03-15,35.39,35.63,33.91,34.1,34.1,305200.0,0.0,1.0
2021-03-12,34.19,35.19,33.83,35.08,35.08,268036.0,0.0,1.0
2021-03-11,33.5,34.61,32.8259,34.2,34.2,388147.0,0.0,1.0
2021-03-10,32.28,33.9005,32.25,33.6,33.6,358216.0,0.0,1.0
2021-03-09,33.05,33.59,32.18,32.2,32.2,174397.0,0.0,1.0
2021-03-08,32.82,33.665,32.16,32.94,32.94,330490.0,0.0,1.0
2021-03-05,31.89,32.91,31.7301,32.78,32.78,296098.0,0.0,1.0
2021-03-04,32.01,32.7825,31.84,32.11,32.11,373890.0,0.09,1.03
2021-03-03,31.32,32.76,31.23,32.61,31.5717029488,360756.0,0.0,1.0
2021-03-02,30.95,31.5699,30.66,31.32,30.3227763372,388710.0,0.0,1.0
2021-03-01,31.07,31.59,30.73,30.95,29.9645570765,335975.0,0.0,1.0
2021-02-26,32.0,32.6,30.58,30.81,29.8290146536,654324.0,0.0,1.0
2021-02-25,32.34,32.92,31.53,31.93,30.9133540373,495832.0,0.0,1.0
2021-02-24,31.26,31.805,30.9,31.6,30.5938611831,401805.0,0.0,1.0
2021-02-23,30.55,31.34,30.21,31.12,30.1291443044,411941.0,0.0,1.0
2021-02-22,31.21,31.63,30.5,30.87,29.8871042634,221885.0,0.0,1.0
2021-02-19,30.55,31.33,30.14,31.25,30.2550051257,616876.0,0.0,1.0
2021-02-18,29.96,30.86,29.72,30.6,29.6257010191,469401.0,0.0,1.0
2021-02-17,30.72,30.72,29.7809,29.85,28.8995808961,603996.0,0.0,1.0
2021-02-16,31.2,31.3999,30.35,30.53,29.5579298076,431235.0,0.0,1.0
2021-02-12,31.09,31.32,30.75,31.19,30.1969155159,209320.0,0.0,1.0
2021-02-11,31.3,31.54,30.71,30.97,29.9839202798,313714.0,0.0,1.0
2021-02-10,32.01,32.29,31.15,31.64,30.6325875897,283841.0,0.0,1.0
2021-02-09,32.0,32.2325,31.4001,32.0,30.9811252487,259472.0,0.0,1.0
2021-02-08,31.68,32.199,31.03,32.1,31.0779412652,371134.0,0.0,1.0
2021-02-05,31.27,32.19,31.01,31.23,30.2356419225,322733.0,0.0,1.0
2021-02-04,32.07,32.25,30.68,31.42,30.4195923536,371929.0,0.0,1.0
2021-02-03,31.49,32.7797,30.88,32.03,31.0101700537,528601.0,0.0,1.0
2021-02-02,35.25,35.715,30.54,31.0,30.0129650847,1582011.0,0.0,1.0
2021-02-01,39.46,39.87,35.1901,37.26,36.0736477115,1099831.0,0.0,1.0
2021-01-29,41.67,43.15,38.5708,39.58,38.319779292,1094951.0,0.0,1.0
2021-01-28,42.82,48.69,36.75,38.78,37.5452511608,3410561.0,0.0,1.0
2021-01-27,45.16,58.98,39.581,42.85,41.4856630284,7237895.0,0.0,1.0
2021-01-26,35.11,38.78,35.08,38.45,37.2257583067,988248.0,0.0,1.0
2021-01-25,31.5,36.59,31.45,34.86,33.7500633179,1123982.0,0.0,1.0
2021-01-22,29.63,30.22,29.5,30.14,29.1803473437,256158.0,0.0,1.0
2021-01-21,29.66,30.0,29.58,29.65,28.7059488633,114456.0,0.0,1.0
2021-01-20,30.06,30.22,29.7,29.77,28.822128083,164055.0,0.0,1.0
2021-01-19,30.45,30.45,29.87,29.99,29.0351233191,154796.0,0.0,1.0
2021-01-15,29.87,30.35,29.72,30.31,29.3449345715,123646.0,0.0,1.0
2021-01-14,30.11,30.11,29.87,30.0,29.0448049207,127551.0,0.0,1.0
2021-01-13,30.04,30.2376,29.79,29.91,28.9576705059,133030.0,0.0,1.0
2021-01-12,29.88,30.15,29.58,30.01,29.0544865223,132157.0,0.0,1.0
2021-01-11,30.39,30.69,29.86,29.92,28.9673521076,108474.0,0.0,1.0
2021-01-08,31.06,31.15,30.2601,30.45,29.4804769945,200159.0,0.0,1.0
2021-01-07,31.23,31.37,30.58,31.0,30.0129650847,197043.0,0.0,1.0
2021-01-06,30.67,31.55,30.67,31.28,30.2840499307,183588.0,0.0,1.0
2021-01-05,29.85,30.8,29.825,30.72,29.7418802388,339037.0,0.0,1.0
2021-01-04,29.66,30.05,29.56,29.86,28.9092624977,207208.0,0.0,1.0
2020-12-31,29.65,29.8,29.16,29.7,28.7543568715,207745.0,0.0,1.0
2020-12-30,29.6,29.97,29.45,29.68,28.7349936682,257522.0,0.0,1.0
2020-12-29,30.2,30.33,29.62,29.66,28.7156304649,178296.0,0.0,1.0
2020-12-28,30.39,30.6,29.81,30.15,29.1900289453,196912.0,0.0,1.0
2020-12-24,29.96,30.5,29.85,30.4,29.4320689863,77129.0,0.0,1.0
2020-12-23,30.0,30.18,29.815,30.03,29.0738497256,108887.0,0.0,1.0
2020-12-22,30.2,30.25,29.77,29.98,29.0254417174,178013.0,0.0,1.0
2020-12-21,29.76,30.44,29.75,30.28,29.3158897666,138823.0,0.0,1.0
2020-12-18,29.99,30.3,29.61,30.17,29.2093921486,646422.0,0.09,1.0
2020-12-17,29.92,30.07,29.66,29.98,28.9391135696,155330.0,0.0,1.0
2020-12-16,30.14,30.23,29.68,29.83,28.7943214736,210303.0,0.0,1.0
2020-12-15,30.76,30.79,29.99,30.1,29.0549472463,165731.0,0.0,1.0
2020-12-14,31.19,31.435,30.7,30.72,29.6534212427,190725.0,0.0,1.0
2020-12-11,29.79,31.12,29.66,30.89,29.8175189514,265372.0,0.0,1.0
2020-12-10,30.03,30.245,29.67,29.87,28.8329326992,229349.0,0.0,1.0
2020-12-09,30.52,30.91,30.12,30.22,29.170780923,250615.0,0.0,1.0
2020-12-08,30.0,30.82,30.0,30.47,29.4121010829,767015.0,0.0,1.0
2020-12-07,30.38,30.7,30.16,30.18,29.1321696974,179182.0,0.0,1.0
2020-12-04,30.77,30.9,30.23,30.42,29.3638370509,134398.0,0.0,1.0
2020-12-03,30.45,30.74,30.27,30.54,29.4796707276,103888.0,0.0,1.0
2020-12-02,31.0,31.02,30.151,30.39,29.3348786317,140782.0,0.0,1.0
2020-12-01,31.18,31.57,30.65,31.04,29.9623110473,161771.0,0.0,1.0
2020-11-30,31.43,31.43,30.67,30.97,29.8947414026,141012.0,0.0,1.0
2020-11-27,31.4,31.71,31.03,31.43,30.3387704967,65388.0,0.0,1.0
2020-11-25,31.95,32.22,31.51,31.55,30.4546041734,145873.0,0.0,1.0
2020-11-24,31.81,32.07,31.59,31.88,30.7731467844,184356.0,0.0,1.0
2020-11-23,31.47,31.805,31.16,31.55,30.4546041734,140719.0,0.0,1.0
2020-11-20,31.8,32.09,31.1,31.49,30.3966873351,310951.0,0.0,1.0
2020-11-19,31.67,32.09,31.39,31.99,30.8793276548,131182.0,0.0,1.0
2020-11-18,32.59,32.64,31.72,31.75,30.6476603013,206061.0,0.0,1.0
2020-11-17,32.2,33.06,31.8936,32.43,31.3040511361,189360.0,0.0,1.0
2020-11-16,32.15,32.5,31.54,32.47,31.3426623617,172539.0,0.0,1.0
2020-11-13,31.37,32.07,31.29,31.9,30.7924523972,153053.0,0.0,1.0
2020-11-12,31.39,31.39,30.62,31.18,30.0974503368,146574.0,0.0,1.0
2020-11-11,31.03,31.45,30.55,31.39,30.3001592711,179003.0,0.0,1.0
2020-11-10,29.6,31.12,29.39,30.96,29.8850885962,238899.0,0.0,1.0
2020-11-09,30.98,31.25,29.39,29.42,28.3985564115,225716.0,0.0,1.0
2020-11-06,29.82,30.585,29.82,30.49,29.4314066957,109632.0,0.0,1.0
2020-11-05,29.71,30.18,29.6,29.88,28.8425855056,142428.0,0.0,1.0
2020-11-04,29.61,30.14,29.43,29.57,28.5433485074,160507.0,0.0,1.0
2020-11-03,30.07,30.33,29.595,29.68,28.6495293777,128330.0,0.0,1.0
2020-11-02,30.02,30.25,29.5,29.78,28.7460574417,170419.0,0.0,1.0
2020-10-30,30.04,30.33,29.58,29.88,28.8425855056,186917.0,0.0,1.0
2020-10-29,29.91,30.19,29.4,30.14,29.0935584719,241108.0,0.0,1.0
2020-10-28,29.86,30.33,29.64,29.88,28.8425855056,203021.0,0.0,1.0
2020-10-27,30.29,30.86,30.11,30.13,29.0839056655,176317.0,0.0,1.0
2020-10-26,30.21,30.48,29.9,30.32,29.267308987,198210.0,0.0,1.0
2020-10-23,30.44,30.72,30.14,30.56,29.4989763404,136299.0,0.0,1.0
2020-10-22,30.27,30.5,29.78,30.43,29.3734898573,154580.0,0.0,1.0
2020-10-21,31.25,31.31,30.3,30.36,29.3059202125,135816.0,0.0,1.0
2020-10-20,31.28,31.34,30.79,31.16,30.0781447241,165522.0,0.0,1.0
2020-10-19,30.85,31.24,30.74,31.06,29.9816166601,191276.0,0.0,1.0
2020-10-16,31.18,31.34,30.9,30.94,29.8657829834,129269.0,0.0,1.0
2020-10-15,30.74,31.25,30.71,31.22,30.1360615624,238624.0,0.0,1.0
2020-10-14,31.37,31.52,30.93,30.97,29.8947414026,126547.0,0.0,1.0
2020-10-13,31.98,32.2,31.39,31.5,30.4063401415,171595.0,0.0,1.0
2020-10-12,31.86,32.37,31.86,32.15,31.0337725571,139703.0,0.0,1.0
2020-10-09,31.68,32.11,31.6001,31.96,30.8503692356,118208.0,0.0,1.0
2020-10-08,31.55,31.9,31.47,31.64,30.541479431,214293.0,0.0,1.0
2020-10-07,31.34,31.5,31.03,31.46,30.3677289159,143833.0,0.0,1.0
2020-10-06,31.39,31.5,31.04,31.23,30.1457143688,127747.0,0.0,1.0
