date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,34.12,34.31,33.63,33.83,33.83,218194.0,0.0,1.0
2021-04-15,33.81,34.11,32.76,33.56,33.56,258830.0,0.0,1.0
2021-04-14,33.1,34.1,33.1,33.92,33.92,308837.0,0.0,1.0
2021-04-13,34.05,34.05,32.951,33.15,33.15,306312.0,0.0,1.0
2021-04-12,34.02,34.55,34.02,34.35,34.35,168546.0,0.0,1.0
2021-04-09,33.87,34.09,33.53,34.03,34.03,225281.0,0.0,1.0
2021-04-08,33.46,33.56,32.73,33.52,33.52,300920.0,0.0,1.0
2021-04-07,34.18,34.415,33.46,33.63,33.63,267892.0,0.0,1.0
2021-04-06,34.28,34.82,33.55,33.82,33.82,292432.0,0.0,1.0
2021-04-05,34.86,34.918,33.75,34.2,34.2,377453.0,0.0,1.0
2021-04-01,33.89,34.55,33.6,34.23,34.23,299401.0,0.0,1.0
2021-03-31,34.46,35.21,33.89,34.12,34.12,410673.0,0.0,1.0
2021-03-30,34.32,35.09,34.28,34.39,34.39,273555.0,0.0,1.0
2021-03-29,34.62,35.13,33.66,33.9,33.9,405400.0,0.0,1.0
2021-03-26,34.74,35.25,34.23,35.19,35.19,399776.0,0.0,1.0
2021-03-25,32.83,34.22,32.66,34.02,34.02,462896.0,0.0,1.0
2021-03-24,33.71,34.55,32.94,33.01,33.01,454818.0,0.0,1.0
2021-03-23,34.0,34.33,32.9,33.17,33.17,387251.0,0.0,1.0
2021-03-22,35.43,35.43,34.14,34.45,34.45,298657.0,0.0,1.0
2021-03-19,33.94,35.98,33.89,35.83,35.83,1530138.0,0.0,1.0
2021-03-18,35.86,36.67,35.27,35.42,35.42,320026.0,0.0,1.0
2021-03-17,35.93,35.945,35.0,35.32,35.32,418428.0,0.0,1.0
2021-03-16,35.27,35.5019,34.7,35.43,35.43,308273.0,0.0,1.0
2021-03-15,36.65,36.65,35.22,35.71,35.71,329134.0,0.0,1.0
2021-03-12,36.0,36.59,35.675,36.46,36.46,402899.0,0.19,1.0
2021-03-11,35.66,36.25,35.44,35.75,35.5646657572,487627.0,0.0,1.0
2021-03-10,35.29,35.935,35.29,35.72,35.5348212824,549185.0,0.0,1.0
2021-03-09,34.93,35.66,34.26,35.21,35.0274652115,455768.0,0.0,1.0
2021-03-08,34.87,36.115,34.87,35.52,35.3358581173,691756.0,0.0,1.0
2021-03-05,34.64,35.11,33.78,34.72,34.540005457,587709.0,0.0,1.0
2021-03-04,34.37,35.0,33.22,33.765,33.5899563438,614023.0,0.0,1.0
2021-03-03,33.91,35.04,33.91,34.17,33.9928567531,437046.0,0.0,1.0
2021-03-02,34.15,34.15,33.3,33.64,33.4656043656,339895.0,0.0,1.0
2021-03-01,33.93,34.575,33.64,34.07,33.8933751705,350666.0,0.0,1.0
2021-02-26,33.96,33.99,32.82,33.06,32.8886111869,375007.0,0.0,1.0
2021-02-25,35.19,35.325,33.91,34.04,33.8635306958,365240.0,0.0,1.0
2021-02-24,33.86,34.9,33.86,34.82,34.6394870396,649322.0,0.0,1.0
2021-02-23,33.92,34.55,33.16,34.15,33.9729604366,657499.0,0.0,1.0
2021-02-22,33.05,34.02,32.555,33.73,33.5551377899,452861.0,0.0,1.0
2021-02-19,32.51,33.23,32.26,33.01,32.8388703956,447161.0,0.0,1.0
2021-02-18,32.41,32.58,31.86,32.25,32.0828103683,458508.0,0.0,1.0
2021-02-17,32.93,32.9899,32.39,32.61,32.4409440655,269920.0,0.0,1.0
2021-02-16,31.97,32.98,31.97,32.72,32.5503738063,297939.0,0.0,1.0
2021-02-12,32.09,32.52,31.94,32.24,32.0728622101,273429.0,0.0,1.0
2021-02-11,32.33,32.65,31.59,32.09,31.9236398363,366593.0,0.0,1.0
2021-02-10,32.2,32.64,32.11,32.26,32.0927585266,501085.0,0.0,1.0
2021-02-09,32.15,32.39,31.66,32.28,32.1126548431,401139.0,0.0,1.0
2021-02-08,31.72,32.24,31.4,32.18,32.0131732606,439268.0,0.0,1.0
2021-02-05,32.25,32.33,31.32,31.53,31.3665429741,239708.0,0.0,1.0
2021-02-04,30.9,32.03,30.86,32.0,31.834106412,583102.0,0.0,1.0
2021-02-03,30.59,30.83,30.12,30.71,30.5507939973,286326.0,0.0,1.0
2021-02-02,30.78,30.79,30.15,30.53,30.3717271487,505776.0,0.0,1.0
2021-02-01,30.0,30.4,28.4332,30.23,30.0732824011,249206.0,0.0,1.0
2021-01-29,31.01,31.175,29.76,29.83,29.6753560709,534690.0,0.0,1.0
2021-01-28,31.31,31.31,30.71,31.08,30.9188758527,747786.0,0.0,1.0
2021-01-27,30.67,31.25,30.4,30.66,30.501053206,659852.0,0.0,1.0
2021-01-26,32.0,32.08,31.21,31.33,31.167579809,498301.0,0.0,1.0
2021-01-25,31.69,31.8,31.0,31.51,31.3466466576,470877.0,0.0,1.0
2021-01-22,30.02,31.88,29.87,31.77,31.6052987722,658429.0,0.0,1.0
2021-01-21,31.89,31.9599,30.28,30.29,30.1329713506,427986.0,0.0,1.0
2021-01-20,31.35,32.0,30.03,31.53,31.3665429741,656978.0,0.0,1.0
2021-01-19,31.88,31.92,31.16,31.67,31.5058171896,370955.0,0.0,1.0
2021-01-15,31.37,31.91,31.26,31.53,31.3665429741,383172.0,0.0,1.0
2021-01-14,31.8,32.19,31.55,31.98,31.8142100955,369877.0,0.0,1.0
2021-01-13,31.51,32.0,31.24,31.49,31.3267503411,428177.0,0.0,1.0
2021-01-12,31.79,32.52,31.28,32.28,32.1126548431,502967.0,0.0,1.0
2021-01-11,30.58,31.5,30.0,31.43,31.2670613915,437310.0,0.0,1.0
2021-01-08,31.32,31.33,30.47,30.98,30.8193942701,574310.0,0.0,1.0
2021-01-07,30.67,31.525,30.64,31.16,30.9984611187,492191.0,0.0,1.0
2021-01-06,29.33,31.2,28.88,30.8,30.6403274216,1053236.0,0.0,1.0
2021-01-05,27.37,28.82,27.37,28.38,28.2328731241,478368.0,0.0,1.0
2021-01-04,28.75,28.91,26.97,28.16,28.0140136426,546463.0,0.0,1.0
2020-12-31,28.35,28.6,28.08,28.44,28.2925620737,267643.0,0.0,1.0
2020-12-30,27.78,28.435,27.2,28.26,28.1134952251,344797.0,0.0,1.0
2020-12-29,28.75,28.89,27.73,27.93,27.7852060027,343609.0,0.0,1.0
2020-12-28,28.82,28.94,28.55,28.76,28.6109031378,411186.0,0.0,1.0
2020-12-24,28.62,28.71,28.3,28.71,28.5611623465,219197.0,0.0,1.0
2020-12-23,27.95,28.52,27.92,28.38,28.2328731241,477043.0,0.0,1.0
2020-12-22,28.05,28.19,27.69,27.83,27.6857244202,510104.0,0.0,1.0
2020-12-21,27.97,28.3,27.49,28.06,27.91453206,485625.0,0.0,1.0
2020-12-18,27.69,28.29,27.69,28.01,27.8647912688,2923851.0,0.0,1.0
2020-12-17,28.12,28.36,27.82,27.895,27.7503874488,637943.0,0.0,1.0
2020-12-16,27.83,28.08,27.65,27.96,27.8150504775,484315.0,0.0,1.0
2020-12-15,27.75,27.97,27.43,27.82,27.6757762619,554558.0,0.0,1.0
2020-12-14,27.59,27.98,27.23,27.45,27.3076944065,608098.0,0.18,1.0
2020-12-11,26.48,27.17,26.48,27.05,26.734460141,326780.0,0.0,1.0
2020-12-10,26.6,26.95,26.56,26.86,26.5466765023,320578.0,0.0,1.0
2020-12-09,26.79,26.98,26.42,26.75,26.4379596589,320211.0,0.0,1.0
2020-12-08,26.06,26.55,26.06,26.495,26.1859342491,197647.0,0.0,1.0
2020-12-07,26.08,26.5,25.87,26.39,26.0821590803,213830.0,0.0,1.0
2020-12-04,25.97,26.38,25.71,26.35,26.0426256827,268183.0,0.0,1.0
2020-12-03,25.62,25.75,25.15,25.49,25.1926576338,433950.0,0.0,1.0
2020-12-02,24.76,25.49,24.76,25.39,25.0938241398,276602.0,0.0,1.0
2020-12-01,24.58,25.31,24.44,24.82,24.5304732237,360389.0,0.0,1.0
2020-11-30,24.96,25.35,23.84,23.91,23.6310884278,471971.0,0.0,1.0
2020-11-27,25.61,25.61,24.86,25.31,25.0147573445,116835.0,0.0,1.0
2020-11-25,26.17,26.4,25.47,25.76,25.4595080678,335199.0,0.0,1.0
2020-11-24,25.8,26.68,25.78,26.54,26.2304093214,399940.0,0.0,1.0
2020-11-23,25.13,25.47,24.88,25.145,24.8516820794,580702.0,0.0,1.0
2020-11-20,24.38,25.56,24.38,24.75,24.4612897779,271928.0,0.0,1.0
2020-11-19,25.04,25.06,24.46,24.97,24.6787234648,216901.0,0.0,1.0
2020-11-18,26.0,26.15,25.08,25.08,24.7874403082,426932.0,0.0,1.0
2020-11-17,25.36,25.87,24.95,25.83,25.5286915136,453581.0,0.0,1.0
2020-11-16,24.82,25.8,24.64,25.78,25.4792747666,415289.0,0.0,1.0
2020-11-13,23.67,24.53,23.55,24.21,23.92758891,291900.0,0.0,1.0
2020-11-12,23.87,24.49,23.03,23.5,23.2258711022,494357.0,0.0,1.0
2020-11-11,25.51,25.81,23.9,24.21,23.92758891,505357.0,0.0,1.0
2020-11-10,25.34,26.21,25.2,25.44,25.1432408868,685247.0,0.0,1.0
2020-11-09,23.81,25.885,23.7,25.1,24.807207007,670246.0,0.0,1.0
2020-11-06,22.39,22.67,21.3267,21.68,21.4271015105,240479.0,0.0,1.0
2020-11-05,20.94,22.08,20.94,22.04,21.782902089,267406.0,0.0,1.0
2020-11-04,21.49,21.49,20.35,20.91,20.6660836063,471150.0,0.0,1.0
2020-11-03,21.84,22.14,21.535,21.97,21.7137186432,400384.0,0.0,1.0
2020-11-02,21.24,21.54,20.9,21.375,21.1256593536,408172.0,0.0,1.0
2020-10-30,20.68,21.04,20.66,20.94,20.6957336545,316977.0,0.0,1.0
2020-10-29,20.19,20.88,19.87,20.74,20.4980666664,297717.0,0.0,1.0
2020-10-28,20.19,20.66,19.88,20.3,20.0631992925,382372.0,0.0,1.0
2020-10-27,21.17,21.29,20.59,20.605,20.3646414494,337696.0,0.0,1.0
2020-10-26,21.08,21.15,20.77,21.13,20.8835172932,316540.0,0.0,1.0
2020-10-23,21.55,21.99,20.95,21.32,21.0713009319,502352.0,0.0,1.0
2020-10-22,20.78,21.45,20.47,21.45,21.1997844741,676398.0,0.0,1.0
2020-10-21,19.7,20.1461,19.43,19.76,19.5294984247,544384.0,0.0,1.0
2020-10-20,19.25,19.87,19.25,19.58,19.3515981354,436902.0,0.0,1.0
2020-10-19,19.11,19.5,18.94,19.06,18.8376639663,252031.0,0.0,1.0
2020-10-16,18.94,19.17,18.54,18.86,18.6399969782,271507.0,0.0,1.0
2020-10-15,18.33,18.93,18.22,18.9,18.6795303758,223045.0,0.0,1.0
2020-10-14,18.76,18.92,18.46,18.47,18.2545463514,278626.0,0.0,1.0
2020-10-13,19.07,19.11,18.3009,18.76,18.5411634841,531272.0,0.0,1.0
2020-10-12,18.99,19.17,18.74,19.17,18.9463808098,455499.0,0.0,1.0
2020-10-09,19.08,19.17,18.31,19.015,18.793188894,438306.0,0.0,1.0
2020-10-08,18.85,19.08,18.69,19.01,18.7882472193,475916.0,0.0,1.0
2020-10-07,18.32,18.8,18.28,18.61,18.3929132431,513983.0,0.0,1.0
2020-10-06,18.45,18.88,18.1272,18.15,17.9382791704,578034.0,0.0,1.0
2020-10-05,17.73,18.14,17.5,18.13,17.9185124716,434033.0,0.0,1.0
2020-10-02,16.72,17.49,16.72,17.42,17.2167946638,450765.0,0.0,1.0
2020-10-01,16.88,17.16,16.69,17.03,16.831344037,391138.0,0.0,1.0
2020-09-30,16.81,17.13,16.7,16.93,16.732510543,590535.0,0.0,1.0
2020-09-29,16.86,16.86,16.33,16.65,16.4557767596,376436.0,0.0,1.0
2020-09-28,16.69,17.1,16.51,16.95,16.7522772418,573036.0,0.0,1.0
