date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,18.1,18.1,17.8,17.88,17.88,638170.0,0.0,1.0
2021-04-15,17.62,18.11,17.42,18.1,18.1,868015.0,0.0,1.0
2021-04-14,17.55,17.77,17.38,17.42,17.42,342802.0,0.0,1.0
2021-04-13,17.36,17.6,17.14,17.56,17.56,604295.0,0.0,1.0
2021-04-12,17.35,17.405,17.07,17.36,17.36,561469.0,0.0,1.0
2021-04-09,17.43,17.47,17.24,17.33,17.33,666266.0,0.0,1.0
2021-04-08,17.0,17.41,16.975,17.3,17.3,555163.0,0.0,1.0
2021-04-07,17.05,17.28,16.8,17.16,17.16,707882.0,0.0,1.0
2021-04-06,16.86,17.195,16.8,17.09,17.09,597450.0,0.0,1.0
2021-04-05,17.19,17.36,16.67,16.88,16.88,878950.0,0.0,1.0
2021-04-01,16.69,17.02,16.58,17.02,17.02,750727.0,0.0,1.0
2021-03-31,16.88,16.925,16.52,16.52,16.52,923332.0,0.0,1.0
2021-03-30,16.72,17.02,16.69,16.91,16.91,678678.0,0.0,1.0
2021-03-29,17.17,17.32,16.62,16.69,16.69,810539.0,0.0,1.0
2021-03-26,17.03,17.41,16.95,17.34,17.34,1093598.0,0.0,1.0
2021-03-25,16.37,16.88,16.18,16.76,16.76,1853066.0,0.0,1.0
2021-03-24,16.61,17.34,16.57,16.57,16.57,814004.0,0.0,1.0
2021-03-23,16.65,16.92,16.25,16.39,16.39,508222.0,0.0,1.0
2021-03-22,17.12,17.12,16.55,16.79,16.79,667678.0,0.0,1.0
2021-03-19,17.74,17.75,17.07,17.13,17.13,1773724.0,0.0,1.0
2021-03-18,17.65,18.05,17.55,17.67,17.67,887962.0,0.0,1.0
2021-03-17,17.35,17.935,17.26,17.71,17.71,742926.0,0.0,1.0
2021-03-16,17.85,17.89,17.21,17.38,17.38,419244.0,0.0,1.0
2021-03-15,18.0,18.19,17.66,17.93,17.93,1098265.0,0.0,1.0
2021-03-12,17.64,18.05,17.49,18.05,18.05,1042511.0,0.15,1.0
2021-03-11,17.91,18.12,17.55,17.62,17.4747802198,1310305.0,0.0,1.0
2021-03-10,17.36,18.11,17.29,18.0,17.8516483516,618448.0,0.0,1.0
2021-03-09,18.1,18.1,17.3,17.37,17.2268406593,936020.0,0.0,1.0
2021-03-08,17.43,18.18,17.075,18.01,17.8615659341,887650.0,0.0,1.0
2021-03-05,16.95,17.27,16.34,17.22,17.0780769231,634300.0,0.0,1.0
2021-03-04,16.8,17.02,16.29,16.69,16.5524450549,932680.0,0.0,1.0
2021-03-03,16.24,16.96,16.05,16.7,16.5623626374,1171479.0,0.0,1.0
2021-03-02,16.7,16.7,16.095,16.15,16.0168956044,979875.0,0.0,1.0
2021-03-01,16.9,17.16,16.69,16.7,16.5623626374,799982.0,0.0,1.0
