date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,88.58,88.58,87.28,87.5,87.5,5416.0,0.0,1.0
2021-04-15,88.39,89.11,87.58,87.82,87.82,8846.0,0.0,1.0
2021-04-14,87.49,89.71,87.49,87.99,87.99,19180.0,0.0,1.0
2021-04-13,86.81,87.49,86.41,87.2,87.2,4745.0,0.0,1.0
2021-04-12,87.5,88.63,86.15,87.49,87.49,6300.0,0.0,1.0
2021-04-09,89.1,90.0,87.5,87.54,87.54,11640.0,0.0,1.0
2021-04-08,89.105,90.085,87.617,88.42,88.42,21438.0,0.0,1.0
2021-04-07,89.11,89.845,88.21,88.21,88.21,6129.0,0.0,1.0
2021-04-06,89.34,90.43,89.19,89.39,89.39,8045.0,0.0,1.0
2021-04-05,88.77,89.38,87.51,88.93,88.93,9823.0,0.0,1.0
2021-04-01,86.83,90.46,86.73,88.24,88.24,17150.0,0.0,1.0
2021-03-31,86.93,87.99,86.12,86.6,86.6,36385.0,0.0,1.0
2021-03-30,85.66,87.985,85.3,86.79,86.79,13343.0,0.0,1.0
2021-03-29,86.75,87.335,84.0,85.0,85.0,8783.0,0.0,1.0
2021-03-26,86.23,87.0,85.0,85.76,85.76,7039.0,0.0,1.0
2021-03-25,84.23,86.7,84.23,84.99,84.99,11202.0,0.0,1.0
2021-03-24,86.8,87.58,84.34,84.34,84.34,17973.0,0.0,1.0
2021-03-23,87.01,87.01,85.08,85.49,85.49,10296.0,0.0,1.0
2021-03-22,87.4,89.05,86.54,86.63,86.63,9412.0,0.0,1.0
2021-03-19,89.37,89.9,86.96,86.96,86.96,33442.0,0.0,1.0
2021-03-18,89.42,90.055,88.245,88.37,88.37,6605.0,0.0,1.0
2021-03-17,90.29,90.63,88.18,90.63,90.63,7731.0,0.0,1.0
2021-03-16,93.22,93.22,91.49,91.9,91.9,5280.0,0.285,1.0
2021-03-15,92.63,92.99,91.795,92.99,92.7025112545,5670.0,0.0,1.0
2021-03-12,93.9029,93.9029,92.1693,92.65,92.3635624017,9398.0,0.0,1.0
2021-03-11,91.555,92.48,91.2,92.48,92.1940879753,7038.0,0.0,1.0
2021-03-10,89.32,92.91,89.32,91.2,90.9180452351,15231.0,0.0,1.0
2021-03-09,88.11,89.46,88.03,88.7,88.4257742583,7423.0,0.0,1.0
2021-03-08,87.89,89.0499,86.11,87.95,87.6780929652,5617.0,0.0,1.0
2021-03-05,85.75,88.5,85.3,87.45,87.1796387699,21717.0,0.0,1.0
2021-03-04,87.3,89.24,86.62,86.62,86.3522048056,9809.0,0.0,1.0
2021-03-03,87.81,89.04,87.2,87.2,86.9304116722,4404.0,0.0,1.0
2021-03-02,88.25,89.26,86.5,88.0,87.7279383848,11181.0,0.0,1.0
2021-03-01,84.67,89.2,84.67,88.79,88.5154960135,13381.0,0.0,1.0
2021-02-26,85.76,87.43,84.4,84.4,84.1390681781,10419.0,0.0,1.0
2021-02-25,86.75,88.4706,84.75,84.75,84.4879861149,8447.0,0.0,1.0
2021-02-24,85.13,87.445,85.13,85.67,85.4051418344,12415.0,0.0,1.0
2021-02-23,84.81,86.48,83.79,84.11,83.8499647448,15461.0,0.0,1.0
2021-02-22,89.715,89.715,84.52,84.99,84.7272441287,9489.0,0.0,1.0
2021-02-19,88.92,91.035,87.41,89.1,88.8245376146,12796.0,0.0,1.0
2021-02-18,89.4,90.585,89.0,89.0,88.7248467755,3459.0,0.0,1.0
2021-02-17,89.25,90.54,89.25,89.25,88.9740738732,2804.0,0.0,1.0
2021-02-16,91.72,91.72,90.14,90.14,89.8613223409,5333.0,0.0,1.0
2021-02-12,92.025,92.025,89.815,91.59,91.3068395075,4286.0,0.0,1.0
2021-02-11,92.5,92.5,90.995,91.15,90.8681998156,7859.0,0.0,1.0
2021-02-10,91.44,92.21,91.12,91.4,91.1174269133,9522.0,0.0,1.0
2021-02-09,92.0,92.285,90.3,91.1,90.8183543961,9833.0,0.0,1.0
2021-02-08,92.58,95.645,91.12,91.12,90.8382925639,7421.0,0.0,1.0
2021-02-05,94.0,94.4,92.32,92.41,92.1243043879,9479.0,0.0,1.0
2021-02-04,91.885,93.4,91.55,92.92,92.6327276672,7809.0,0.0,1.0
2021-02-03,87.64,90.7,87.06,90.5,90.2202093616,10642.0,0.0,1.0
2021-02-02,86.71,88.795,86.31,88.5,88.2263925801,18883.0,0.0,1.0
2021-02-01,86.36,87.115,85.755,86.03,85.764028855,8780.0,0.0,1.0
2021-01-29,84.57,87.08,83.37,86.67,86.4020502251,28839.0,0.0,1.0
2021-01-28,83.84,86.215,83.0001,84.99,84.7272441287,22262.0,0.0,1.0
2021-01-27,82.62,84.86,82.18,83.75,83.4910777241,23584.0,0.0,1.0
