date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,13.99,13.99,13.49,13.49,13.49,3121.0,0.0,1.0
2021-04-15,13.57,13.57,13.5,13.5,13.5,25806.0,0.0,1.0
2021-04-14,13.422,13.48,13.3314,13.47,13.47,14597.0,0.0,1.0
2021-04-13,13.35,13.35,13.35,13.35,13.35,31.0,0.0,1.0
2021-04-12,13.56,13.56,13.28,13.35,13.35,14583.0,0.0,1.0
2021-04-09,13.23,13.4099,13.23,13.34,13.34,4093.0,0.0,1.0
2021-04-08,13.255,13.4,13.255,13.26,13.26,14349.0,0.0,1.0
2021-04-07,13.18,13.3,13.18,13.2,13.2,3788.0,0.0,1.0
2021-04-06,13.18,13.25,13.17,13.19,13.19,11029.0,0.0,1.0
2021-04-05,13.3,13.3,13.16,13.18,13.18,4690.0,0.0,1.0
2021-04-01,13.13,13.2301,13.13,13.17,13.17,8117.0,0.0,1.0
2021-03-31,13.1,13.19,13.02,13.12,13.12,20015.0,0.0,1.0
2021-03-30,13.0842,13.15,13.07,13.15,13.15,6618.0,0.0,1.0
2021-03-29,13.165,13.18,13.09,13.1,13.1,17463.0,0.0,1.0
2021-03-26,13.18,13.31,13.0784,13.12,13.12,8731.0,0.0,1.0
2021-03-25,13.07,13.18,13.07,13.18,13.18,5399.0,0.0,1.0
2021-03-24,13.17,13.18,13.0691,13.13,13.13,4929.0,0.0,1.0
2021-03-23,13.02,13.16,13.02,13.15,13.15,27126.0,0.0,1.0
2021-03-22,13.003,13.09,12.98,13.064,13.064,16449.0,0.0,1.0
2021-03-19,12.97,13.05,12.97,13.03,13.03,1464.0,0.0,1.0
2021-03-18,12.96,13.05,12.94,13.04,13.04,6875.0,0.0425,1.0
2021-03-17,13.02,13.15,13.02,13.1,13.0574431492,6665.0,0.0,1.0
2021-03-16,13.08,13.115,12.99,12.99,12.9478004968,12025.0,0.0,1.0
2021-03-15,13.0505,13.0907,13.05,13.0907,13.0481733614,1843.0,0.0,1.0
2021-03-12,13.17,13.17,12.98,13.0,12.9577680107,7469.0,0.0,1.0
2021-03-11,13.04,13.08,13.04,13.04,12.9976380661,9509.0,0.0,1.0
2021-03-10,13.035,13.18,13.02,13.03,12.9876705523,18530.0,0.0,1.0
2021-03-09,13.01,13.06,12.93,12.97,12.9278654691,20539.0,0.0,1.0
2021-03-08,12.92,12.94,12.92,12.94,12.8979629276,4329.0,0.0,1.0
2021-03-05,12.94,12.95,12.9,12.925,12.8830116568,6353.0,0.0,1.0
2021-03-04,12.94,13.18,12.94,12.94,12.8979629276,5213.0,0.0,1.0
2021-03-03,12.9631,12.9631,12.94,12.96,12.9178979553,3358.0,0.0,1.0
2021-03-02,12.92,13.08,12.92,13.01,12.9677355246,4527.0,0.0,1.0
2021-03-01,12.94,13.08,12.94,12.97,12.9278654691,9321.0,0.0,1.0
2021-02-26,13.17,13.17,12.85,13.0,12.9577680107,8195.0,0.0,1.0
2021-02-25,12.93,13.0,12.9178,13.0,12.9577680107,2986.0,0.0,1.0
2021-02-24,13.02,13.11,13.0,13.11,13.0674106631,3342.0,0.0,1.0
2021-02-23,13.01,13.02,12.71,13.02,12.9777030384,14727.0,0.0,1.0
2021-02-22,13.19,13.19,13.1,13.16,13.1172482324,5403.0,0.0,1.0
2021-02-19,13.3,13.31,13.3,13.31,13.2667609402,300.0,0.0,1.0
2021-02-18,13.41,13.41,13.3,13.34,13.2966634818,3886.0,0.0425,1.0
