date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,0.7605,0.82,0.75,0.75,0.75,11584.0,0.0,1.0
2021-04-15,0.79,0.82,0.78,0.78,0.78,35676.0,0.0,1.0
2021-04-14,0.77,0.8,0.753,0.8,0.8,9871.0,0.0,1.0
2021-04-13,0.8,0.8999,0.8,0.84,0.84,21500.0,0.0,1.0
2021-04-12,0.85,0.85,0.77,0.8,0.8,135566.0,0.0,1.0
2021-04-09,0.915,0.915,0.85,0.85,0.85,27824.0,0.0,1.0
2021-04-08,0.9,0.915,0.9,0.91,0.91,13836.0,0.0,1.0
2021-04-07,0.89,0.95,0.821,0.9,0.9,41965.0,0.0,1.0
2021-04-06,0.83,0.855,0.78,0.82,0.82,106626.0,0.0,1.0
2021-04-05,0.83,0.83,0.78,0.83,0.83,16407.0,0.0,1.0
2021-04-01,0.8397,0.9,0.8,0.825,0.825,125064.0,0.0,1.0
2021-03-31,0.7512,1.0,0.712,0.761,0.761,155305.0,0.0,1.0
2021-03-30,0.76,0.8501,0.75,0.85,0.85,3080.0,0.0,1.0
2021-03-29,0.75,0.92,0.75,0.7905,0.7905,17403.0,0.0,1.0
2021-03-26,0.78,0.8005,0.7,0.8,0.8,99029.0,0.0,1.0
2021-03-25,0.8,0.859899,0.71,0.8,0.8,395105.0,0.0,1.0
2021-03-24,0.850101,0.9,0.790016,0.8,0.8,20050.0,0.0,1.0
2021-03-23,0.86,0.875,0.7901,0.81,0.81,13717.0,0.0,1.0
2021-03-22,0.97,1.0,0.91,0.910101,0.910101,41292.0,0.0,1.0
2021-03-19,0.870001,0.97,0.87,0.9,0.9,12338.0,0.0,1.0
2021-03-18,0.9996,0.9996,0.92,0.95,0.95,10238.0,0.0,1.0
2021-03-17,0.9,0.98,0.85,0.89,0.89,58627.0,0.0,1.0
2021-03-16,1.0121,1.0408,0.9016,0.9488,0.9488,48263.0,0.0,1.0
2021-03-15,1.05,1.1,1.01,1.03,1.03,36923.0,0.0,1.0
2021-03-12,1.08,1.1,1.0401,1.1,1.1,9202.0,0.0,1.0
2021-03-11,1.25,1.25,0.97,1.0999,1.0999,10799.0,0.0,1.0
2021-03-10,1.0,1.2,0.8501,0.96,0.96,83769.0,0.0,1.0
2021-03-09,1.0,1.0,0.85,0.95,0.95,162726.0,0.0,1.0
2021-03-08,1.0,1.3,0.9,0.9,0.9,88886.0,0.0,1.0
2021-03-05,0.9792,1.11,0.81,0.99,0.99,189198.0,0.0,1.0
2021-03-04,0.9,1.0,0.79,0.86,0.86,94020.0,0.0,1.0
2021-03-03,1.3,1.31,1.03,1.03,1.03,92120.0,0.0,1.0
2021-03-02,1.32,1.42,1.21,1.27,1.27,63861.0,0.0,1.0
2021-03-01,1.41,1.49,1.38,1.425,1.425,24495.0,0.0,1.0
2021-02-26,1.46,1.49,1.29,1.37,1.37,80225.0,0.0,1.0
2021-02-25,1.51,1.605,1.41,1.425,1.425,36741.0,0.0,1.0
2021-02-24,1.5,1.65,1.42,1.52,1.52,101964.0,0.0,1.0
2021-02-23,1.72,1.72,1.5,1.58,1.58,138562.0,0.0,1.0
2021-02-22,1.79,1.79,1.69,1.72,1.72,68918.0,0.0,1.0
2021-02-19,1.8,1.83,1.6601,1.68,1.68,147340.0,0.0,1.0
2021-02-18,1.75,1.9,1.68,1.8,1.8,82434.0,0.0,1.0
2021-02-17,1.8,1.8,1.65,1.71,1.71,189134.0,0.0,1.0
2021-02-16,1.9,2.27,1.6,1.65,1.65,208439.0,0.0,1.0
2021-02-12,1.34,3.15,1.34,1.52,1.52,277859.0,0.0,1.0
