date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,2.2582,2.29,2.11,2.23,2.23,3891608.0,0.0,1.0
2021-04-15,2.51,2.5815,2.26,2.33,2.33,6770311.0,0.0,1.0
2021-04-14,2.49,2.64,2.45,2.48,2.48,4137426.0,0.0,1.0
2021-04-13,2.56,2.6189,2.4,2.54,2.54,5250289.0,0.0,1.0
2021-04-12,2.92,2.93,2.53,2.62,2.62,11904470.0,0.0,1.0
2021-04-09,3.06,3.0717,2.945,2.96,2.96,3841204.0,0.0,1.0
2021-04-08,3.12,3.45,3.04,3.09,3.09,17228253.0,0.0,1.0
2021-04-07,3.03,3.0329,2.91,2.99,2.99,3225002.0,0.0,1.0
2021-04-06,3.17,3.17,3.02,3.04,3.04,3214096.0,0.0,1.0
2021-04-05,3.1916,3.24,3.08,3.19,3.19,5698285.0,0.0,1.0
2021-04-01,2.9996,3.21,2.96,3.18,3.18,4749874.0,0.0,1.0
2021-03-31,3.07,3.1399,2.91,2.93,2.93,5818488.0,0.0,1.0
2021-03-30,3.06,3.16,2.9,3.1,3.1,6008214.0,0.0,1.0
2021-03-29,3.2,3.33,3.01,3.12,3.12,6658967.0,0.0,1.0
2021-03-26,3.455,3.4999,3.07,3.2,3.2,8491100.0,0.0,1.0
2021-03-25,2.99,3.4,2.9,3.38,3.38,8021281.0,0.0,1.0
2021-03-24,3.54,3.57,3.2,3.21,3.21,4034556.0,0.0,1.0
2021-03-23,3.76,3.79,3.4,3.5,3.5,6355525.0,0.0,1.0
2021-03-22,3.83,3.87,3.67,3.82,3.82,5503434.0,0.0,1.0
2021-03-19,3.65,3.7599,3.5,3.67,3.67,7401915.0,0.0,1.0
2021-03-18,3.52,4.05,3.5,3.64,3.64,17544265.0,0.0,1.0
2021-03-17,3.37,3.695,3.22,3.61,3.61,4699959.0,0.0,1.0
2021-03-16,3.67,3.86,3.37,3.48,3.48,8278468.0,0.0,1.0
2021-03-15,3.63,3.76,3.475,3.59,3.59,4517535.0,0.0,1.0
2021-03-12,3.33,3.54,3.17,3.51,3.51,6745839.0,0.0,1.0
2021-03-11,3.25,3.59,3.16,3.37,3.37,7979992.0,0.0,1.0
2021-03-10,3.28,3.32,3.03,3.15,3.15,7445807.0,0.0,1.0
2021-03-09,3.16,3.38,3.03,3.21,3.21,6434571.0,0.0,1.0
2021-03-08,3.0281,3.29,2.91,3.0,3.0,9574847.0,0.0,1.0
2021-03-05,3.0157,3.2,2.38,3.05,3.05,17026904.0,0.0,1.0
2021-03-04,3.4402,3.51,2.73,2.92,2.92,19366501.0,0.0,1.0
2021-03-03,3.74,3.85,3.56,3.6,3.6,8350757.0,0.0,1.0
2021-03-02,3.88,4.12,3.554,3.98,3.98,30123969.0,0.0,1.0
2021-03-01,3.39,3.59,3.28,3.32,3.32,5220390.0,0.0,1.0
2021-02-26,3.25,3.455,2.97,3.24,3.24,9479987.0,0.0,1.0
2021-02-25,3.7,3.9,3.28,3.34,3.34,9613618.0,0.0,1.0
2021-02-24,3.76,4.02,3.65,3.67,3.67,6076586.0,0.0,1.0
2021-02-23,3.6,4.07,2.96,3.86,3.86,12015371.0,0.0,1.0
2021-02-22,4.2,4.39,3.82,3.92,3.92,9863617.0,0.0,1.0
2021-02-19,4.74,4.74,4.37,4.42,4.42,6508487.0,0.0,1.0
2021-02-18,4.73,4.95,4.4,4.58,4.58,14910478.0,0.0,1.0
2021-02-17,5.03,5.35,4.6509,5.06,5.06,27949675.0,0.0,1.0
2021-02-16,4.22,4.5,4.16,4.35,4.35,10382826.0,0.0,1.0
2021-02-12,4.05,4.29,3.89,4.09,4.09,9055896.0,0.0,1.0
2021-02-11,4.455,4.63,4.08,4.23,4.23,19358014.0,0.0,1.0
2021-02-10,4.69,5.1,4.33,4.74,4.74,23417004.0,0.0,1.0
2021-02-09,4.18,5.07,3.87,4.9,4.9,58219074.0,0.0,1.0
2021-02-08,4.48,4.75,3.86,4.03,4.03,46881904.0,0.0,1.0
2021-02-05,2.72,3.8589,2.61,3.66,3.66,75014361.0,0.0,1.0
2021-02-04,2.8,2.8,2.52,2.65,2.65,33035054.0,0.0,1.0
2021-02-03,2.82,3.3099,2.75,3.14,3.14,10545731.0,0.0,1.0
2021-02-02,2.7,2.83,2.66,2.68,2.68,5190940.0,0.0,1.0
2021-02-01,2.42,2.84,2.2,2.58,2.58,10864848.0,0.0,1.0
2021-01-29,2.72,2.74,2.22,2.32,2.32,8318145.0,0.0,1.0
2021-01-28,2.86,2.98,2.5611,2.65,2.65,7620116.0,0.0,1.0
2021-01-27,2.805,3.57,2.72,2.93,2.93,34660139.0,0.0,1.0
2021-01-26,2.74,2.79,2.52,2.55,2.55,8668926.0,0.0,1.0
2021-01-25,2.67,2.72,2.23,2.7,2.7,11931000.0,0.0,1.0
2021-01-22,2.42,2.65,2.36,2.54,2.54,6325575.0,0.0,1.0
2021-01-21,2.57,2.6,2.35,2.51,2.51,10463733.0,0.0,1.0
2021-01-20,2.7181,2.84,2.35,2.62,2.62,20775328.0,0.0,1.0
2021-01-19,2.16,2.65,2.07,2.61,2.61,38453690.0,0.0,1.0
2021-01-15,1.96,2.17,1.75,2.0,2.0,15741945.0,0.0,1.0
2021-01-14,1.84,2.2,1.68,1.92,1.92,28445600.0,0.0,1.0
2021-01-13,1.72,1.82,1.65,1.78,1.78,6170982.0,0.0,1.0
2021-01-12,1.7285,1.75,1.66,1.68,1.68,2042454.0,0.0,1.0
2021-01-11,1.5787,1.83,1.55,1.69,1.69,4554283.0,0.0,1.0
2021-01-08,1.78,1.78,1.63,1.67,1.67,2750212.0,0.0,1.0
2021-01-07,1.98,1.98,1.58,1.76,1.76,14551319.0,0.0,1.0
2021-01-06,1.46,1.99,1.46,1.98,1.98,15755320.0,0.0,1.0
2021-01-05,1.39,1.5,1.37,1.46,1.46,2133407.0,0.0,1.0
2021-01-04,1.31,1.39,1.27,1.39,1.39,2018114.0,0.0,1.0
2020-12-31,1.34,1.36,1.28,1.32,1.32,1324837.0,0.0,1.0
