date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,25.82,26.31,25.61,25.78,25.78,338356.0,0.0,1.0
2021-04-15,26.36,26.61,25.41,25.91,25.91,579811.0,0.0,1.0
2021-04-14,26.33,26.72,25.58,25.82,25.82,608474.0,0.0,1.0
2021-04-13,25.5,25.59,24.76,25.4,25.4,642283.0,0.0,1.0
2021-04-12,24.8,24.91,23.8,23.87,23.87,373299.0,0.0,1.0
2021-04-09,24.81,24.89,24.02,24.75,24.75,544631.0,0.0,1.0
2021-04-08,24.19,24.66,23.87,24.45,24.45,396549.0,0.0,1.0
2021-04-07,24.55,24.81,23.77,23.98,23.98,330030.0,0.0,1.0
2021-04-06,25.13,25.13,24.39,24.45,24.45,287178.0,0.0,1.0
2021-04-05,24.7,25.25,24.65,25.22,25.22,294041.0,0.0,1.0
2021-04-01,24.77,25.0,23.81,24.36,24.36,326637.0,0.0,1.0
2021-03-31,24.14,24.68,24.13,24.48,24.48,418735.0,0.0,1.0
2021-03-30,23.14,24.06,23.09,23.88,23.88,382528.0,0.0,1.0
2021-03-29,23.5,23.87,22.7,22.78,22.78,529361.0,0.0,1.0
2021-03-26,24.39,24.47,23.0,23.51,23.51,495086.0,0.0,1.0
2021-03-25,23.41,24.41,23.25,24.26,24.26,389643.0,0.0,1.0
2021-03-24,24.13,24.51,23.45,23.5,23.5,619866.0,0.0,1.0
2021-03-23,24.59,24.77,23.48,23.67,23.67,598429.0,0.0,1.0
2021-03-22,25.7,25.73,24.9,24.9,24.9,438224.0,0.0,1.0
2021-03-19,26.51,26.88,26.03,26.06,26.06,1043652.0,0.0,1.0
2021-03-18,27.28,27.54,26.295,26.45,26.45,431689.0,0.0,1.0
2021-03-17,27.13,27.74,26.7,27.69,27.69,381992.0,0.0,1.0
2021-03-16,28.16,28.24,27.4,27.88,27.88,372587.0,0.0,1.0
2021-03-15,28.41,28.44,27.43,28.29,28.29,547140.0,0.0,1.0
2021-03-12,28.5,28.98,28.33,28.71,28.71,336417.0,0.0,1.0
2021-03-11,28.0,28.97,27.89,28.9,28.9,425608.0,0.0,1.0
2021-03-10,27.06,28.14,27.06,27.89,27.89,608622.0,0.0,1.0
2021-03-09,26.5,27.49,26.05,26.99,26.99,558783.0,0.0,1.0
2021-03-08,26.12,26.94,25.9413,26.09,26.09,484572.0,0.0,1.0
2021-03-05,25.88,26.48,24.555,26.32,26.32,778607.0,0.0,1.0
2021-03-04,26.68,26.74,24.8308,25.81,25.81,670675.0,0.0,1.0
2021-03-03,27.55,27.99,26.77,26.91,26.91,550267.0,0.0,1.0
2021-03-02,28.0,28.32,27.55,27.59,27.59,506427.0,0.0,1.0
2021-03-01,27.9,28.54,27.7,28.23,28.23,372774.0,0.0,1.0
2021-02-26,27.35,27.9,26.74,27.48,27.48,483826.0,0.0,1.0
2021-02-25,27.93,27.97,26.92,27.31,27.31,640261.0,0.0,1.0
2021-02-24,27.21,28.005,27.01,27.9,27.9,388557.0,0.0,1.0
2021-02-23,27.28,27.62,26.0,27.51,27.51,584821.0,0.0,1.0
2021-02-22,28.2,29.09,28.07,28.46,28.46,542242.0,0.0,1.0
2021-02-19,27.53,28.8,27.53,28.64,28.64,636107.0,0.0,1.0
2021-02-18,28.36,28.41,26.84,27.44,27.44,617888.0,0.0,1.0
2021-02-17,30.23,30.23,28.81,29.07,29.07,428430.0,0.0,1.0
2021-02-16,29.53,30.57,29.53,30.5,30.5,521126.0,0.0,1.0
2021-02-12,29.87,30.43,29.31,29.73,29.73,799723.0,0.0,1.0
2021-02-11,29.88,30.71,29.18,30.02,30.02,869091.0,0.0,1.0
2021-02-10,28.57,30.28,28.41,30.12,30.12,1204588.0,0.0,1.0
2021-02-09,28.81,29.06,28.23,28.4,28.4,798137.0,0.0,1.0
2021-02-08,28.57,29.46,28.07,29.0,29.0,1334707.0,0.0,1.0
2021-02-05,28.04,28.79,27.79,28.67,28.67,911946.0,0.0,1.0
2021-02-04,29.37,29.5,27.48,27.93,27.93,735369.0,0.0,1.0
2021-02-03,28.67,29.5413,28.23,28.8,28.8,1489828.0,0.0,1.0
2021-02-02,26.88,27.31,26.42,27.0,27.0,970582.0,0.0,1.0
2021-02-01,26.21,27.35,26.14,27.1,27.1,976580.0,0.0,1.0
2021-01-29,26.45,26.79,25.46,26.29,26.29,759458.0,0.0,1.0
2021-01-28,26.16,27.33,26.08,26.7,26.7,1174606.0,0.0,1.0
2021-01-27,24.86,27.2,24.53,27.05,27.05,1117979.0,0.0,1.0
2021-01-26,27.34,27.65,25.56,25.76,25.76,858039.0,0.0,1.0
2021-01-25,26.75,27.47,25.87,27.07,27.07,764484.0,0.0,1.0
2021-01-22,27.03,27.53,26.78,27.14,27.14,520825.0,0.0,1.0
2021-01-21,25.93,27.64,25.93,27.57,27.57,1563832.0,0.0,1.0
2021-01-20,25.0,25.66,24.66,25.12,25.12,845111.0,0.0,1.0
2021-01-19,23.7,23.93,23.135,23.49,23.49,582576.0,0.0,1.0
2021-01-15,22.25,23.48,21.555,23.31,23.31,1046953.0,0.0,1.0
2021-01-14,21.83,22.83,21.69,22.79,22.79,861645.0,0.0,1.0
2021-01-13,21.2,21.43,20.75,20.84,20.84,749639.0,0.0,1.0
2021-01-12,20.03,20.95,19.85,20.9,20.9,451150.0,0.0,1.0
2021-01-11,19.72,19.98,19.4,19.87,19.87,614394.0,0.0,1.0
2021-01-08,21.06,21.24,20.16,20.48,20.48,958459.0,0.0,1.0
2021-01-07,21.8,22.31,20.02,20.61,20.61,1525750.0,0.0,1.0
2021-01-06,22.5,22.86,22.03,22.4,22.4,496440.0,0.0,1.0
2021-01-05,21.34,22.5,21.31,22.29,22.29,388881.0,0.0,1.0
2021-01-04,21.47,21.76,20.92,21.34,21.34,467262.0,0.0,1.0
2020-12-31,21.57,21.57,21.1121,21.3,21.3,242711.0,0.0,1.0
2020-12-30,21.38,21.93,21.37,21.51,21.51,269327.0,0.0,1.0
