date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,8.25,8.485,7.8001,8.0,8.0,38325.0,0.0,1.0
2021-04-15,8.29,8.29,8.02,8.26,8.26,18450.0,0.0,1.0
2021-04-14,8.09,8.6911,8.06,8.2,8.2,43276.0,0.0,1.0
2021-04-13,8.3,8.4416,8.0615,8.22,8.22,16864.0,0.0,1.0
2021-04-12,8.55,8.55,8.05,8.38,8.38,54480.0,0.0,1.0
2021-04-09,8.98,8.98,8.43,8.53,8.53,36193.0,0.0,1.0
2021-04-08,8.87,9.11,8.6,9.09,9.09,88622.0,0.0,1.0
2021-04-07,8.49,8.8,8.49,8.79,8.79,52632.0,0.0,1.0
2021-04-06,8.7,8.915,8.5301,8.82,8.82,68071.0,0.0,1.0
2021-04-05,8.75,9.15,8.63,8.78,8.78,92323.0,0.0,1.0
2021-04-01,8.38,8.62,8.33,8.62,8.62,103814.0,0.0,1.0
2021-03-31,7.62,8.74,7.58,8.36,8.36,111700.0,0.0,1.0
2021-03-30,7.53,7.83,7.52,7.57,7.57,102994.0,0.0,1.0
2021-03-29,8.33,8.35,7.5,7.51,7.51,172548.0,0.0,1.0
2021-03-26,8.28,8.385,8.07,8.35,8.35,38509.0,0.0,1.0
2021-03-25,8.12,8.49,8.05,8.27,8.27,69582.0,0.0,1.0
2021-03-24,8.35,8.395,7.92,8.22,8.22,80385.0,0.0,1.0
2021-03-23,8.3,8.35,8.19,8.29,8.29,37548.0,0.0,1.0
2021-03-22,8.28,8.28,7.8,8.28,8.28,55342.0,0.0,1.0
2021-03-19,8.22,8.43,8.19,8.3,8.3,18464.0,0.0,1.0
2021-03-18,8.47,8.5001,8.2,8.29,8.29,81423.0,0.0,1.0
2021-03-17,8.56,8.5846,8.0,8.51,8.51,112661.0,0.0,1.0
2021-03-16,8.51,8.725,8.505,8.6,8.6,37096.0,0.0,1.0
2021-03-15,8.61,8.719,8.32,8.5,8.5,36305.0,0.0,1.0
2021-03-12,8.89,8.93,8.5,8.77,8.77,67391.0,0.0,1.0
2021-03-11,8.9,8.9,8.56,8.89,8.89,71035.0,0.0,1.0
2021-03-10,9.0,9.0,8.55,8.9,8.9,90189.0,0.0,1.0
2021-03-09,8.81,9.0357,8.61,8.87,8.87,120065.0,0.0,1.0
2021-03-08,8.75,8.98,8.55,8.8,8.8,125383.0,0.0,1.0
2021-03-05,8.77,8.8,8.45,8.76,8.76,92639.0,0.0,1.0
2021-03-04,8.81,9.05,8.6027,8.79,8.79,184999.0,0.0,1.0
2021-03-03,9.24,9.2673,8.66,8.88,8.88,177897.0,0.0,1.0
2021-03-02,9.29,9.46,8.86,9.27,9.27,90248.0,0.0,1.0
2021-03-01,9.17,9.29,8.95,9.29,9.29,173906.0,0.0,1.0
2021-02-26,9.26,9.28,8.75,9.13,9.13,214812.0,0.0,1.0
2021-02-25,9.23,9.7216,8.96,9.3,9.3,162502.0,0.0,1.0
2021-02-24,9.03,9.3,9.0,9.14,9.14,110720.0,0.0,1.0
2021-02-23,9.06,9.44,8.5,9.18,9.18,140845.0,0.0,1.0
2021-02-22,9.22,9.44,9.2,9.33,9.33,82891.0,0.0,1.0
2021-02-19,9.0,9.34,9.0,9.32,9.32,86882.0,0.0,1.0
2021-02-18,8.97,9.1,8.55,9.03,9.03,120693.0,0.0,1.0
2021-02-17,8.78,9.09,8.41,8.95,8.95,194629.0,0.0,1.0
2021-02-16,8.57,8.75,8.36,8.64,8.64,116843.0,0.0,1.0
2021-02-12,8.84,8.92,8.5,8.5,8.5,100099.0,0.0,1.0
2021-02-11,9.01,9.04,8.79,8.81,8.81,90426.0,0.0,1.0
2021-02-10,9.09,9.25,8.7,8.96,8.96,110544.0,0.0,1.0
2021-02-09,9.22,9.22,8.8593,9.14,9.14,150066.0,0.0,1.0
2021-02-08,8.62,9.58,8.45,8.91,8.91,991681.0,0.0,1.0
2021-02-05,8.65,8.68,8.15,8.35,8.35,366468.0,0.0,1.0
2021-02-04,8.35,8.71,8.1,8.4,8.4,377092.0,0.0,1.0
2021-02-03,8.0,8.29,7.81,8.27,8.27,467382.0,0.0,1.0
2021-02-02,8.63,8.86,7.5,8.0,8.0,1516143.0,0.0,1.0
2021-02-01,7.71,8.09,7.65,7.9,7.9,76119.0,0.0,1.0
2021-01-29,7.5,7.9,7.5,7.9,7.9,71337.0,0.0,1.0
