date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,2.08,2.0938,2.0,2.05,2.05,1035853.0,0.0,1.0
2021-04-15,2.1,2.13,2.04,2.11,2.11,927695.0,0.0,1.0
2021-04-14,2.07,2.17,2.01,2.1,2.1,1138735.0,0.0,1.0
2021-04-13,2.08,2.11,2.01,2.08,2.08,1193277.0,0.0,1.0
2021-04-12,2.15,2.16,2.06,2.08,2.08,957853.0,0.0,1.0
2021-04-09,2.16,2.2,2.08,2.16,2.16,737131.0,0.0,1.0
2021-04-08,2.12,2.19,2.05,2.19,2.19,974734.0,0.0,1.0
2021-04-07,2.17,2.27,2.06,2.09,2.09,1863333.0,0.0,1.0
2021-04-06,2.26,2.26,2.125,2.185,2.185,850383.0,0.0,1.0
2021-04-05,2.17,2.3,2.09,2.28,2.28,1186219.0,0.0,1.0
2021-04-01,2.14,2.2354,2.1399,2.19,2.19,1506495.0,0.0,1.0
2021-03-31,2.12,2.2,2.09,2.13,2.13,674246.0,0.0,1.0
2021-03-30,2.04,2.165,1.99,2.14,2.14,1000472.0,0.0,1.0
2021-03-29,2.15,2.17,2.03,2.04,2.04,1709966.0,0.0,1.0
2021-03-26,2.13,2.15,2.05,2.15,2.15,821447.0,0.0,1.0
2021-03-25,2.06,2.16,2.03,2.13,2.13,1412729.0,0.0,1.0
2021-03-24,2.25,2.29,2.06,2.09,2.09,1882435.0,0.0,1.0
2021-03-23,2.35,2.38,2.17,2.21,2.21,1589879.0,0.0,1.0
2021-03-22,2.33,2.43,2.24,2.38,2.38,1504774.0,0.0,1.0
2021-03-19,2.19,2.36,2.13,2.35,2.35,5017094.0,0.0,1.0
2021-03-18,2.28,2.29,2.11,2.15,2.15,2217425.0,0.0,1.0
2021-03-17,2.28,2.33,2.22,2.3,2.3,2139928.0,0.0,1.0
2021-03-16,2.27,2.37,2.2099,2.28,2.28,1366533.0,0.0,1.0
2021-03-15,2.39,2.39,2.225,2.27,2.27,1177268.0,0.0,1.0
2021-03-12,2.25,2.37,2.23,2.35,2.35,1145799.0,0.0,1.0
2021-03-11,2.24,2.425,2.16,2.36,2.36,3485488.0,0.0,1.0
2021-03-10,2.26,2.29,2.13,2.15,2.15,1514097.0,0.0,1.0
2021-03-09,2.11,2.35,2.11,2.24,2.24,1618838.0,0.0,1.0
2021-03-08,2.1,2.21,2.0501,2.1,2.1,1277388.0,0.0,1.0
2021-03-05,2.2,2.24,1.96,2.13,2.13,2915685.0,0.0,1.0
2021-03-04,2.26,2.286,2.0,2.2,2.2,3596097.0,0.0,1.0
2021-03-03,2.39,2.42,2.18,2.32,2.32,1998975.0,0.0,1.0
2021-03-02,2.41,2.52,2.33,2.39,2.39,1820452.0,0.0,1.0
2021-03-01,2.5633,2.5799,2.38,2.41,2.41,2698347.0,0.0,1.0
2021-02-26,2.21,2.54,2.05,2.47,2.47,4466592.0,0.0,1.0
2021-02-25,2.36,2.45,2.1817,2.21,2.21,3258044.0,0.0,1.0
2021-02-24,2.55,2.65,2.32,2.36,2.36,3563908.0,0.0,1.0
2021-02-23,2.35,2.51,2.05,2.49,2.49,6743904.0,0.0,1.0
2021-02-22,2.95,3.18,2.5,2.55,2.55,10369013.0,0.0,1.0
2021-02-19,2.46,3.0,2.45,2.96,2.96,20042043.0,0.0,1.0
2021-02-18,2.36,2.88,2.21,2.48,2.48,34371521.0,0.0,1.0
2021-02-17,2.02,2.06,1.91,2.06,2.06,4008611.0,0.0,1.0
2021-02-16,1.96,2.03,1.88,1.99,1.99,3097236.0,0.0,1.0
2021-02-12,2.0,2.0,1.8711,1.91,1.91,2563518.0,0.0,1.0
2021-02-11,2.05,2.0799,1.91,1.98,1.98,3281765.0,0.0,1.0
2021-02-10,2.03,2.05,1.83,2.01,2.01,3580785.0,0.0,1.0
