date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,10.24,10.35,10.21,10.26,10.26,147798.0,0.0,1.0
2021-04-15,10.38,10.4062,10.15,10.27,10.27,158818.0,0.0,1.0
2021-04-14,10.28,10.46,10.28,10.38,10.38,182739.0,0.0,1.0
2021-04-13,10.21,10.4,10.21,10.34,10.34,98532.0,0.0,1.0
2021-04-12,10.17,10.28,10.15,10.27,10.27,120537.0,0.0,1.0
2021-04-09,10.16,10.2,10.145,10.2,10.2,257474.0,0.0,1.0
2021-04-08,10.15,10.3,10.15,10.23,10.23,88401.0,0.0,1.0
2021-04-07,10.15,10.26,10.12,10.15,10.15,307384.0,0.0,1.0
2021-04-06,10.17,10.28,10.11,10.2,10.2,148061.0,0.0,1.0
2021-04-05,10.14,10.2,10.12,10.17,10.17,134180.0,0.0,1.0
2021-04-01,10.19,10.24,10.1,10.16,10.16,387232.0,0.0,1.0
2021-03-31,10.2,10.2,10.06,10.12,10.12,74872.0,0.0,1.0
2021-03-30,10.06,10.13,10.03,10.1,10.1,313470.0,0.0,1.0
2021-03-29,10.19,10.2799,10.03,10.11,10.11,192442.0,0.0,1.0
2021-03-26,10.19,10.19,10.03,10.13,10.13,112996.0,0.0,1.0
2021-03-25,10.06,10.1,9.88,10.09,10.09,900491.0,0.0,1.0
2021-03-24,10.34,10.35,10.08,10.12,10.12,528961.0,0.0,1.0
2021-03-23,10.41,10.45,10.185,10.27,10.27,786118.0,0.0,1.0
2021-03-22,10.77,10.79,10.36,10.43,10.43,383951.0,0.0,1.0
2021-03-19,10.52,10.67,10.46,10.67,10.67,127660.0,0.0,1.0
2021-03-18,10.67,10.67,10.43,10.53,10.53,181233.0,0.0,1.0
2021-03-17,10.68,10.68,10.5002,10.59,10.59,174387.0,0.0,1.0
2021-03-16,10.55,10.73,10.5,10.6,10.6,458468.0,0.0,1.0
2021-03-15,10.64,10.68,10.41,10.46,10.46,150834.0,0.0,1.0
2021-03-12,10.65,10.9,10.6,10.62,10.62,147172.0,0.0,1.0
2021-03-11,10.57,10.93,10.57,10.71,10.71,312913.0,0.0,1.0
2021-03-10,10.72,10.79,10.46,10.46,10.46,326205.0,0.0,1.0
2021-03-09,10.55,10.74,10.41,10.63,10.63,653920.0,0.0,1.0
2021-03-08,10.52,10.8622,10.35,10.4,10.4,366705.0,0.0,1.0
2021-03-05,10.69,10.72,10.12,10.5,10.5,690878.0,0.0,1.0
2021-03-04,10.48,10.7,10.05,10.46,10.46,556437.0,0.0,1.0
2021-03-03,11.1,11.225,10.51,10.54,10.54,429019.0,0.0,1.0
2021-03-02,11.41,11.41,10.9836,11.2,11.2,787244.0,0.0,1.0
2021-03-01,11.5,11.835,11.37,11.41,11.41,592986.0,0.0,1.0
2021-02-26,11.32,11.48,11.13,11.48,11.48,1342998.0,0.0,1.0
2021-02-25,11.8,11.84,11.25,11.45,11.45,1136309.0,0.0,1.0
2021-02-24,12.0,12.0,11.71,11.8,11.8,591529.0,0.0,1.0
2021-02-23,11.61,12.0,11.49,11.7,11.7,826793.0,0.0,1.0
2021-02-22,12.0,12.34,11.82,12.09,12.09,953923.0,0.0,1.0
2021-02-19,11.9,12.14,11.86,11.99,11.99,774543.0,0.0,1.0
2021-02-18,12.0,12.05,11.77,11.85,11.85,630934.0,0.0,1.0
2021-02-17,12.1,12.16,11.9,12.03,12.03,603395.0,0.0,1.0
2021-02-16,12.48,12.55,12.08,12.1,12.1,970053.0,0.0,1.0
2021-02-12,12.17,12.66,11.965,12.3,12.3,1226269.0,0.0,1.0
2021-02-11,12.11,12.29,11.92,12.2,12.2,780873.0,0.0,1.0
2021-02-10,12.5,12.74,12.01,12.2,12.2,1189051.0,0.0,1.0
2021-02-09,12.18,12.55,12.02,12.4,12.4,1866514.0,0.0,1.0
2021-02-08,12.2,12.6299,11.92,11.98,11.98,756496.0,0.0,1.0
2021-02-05,11.73,12.25,11.7,11.96,11.96,332270.0,0.0,1.0
2021-02-04,11.5,12.17,11.473,11.95,11.95,867325.0,0.0,1.0
2021-02-03,11.49,11.55,11.275,11.41,11.41,290672.0,0.0,1.0
2021-02-02,11.48,11.74,11.2701,11.39,11.39,238269.0,0.0,1.0
2021-02-01,11.25,11.25,10.94,11.2,11.2,206439.0,0.0,1.0
2021-01-29,11.25,11.25,11.0001,11.24,11.24,269380.0,0.0,1.0
2021-01-28,10.94,11.24,10.9,11.2,11.2,389235.0,0.0,1.0
2021-01-27,10.65,10.96,10.63,10.8,10.8,673443.0,0.0,1.0
2021-01-26,11.15,11.49,10.65,10.75,10.75,932470.0,0.0,1.0
2021-01-25,11.4,11.5,11.09,11.09,11.09,218412.0,0.0,1.0
