date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,259.77,260.56,255.6,257.52,257.52,82030.0,0.0,1.0
2021-04-15,256.8,260.47,252.4,257.6,257.6,82620.0,0.72,1.0
2021-04-14,256.99,260.94,254.4,256.59,255.874821926,148446.0,0.0,1.0
2021-04-13,266.55,266.55,255.89,256.81,256.094208733,247183.0,0.0,1.0
2021-04-12,285.74,286.25,263.448,265.96,265.218705482,346390.0,0.0,1.0
2021-04-09,285.21,289.4,260.1001,280.07,279.289377516,996227.0,0.0,1.0
2021-04-08,306.56,313.73,302.34,309.52,308.65729328,138583.0,0.0,1.0
2021-04-07,318.0,321.4076,304.19,304.64,303.790895014,119988.0,0.0,1.0
2021-04-06,309.92,320.82,309.92,316.81,315.926974295,110366.0,0.0,1.0
2021-04-05,307.7,313.82,306.59,311.82,310.950882626,45364.0,0.0,1.0
2021-04-01,306.66,311.5,303.6866,307.04,306.184205636,53628.0,0.0,1.0
2021-03-31,304.94,311.64,300.64,306.18,305.326602663,95230.0,0.0,1.0
2021-03-30,301.41,305.18,298.38,304.95,304.100030969,52529.0,0.0,1.0
2021-03-29,307.86,312.37,302.51,303.45,302.60421183,59256.0,0.0,1.0
2021-03-26,302.43,307.35,301.31,306.66,305.805264788,57365.0,0.0,1.0
2021-03-25,300.19,303.51,294.19,301.98,301.138309074,41427.0,0.0,1.0
2021-03-24,304.85,308.12,299.78,300.06,299.223660576,65134.0,0.0,1.0
2021-03-23,305.53,310.4784,302.34,304.87,304.020253949,74387.0,0.0,1.0
2021-03-22,299.54,304.698,297.53,304.29,303.441870548,44740.0,0.0,1.0
2021-03-19,297.94,299.92,291.01,296.87,296.042551874,246130.0,0.0,1.0
2021-03-18,292.87,298.27,287.41,294.85,294.0281821,100147.0,0.0,1.0
2021-03-17,295.63,298.865,292.01,293.31,292.49247445,68224.0,0.0,1.0
2021-03-16,292.32,302.74,291.13,296.7,295.873025705,106806.0,0.0,1.0
2021-03-15,302.81,302.81,293.52,294.24,293.419882317,90826.0,0.0,1.0
2021-03-12,312.85,312.85,303.21,304.39,303.541591824,80652.0,0.0,1.0
2021-03-11,308.06,312.99,307.87,312.44,311.569154537,56803.0,0.0,1.0
