date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,77.18,77.9899,76.55,77.82,77.82,334090.0,0.0,1.0
2021-04-15,78.4,78.79,76.6,77.07,77.07,413857.0,0.0,1.0
2021-04-14,76.83,79.34,76.8,77.71,77.71,389711.0,0.0,1.0
2021-04-13,77.57,78.164,75.55,77.25,77.25,461725.0,0.12,1.0
2021-04-12,75.29,78.55,74.2,77.66,77.5395502133,717026.0,0.0,1.0
2021-04-09,78.52,78.7327,74.59,75.17,75.0534121753,701522.0,0.0,1.0
2021-04-08,80.03,80.4508,77.1701,78.78,78.6578131059,626068.0,0.0,1.0
2021-04-07,81.02,82.0,79.57,79.82,79.6962000775,650717.0,0.0,1.0
2021-04-06,79.51,81.74,79.0,81.0,80.8743699108,699650.0,0.0,1.0
2021-04-05,80.04,80.61,78.2,79.8,79.6762310973,396819.0,0.0,1.0
2021-04-01,77.31,79.5274,76.79,79.22,79.0971306708,568342.0,0.0,1.0
2021-03-31,77.83,78.36,75.8,76.71,76.5910236526,600368.0,0.0,1.0
2021-03-30,73.11,77.17,72.32,76.91,76.7907134548,589509.0,0.0,1.0
2021-03-29,74.13,75.7,72.44,73.04,72.9267157813,598580.0,0.0,1.0
2021-03-26,74.77,75.5178,72.2,73.98,73.8652578519,741518.0,0.0,1.0
2021-03-25,70.4,75.07,69.01,73.89,73.7753974409,1138919.0,0.0,1.0
2021-03-24,79.97,80.99,70.76,71.43,71.3192128732,2144311.0,0.0,1.0
2021-03-23,79.82,81.43,75.92,77.15,77.0303412175,1023914.0,0.0,1.0
2021-03-22,82.64,83.92,78.22,80.87,80.7445715394,1078100.0,0.0,1.0
2021-03-19,84.26,85.44,80.34,81.45,81.3236719659,865170.0,0.0,1.0
2021-03-18,87.06,87.36,82.61,83.22,83.0909267158,754139.0,0.0,1.0
2021-03-17,84.63,87.53,83.5082,87.53,87.3942419542,624955.0,0.0,1.0
2021-03-16,86.8,86.91,84.17,84.99,84.8581814657,558584.0,0.0,1.0
2021-03-15,83.4,87.11,83.4,86.6,86.4656843738,847776.0,0.0,1.0
2021-03-12,82.87,84.93,82.51,83.45,83.3205699884,686053.0,0.0,1.0
2021-03-11,82.06,84.94,81.75,83.47,83.3405389686,636466.0,0.0,1.0
2021-03-10,82.45,84.37,80.41,81.01,80.8843544009,867878.0,0.0,1.0
2021-03-09,80.0,82.675,78.01,81.3,81.1739046142,985874.0,0.0,1.0
