date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,2.79,2.83,2.73,2.77,2.77,79257.0,0.0,1.0
2021-04-15,2.87,2.9,2.77,2.77,2.77,110160.0,0.0,1.0
2021-04-14,2.96,3.0499,2.82,2.87,2.87,79397.0,0.0,1.0
2021-04-13,2.98,2.9803,2.85,2.92,2.92,80108.0,0.0,1.0
2021-04-12,3.05,3.1299,2.95,2.98,2.98,229825.0,0.0,1.0
2021-04-09,3.19,3.19,3.04,3.08,3.08,111867.0,0.0,1.0
2021-04-08,3.05,3.22,3.02,3.16,3.16,130236.0,0.0,1.0
2021-04-07,3.12,3.21,3.03,3.08,3.08,142175.0,0.0,1.0
2021-04-06,3.21,3.22,3.0829,3.09,3.09,53671.0,0.0,1.0
2021-04-05,3.17,3.25,3.12,3.22,3.22,80495.0,0.0,1.0
2021-04-01,3.07,3.2299,3.07,3.08,3.08,81863.0,0.0,1.0
2021-03-31,3.1,3.1,3.02,3.09,3.09,53935.0,0.0,1.0
2021-03-30,3.12,3.13,2.95,3.0,3.0,123414.0,0.0,1.0
2021-03-29,3.17,3.26,3.11,3.17,3.17,84162.0,0.0,1.0
2021-03-26,3.24,3.2845,3.11,3.16,3.16,83635.0,0.0,1.0
2021-03-25,3.13,3.25,3.0,3.22,3.22,101004.0,0.0,1.0
2021-03-24,3.43,3.43,3.214,3.23,3.23,365759.0,0.0,1.0
2021-03-23,3.43,3.4499,3.29,3.37,3.37,111461.0,0.0,1.0
2021-03-22,3.545,3.545,3.34,3.39,3.39,180230.0,0.0,1.0
2021-03-19,3.42,3.42,3.29,3.31,3.31,111554.0,0.0,1.0
2021-03-18,3.43,3.49,3.28,3.36,3.36,168465.0,0.0,1.0
2021-03-17,3.17,3.48,3.15,3.47,3.47,151573.0,0.0,1.0
2021-03-16,3.67,3.6761,3.23,3.25,3.25,296313.0,0.0,1.0
2021-03-15,3.56,3.71,3.41,3.65,3.65,251558.0,0.0,1.0
2021-03-12,3.5911,3.65,3.28,3.65,3.65,356370.0,0.0,1.0
2021-03-11,3.26,3.53,3.26,3.48,3.48,320970.0,0.0,1.0
2021-03-10,3.28,3.3535,3.19,3.23,3.23,150469.0,0.0,1.0
