date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,23.08,23.12,22.77,23.03,23.03,309225.0,0.0,1.0
2021-04-15,22.97,22.97,22.67,22.9,22.9,408860.0,0.0,1.0
2021-04-14,22.78,23.07,22.69,22.88,22.88,320018.0,0.0,1.0
2021-04-13,22.53,22.74,22.38,22.73,22.73,631111.0,0.0,1.0
2021-04-12,22.53,22.67,22.33,22.6,22.6,630916.0,0.0,1.0
2021-04-09,22.82,22.83,22.535,22.56,22.56,739862.0,0.0,1.0
2021-04-08,23.02,23.21,22.75,22.81,22.81,624934.0,0.0,1.0
2021-04-07,23.09,23.21,22.65,22.89,22.89,291988.0,0.0,1.0
2021-04-06,22.92,23.3,22.86,23.1,23.1,404721.0,0.0,1.0
2021-04-05,23.43,23.49,22.735,22.91,22.91,254076.0,0.0,1.0
2021-04-01,22.19,23.2,22.09,23.2,23.2,496775.0,0.0,1.0
2021-03-31,22.81,22.82,22.1,22.1,22.1,883642.0,0.0,1.0
2021-03-30,22.69,22.94,22.63,22.91,22.91,457051.0,0.0,1.0
2021-03-29,23.09,23.46,22.68,22.78,22.78,604913.0,0.0,1.0
2021-03-26,22.93,23.5,22.89,23.23,23.23,657813.0,0.0,1.0
2021-03-25,22.85,22.98,22.35,22.82,22.82,380287.0,0.0,1.0
2021-03-24,23.05,23.62,22.85,22.91,22.91,303153.0,0.0,1.0
2021-03-23,22.95,23.3,22.73,22.93,22.93,332463.0,0.0,1.0
2021-03-22,23.19,23.36,22.79,23.14,23.14,356229.0,0.0,1.0
2021-03-19,24.09,24.31,23.29,23.36,23.36,1462974.0,0.3,1.0
2021-03-18,24.44,24.78,24.27,24.43,24.1202366864,447547.0,0.0,1.0
2021-03-17,24.5,24.71,24.09,24.56,24.2485883347,352001.0,0.0,1.0
2021-03-16,24.64,24.75,24.25,24.51,24.1992223161,351887.0,0.0,1.0
2021-03-15,24.57,24.97,24.32,24.82,24.5052916314,433164.0,0.0,1.0
2021-03-12,24.06,24.71,24.06,24.68,24.3670667794,370995.0,0.0,1.0
2021-03-11,24.03,24.23,23.76,23.94,23.6364497041,352358.0,0.0,1.0
2021-03-10,23.75,24.14,23.43,23.95,23.6463229079,441574.0,0.0,1.0
2021-03-09,24.27,24.345,23.67,23.72,23.4192392223,312000.0,0.0,1.0
2021-03-08,23.44,24.32,23.24,24.2,23.8931530008,308370.0,0.0,1.0
2021-03-05,23.54,23.55,22.84,23.35,23.0539306847,363026.0,0.0,1.0
2021-03-04,23.44,23.84,22.99,23.19,22.8959594252,367457.0,0.0,1.0
2021-03-03,23.07,23.99,23.07,23.4,23.1032967033,609292.0,0.0,1.0
2021-03-02,22.82,23.11,22.56,22.98,22.6886221471,339381.0,0.0,1.0
2021-03-01,22.88,23.22,22.72,22.89,22.5997633136,371581.0,0.0,1.0
2021-02-26,23.04,23.21,22.52,22.52,22.234454776,542609.0,0.0,1.0
2021-02-25,23.63,23.85,23.06,23.12,22.8268469992,255191.0,0.0,1.0
2021-02-24,23.56,23.8,23.37,23.51,23.2119019442,360374.0,0.0,1.0
2021-02-23,23.12,23.62,23.12,23.43,23.1329163145,468873.0,0.0,1.0
2021-02-22,22.25,23.0,22.25,22.95,22.6590025359,394249.0,0.0,1.0
2021-02-19,22.2,22.4,22.13,22.26,21.9777514793,332934.0,0.0,1.0
2021-02-18,22.51,22.71,22.15,22.16,21.8790194421,486724.0,0.0,1.0
2021-02-17,22.61,22.94,22.4,22.56,22.2739475909,410848.0,0.0,1.0
2021-02-16,23.35,23.52,22.88,23.03,22.7379881657,291782.0,0.0,1.0
2021-02-12,23.43,23.43,22.79,23.24,22.9453254438,728881.0,0.0,1.0
2021-02-11,23.48,23.87,23.4,23.53,23.2316483516,359226.0,0.0,1.0
2021-02-10,23.31,23.75,23.31,23.45,23.1526627219,275959.0,0.0,1.0
2021-02-09,23.2,23.235,22.745,23.06,22.7676077768,291434.0,0.0,1.0
2021-02-08,22.62,23.07,22.56,23.05,22.7577345731,433181.0,0.0,1.0
2021-02-05,22.52,22.53,22.22,22.5,22.2147083686,204773.0,0.0,1.0
2021-02-04,22.14,22.54,22.1,22.29,22.0073710904,329842.0,0.0,1.0
2021-02-03,21.95,22.2,21.77,22.1,21.8197802198,302304.0,0.0,1.0
2021-02-02,22.35,22.46,22.05,22.12,21.8395266272,367244.0,0.0,1.0
2021-02-01,22.08,22.39,21.64,22.18,21.8987658495,415010.0,0.0,1.0
2021-01-29,22.16,22.54,21.8,21.94,21.6618089603,381701.0,0.0,1.0
2021-01-28,22.26,22.46,22.06,22.16,21.8790194421,378024.0,0.0,1.0
2021-01-27,22.16,22.51,21.93,22.11,21.8296534235,365509.0,0.0,1.0
2021-01-26,22.77,22.98,22.42,22.59,22.303567202,249809.0,0.0,1.0
2021-01-25,22.32,22.76,22.04,22.67,22.3825528318,462223.0,0.0,1.0
2021-01-22,22.05,22.51,21.87,22.48,22.1949619611,389613.0,0.0,1.0
2021-01-21,23.01,23.06,22.08,22.24,21.9580050719,482629.0,0.0,1.0
2021-01-20,22.83,23.23,22.77,23.12,22.8268469992,375575.0,0.0,1.0
2021-01-19,23.0,23.01,22.68,22.94,22.6491293322,545732.0,0.0,1.0
2021-01-15,22.47,22.97,22.3,22.78,22.4911580727,470461.0,0.0,1.0
2021-01-14,22.06,22.76,21.96,22.64,22.3529332206,660027.0,0.0,1.0
2021-01-13,21.53,21.88,21.35,21.86,21.5828233305,326804.0,0.0,1.0
