date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,124.01,124.35,122.05,123.67,123.67,220429.0,0.0,1.0
2021-04-15,122.95,122.95,120.645,122.78,122.78,191681.0,0.0,1.0
2021-04-14,121.95,124.63,121.94,122.29,122.29,151684.0,0.0,1.0
2021-04-13,123.83,123.93,121.61,121.86,121.86,162262.0,0.0,1.0
2021-04-12,123.33,124.43,122.205,123.95,123.95,116182.0,0.0,1.0
2021-04-09,123.16,123.16,121.58,122.71,122.71,149049.0,0.0,1.0
2021-04-08,121.31,123.1,120.38,123.05,123.05,130791.0,0.0,1.0
2021-04-07,122.68,122.68,120.23,121.3,121.3,140604.0,0.0,1.0
2021-04-06,123.36,124.86,122.12,122.43,122.43,223493.0,0.0,1.0
2021-04-05,124.31,125.35,122.17,123.4,123.4,203648.0,0.0,1.0
2021-04-01,120.42,123.165,118.94,123.14,123.14,346481.0,0.0,1.0
2021-03-31,121.86,122.4,118.69,120.63,120.63,582343.0,0.0,1.0
2021-03-30,120.48,122.06,120.31,121.22,121.22,342297.0,0.0,1.0
2021-03-29,122.81,123.65,119.5,120.72,120.72,289433.0,0.0,1.0
2021-03-26,122.24,123.85,121.07,123.34,123.34,258918.0,0.0,1.0
2021-03-25,119.01,122.7,116.84,122.0,122.0,266254.0,0.0,1.0
2021-03-24,119.75,123.48,119.45,119.66,119.66,455021.0,0.0,1.0
2021-03-23,118.67,119.8,116.19,118.79,118.79,658757.0,0.0,1.0
2021-03-22,120.53,120.95,118.4533,120.19,120.19,245677.0,0.0,1.0
2021-03-19,120.47,123.52,117.48,121.03,121.03,529257.0,0.0,1.0
2021-03-18,123.43,125.265,121.01,121.48,121.48,203656.0,0.0,1.0
2021-03-17,121.66,124.565,121.205,123.73,123.73,194840.0,0.0,1.0
2021-03-16,123.78,124.24,120.57,121.57,121.57,345312.0,0.0,1.0
2021-03-15,120.4,124.48,120.35,124.26,124.26,272571.0,0.0,1.0
2021-03-12,118.29,120.91,117.03,120.75,120.75,166260.0,0.0,1.0
2021-03-11,118.53,119.21,116.22,116.95,116.95,265160.0,0.0,1.0
2021-03-10,116.65,119.08,116.29,117.8,117.8,163759.0,0.0,1.0
2021-03-09,115.29,118.52,113.75,115.75,115.75,284685.0,0.0,1.0
2021-03-08,116.6,117.5,114.23,115.24,115.24,316320.0,0.0,1.0
2021-03-05,117.57,117.57,111.21,115.23,115.23,469899.0,0.0,1.0
2021-03-04,116.35,117.9958,112.47,115.53,115.53,294858.0,0.0,1.0
2021-03-03,118.12,120.01,116.39,116.42,116.42,246837.0,0.0,1.0
2021-03-02,118.99,118.99,116.9,117.21,117.21,159496.0,0.0,1.0
2021-03-01,117.07,120.37,116.03,119.18,119.18,277888.0,0.0,1.0
2021-02-26,116.51,116.89,113.75,114.22,114.22,281011.0,0.0,1.0
2021-02-25,122.18,122.54,116.75,117.05,117.05,179481.0,0.0,1.0
2021-02-24,119.66,123.235,119.66,121.85,121.85,252225.0,0.0,1.0
2021-02-23,117.41,119.69,116.4982,119.44,119.44,169002.0,0.0,1.0
2021-02-22,114.73,119.47,114.39,118.96,118.96,207070.0,0.0,1.0
2021-02-19,113.61,116.09,112.835,115.82,115.82,271849.0,0.1625,1.0
2021-02-18,113.28,113.85,111.42,112.63,112.472197099,157010.0,0.0,1.0
2021-02-17,113.35,114.51,111.9089,114.0,113.840277628,197218.0,0.0,1.0
2021-02-16,116.55,117.24,114.27,114.68,114.519324898,249692.0,0.0,1.0
2021-02-12,116.34,118.295,115.22,116.08,115.917363395,266044.0,0.0,1.0
2021-02-11,115.97,116.96,114.01,116.0,115.837475481,363600.0,0.0,1.0
2021-02-10,115.37,116.27,113.9,115.33,115.1684142,234976.0,0.0,1.0
2021-02-09,116.64,116.78,113.62,115.47,115.30821805,240453.0,0.0,1.0
2021-02-08,117.25,119.445,116.24,116.64,116.476578794,333348.0,0.0,1.0
2021-02-05,119.05,119.51,116.365,116.66,116.496550773,265933.0,0.0,1.0
2021-02-04,116.45,118.72,115.07,117.06,116.895990343,226164.0,0.0,1.0
2021-02-03,117.1,118.43,115.07,115.35,115.188386179,329969.0,0.0,1.0
2021-02-02,118.99,121.25,114.0,118.07,117.904575259,334979.0,0.0,1.0
2021-02-01,113.38,115.4087,112.28,115.18,115.018624361,307890.0,0.0,1.0
2021-01-29,114.63,115.38,111.75,111.95,111.793149829,396570.0,0.0,1.0
2021-01-28,112.83,116.23,110.51,115.2,115.03859634,419980.0,0.0,1.0
2021-01-27,113.81,114.75,110.19,110.7,110.54490117,291414.0,0.0,1.0
2021-01-26,120.55,121.02,116.94,117.04,116.876018365,163640.0,0.0,1.0
2021-01-25,121.11,121.43,117.195,119.03,118.863230229,283053.0,0.0,1.0
2021-01-22,120.61,123.83,120.15,122.02,121.849041019,340726.0,0.0,1.0
2021-01-21,125.34,125.34,121.85,122.35,122.178578665,243086.0,0.0,1.0
2021-01-20,125.0,125.44,123.58,125.04,124.864809777,228050.0,0.0,1.0
2021-01-19,123.89,125.725,123.75,123.98,123.806294915,250264.0,0.0,1.0
2021-01-15,123.65,125.34,121.62,122.77,122.597990214,163490.0,0.0,1.0
2021-01-14,125.67,127.045,124.51,125.85,125.673674908,219478.0,0.0,1.0
2021-01-13,125.84,126.7,122.87,124.33,124.155804539,208901.0,0.0,1.0
2021-01-12,125.02,126.95,124.11,126.64,126.46256806,286994.0,0.0,1.0
2021-01-11,124.88,126.79,123.02,125.24,125.064529563,186121.0,0.0,1.0
2021-01-08,125.29,125.3775,122.39,125.0,124.82486582,225574.0,0.0,1.0
2021-01-07,127.43,127.68,124.39,124.85,124.675075981,334857.0,0.0,1.0
2021-01-06,122.71,127.91,122.06,127.12,126.941895545,585454.0,0.0,1.0
2021-01-05,119.34,122.71,119.34,121.15,120.980259953,401231.0,0.0,1.0
2021-01-04,121.89,122.25,117.86,118.87,118.7034544,253352.0,0.0,1.0
2020-12-31,121.94,123.19,119.5616,121.53,121.359727545,196253.0,0.0,1.0
2020-12-30,120.14,123.57,118.21,121.78,121.609377277,270175.0,0.0,1.0
2020-12-29,121.7,121.7,119.335,121.01,120.840456103,145481.0,0.0,1.0
2020-12-28,122.45,122.93,120.67,120.8,120.630750329,134839.0,0.0,1.0
2020-12-24,121.48,122.38,118.14,121.0,120.830470114,73673.0,0.0,1.0
2020-12-23,119.46,122.91,119.46,121.48,121.309797599,239594.0,0.0,1.0
2020-12-22,119.06,120.76,117.14,119.27,119.102893971,321826.0,0.0,1.0
2020-12-21,115.43,118.38,114.9301,118.0,117.834673334,195127.0,0.0,1.0
2020-12-18,117.72,119.16,116.59,118.94,118.773356325,758624.0,0.0,1.0
2020-12-17,116.11,118.26,114.51,117.99,117.824687345,272614.0,0.0,1.0
2020-12-16,119.07,119.07,115.27,116.16,115.997251309,285582.0,0.0,1.0
2020-12-15,118.29,119.03,115.255,118.77,118.603594508,360523.0,0.0,1.0
2020-12-14,119.81,119.9,116.53,116.81,116.646340612,219958.0,0.0,1.0
2020-12-11,116.75,118.6,115.805,118.23,118.064351087,214988.0,0.0,1.0
2020-12-10,115.07,118.34,115.07,118.15,117.984463173,355773.0,0.0,1.0
2020-12-09,118.43,119.34,116.44,116.79,116.626368633,212259.0,0.0,1.0
2020-12-08,115.92,118.52,115.0325,117.13,116.965892268,181590.0,0.0,1.0
2020-12-07,116.88,117.78,114.01,116.45,116.286844998,192343.0,0.0,1.0
2020-12-04,112.37,118.56,112.37,117.88,117.714841463,242116.0,0.0,1.0
2020-12-03,115.41,118.29,113.925,116.73,116.566452698,277002.0,0.0,1.0
2020-12-02,113.24,115.83,111.72,115.34,115.17840019,320454.0,0.0,1.0
2020-12-01,114.3,115.02,112.26,113.51,113.350964154,305323.0,0.0,1.0
2020-11-30,113.66,113.86,111.01,111.83,111.673317957,380961.0,0.0,1.0
2020-11-27,113.72,115.26,113.44,114.33,114.169815274,147883.0,0.0,1.0
2020-11-25,113.48,114.092,111.46,113.84,113.6805018,252253.0,0.0,1.0
2020-11-24,113.44,115.38,113.13,114.72,114.559268855,408314.0,0.0,1.0
2020-11-23,109.34,112.37,109.13,112.0,111.843079775,466365.0,0.0,1.0
2020-11-20,108.39,111.59,106.04,108.64,108.487787382,602600.0,0.0,1.0
2020-11-19,107.65,110.67,105.18,110.03,109.87583989,410749.0,0.0,1.0
2020-11-18,111.54,111.925,107.48,107.54,107.389328562,609415.0,0.0,1.0
2020-11-17,106.73,111.84,106.23,110.31,110.155447589,327523.0,0.0,1.0
2020-11-16,109.35,111.215,107.4358,109.2,109.047002781,669508.0,0.0,1.0
2020-11-13,100.0,105.62,100.0,105.18,105.032635096,247306.0,0.0813,1.0
2020-11-12,99.0,100.6,97.87,99.65,99.4335720628,328809.0,0.0,1.0
2020-11-11,104.0,104.0,99.235,100.83,100.611009243,431132.0,0.0,1.0
2020-11-10,99.0,104.62,98.41,103.58,103.355036571,617214.0,0.0,1.0
2020-11-09,97.17,104.055,93.34,99.08,98.864810035,560701.0,0.0,1.0
2020-11-06,89.0,90.0,85.48,88.5,88.3077885355,210747.0,0.0,1.0
2020-11-05,87.0,89.89,86.07,89.43,89.2357686862,233552.0,0.0,1.0
2020-11-04,87.0,87.44,84.6272,85.55,85.3641955843,270887.0,0.0,1.0
2020-11-03,86.61,88.74,85.84,88.22,88.0283966621,324663.0,0.0,1.0
2020-11-02,80.76,84.93,80.64,84.87,84.6856724633,445418.0,0.0,1.0
2020-10-30,78.1,79.98,77.06,79.55,79.37722687,284797.0,0.0,1.0
2020-10-29,76.0,78.97,76.0,78.28,78.1099851588,338470.0,0.0,1.0
2020-10-28,77.2,79.44,76.335,76.77,76.6032646991,487830.0,0.0,1.0
2020-10-27,83.03,83.03,78.87,79.3,79.1277698403,325554.0,0.0,1.0
2020-10-26,84.95,84.95,81.72,83.55,83.3685393462,222575.0,0.0,1.0
2020-10-23,85.38,86.98,84.23,86.86,86.6713504202,304229.0,0.0,1.0
2020-10-22,81.77,84.07,81.77,83.98,83.7976054374,238302.0,0.0,1.0
2020-10-21,83.99,83.99,81.47,81.61,81.4327527953,310007.0,0.0,1.0
2020-10-20,83.98,85.86,83.725,84.21,84.0271059048,375524.0,0.0,1.0
2020-10-19,85.83,86.04,83.75,84.04,83.8574751245,251577.0,0.0,1.0
2020-10-16,86.58,86.96,85.145,85.19,85.0049774614,167107.0,0.0,1.0
2020-10-15,83.28,86.34,82.84,85.93,85.7433702695,190201.0,0.0,1.0
2020-10-14,85.43,86.46,84.0,84.79,84.6058462138,162529.0,0.0,1.0
2020-10-13,85.48,86.37,83.14,85.12,84.9351294931,165768.0,0.0,1.0
2020-10-12,87.35,87.35,85.97,86.52,86.3320888598,139354.0,0.0,1.0
2020-10-09,87.39,87.39,85.41,86.74,86.551611046,197134.0,0.0,1.0
2020-10-08,85.18,86.49,84.07,86.2,86.0127838617,159708.0,0.0,1.0
2020-10-07,83.77,85.62,83.42,84.82,84.6357810574,189338.0,0.0,1.0
2020-10-06,84.81,85.92,82.53,82.84,82.6600813817,235433.0,0.0,1.0
2020-10-05,82.89,84.53,82.7,83.95,83.7676705938,151887.0,0.0,1.0
2020-10-02,78.36,82.315,78.195,81.85,81.6722315438,185149.0,0.0,1.0
2020-10-01,80.66,81.8,79.74,81.03,80.8540124862,290980.0,0.0,1.0
2020-09-30,78.83,81.17,78.83,80.16,79.9859020226,546114.0,0.0,1.0
2020-09-29,78.86,80.07,78.13,78.55,78.379398751,330646.0,0.0,1.0
2020-09-28,77.8,80.19,77.37,78.82,78.6488123431,275140.0,0.0,1.0
2020-09-25,74.55,76.885,74.34,76.03,75.864871891,737872.0,0.0,1.0
2020-09-24,76.83,77.67,74.88,75.49,75.3260447067,626317.0,0.0,1.0
2020-09-23,78.31,79.62,76.78,77.06,76.8926348536,412177.0,0.0,1.0
2020-09-22,78.32,79.55,77.6,78.22,78.0501154717,252024.0,0.0,1.0
2020-09-21,80.67,81.245,76.385,78.14,77.9702892222,491993.0,0.0,1.0
2020-09-18,84.39,86.37,82.74,83.18,82.9993429422,612693.0,0.0,1.0
2020-09-17,82.99,85.505,81.5,85.3,85.1147385545,371939.0,0.0,1.0
2020-09-16,83.11,85.76,82.385,84.75,84.5659330891,325187.0,0.0,1.0
2020-09-15,83.89,84.41,82.38,82.55,82.3707112272,123259.0,0.0,1.0
2020-09-14,83.52,84.06,82.77,83.59,83.408452471,185086.0,0.0,1.0
2020-09-11,81.12,82.82,80.84,82.24,82.0613845103,154026.0,0.0,1.0
2020-09-10,83.61,84.2,80.65,80.9,80.7242948307,169734.0,0.0,1.0
2020-09-09,82.93,83.18,80.89,82.49,82.31084154,242849.0,0.0,1.0
2020-09-08,83.61,84.62,82.25,82.3,82.1212541974,229566.0,0.0,1.0
2020-09-04,86.05,86.16,83.44,84.5,84.3164760593,188587.0,0.0,1.0
2020-09-03,87.58,88.02,83.48,84.11,83.9273230929,225967.0,0.0,1.0
2020-09-02,86.26,87.79,83.9841,87.07,86.8808943252,153545.0,0.0,1.0
2020-09-01,85.7,86.075,84.18,85.48,85.294347616,292066.0,0.0,1.0
2020-08-31,87.78,90.6199,85.68,85.69,85.503891521,355290.0,0.0,1.0
2020-08-28,86.58,87.79,86.01,87.54,87.3498735412,473208.0,0.0,1.0
2020-08-27,83.99,87.56,83.6157,86.6,86.4119151093,455763.0,0.0,1.0
2020-08-26,83.04,83.84,82.6,83.38,83.198908566,288912.0,0.0,1.0
2020-08-25,84.74,85.04,82.87,83.53,83.3485827838,196032.0,0.0,1.0
2020-08-24,82.68,84.19,81.385,83.845,83.6628986413,335530.0,0.0,1.0
2020-08-21,81.69,82.69,81.08,81.39,81.2132306091,221256.0,0.0,1.0
2020-08-20,81.94,82.695,81.1,82.1,81.9216885736,365106.0,0.0,1.0
2020-08-19,83.47,84.75,82.37,82.65,82.4704940391,226823.0,0.0,1.0
2020-08-18,84.22,85.06,83.085,83.33,83.14901716,215687.0,0.0,1.0
2020-08-17,85.46,85.66,83.65,84.82,84.6357810574,310844.0,0.0,1.0
2020-08-14,83.62,85.26,83.62,84.9,84.7156073069,171449.0,0.0813,1.0
2020-08-13,84.72,86.6,82.73,84.65,84.3853927605,345998.0,0.0,1.0
