date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,57.05,57.05,55.81,56.36,56.36,488070.0,0.0,1.0
2021-04-15,56.75,57.165,56.33,56.74,56.74,468428.0,0.0,1.0
2021-04-14,56.2,56.76,55.68,56.23,56.23,863861.0,0.0,1.0
2021-04-13,56.78,56.92,55.8,56.35,56.35,628484.0,0.0,1.0
2021-04-12,58.29,58.435,56.6042,56.8,56.8,700113.0,0.0,1.0
2021-04-09,56.21,58.5,56.21,58.36,58.36,1073753.0,0.0,1.0
2021-04-08,56.78,57.1299,55.73,56.09,56.09,493512.0,0.0,1.0
2021-04-07,56.07,56.5,55.16,56.5,56.5,436677.0,0.0,1.0
2021-04-06,55.22,56.31,55.13,56.05,56.05,755317.0,0.0,1.0
2021-04-05,56.24,56.4,55.09,55.49,55.49,641799.0,0.0,1.0
2021-04-01,54.53,55.655,54.26,55.59,55.59,591137.0,0.0,1.0
2021-03-31,56.19,56.67,54.2,54.26,54.26,652011.0,0.0,1.0
2021-03-30,55.91,57.07,55.51,55.95,55.95,856943.0,0.0,1.0
2021-03-29,54.82,56.4,54.77,56.09,56.09,470754.0,0.0,1.0
2021-03-26,55.53,56.165,53.55,55.0,55.0,1860912.0,0.0,1.0
2021-03-25,56.0,57.27,55.17,55.25,55.25,1025554.0,0.0,1.0
2021-03-24,56.68,61.3199,55.17,56.59,56.59,2890710.0,0.0,1.0
2021-03-23,57.38,57.54,55.82,56.37,56.37,771729.0,0.0,1.0
2021-03-22,56.99,58.08,56.84,57.74,57.74,560911.0,0.0,1.0
2021-03-19,55.93,57.89,55.57,57.12,57.12,840633.0,0.0,1.0
2021-03-18,56.31,56.69,55.56,55.96,55.96,528226.0,0.0,1.0
2021-03-17,57.54,57.54,55.53,56.57,56.57,591645.0,0.0,1.0
2021-03-16,57.71,57.955,57.04,57.72,57.72,440798.0,0.0,1.0
2021-03-15,57.29,58.16,56.705,57.67,57.67,642955.0,0.0,1.0
2021-03-12,57.91,58.16,57.12,57.21,57.21,882517.0,0.12,1.0
2021-03-11,57.45,59.18,57.1,58.28,58.1580115123,1811659.0,0.0,1.0
2021-03-10,56.32,57.26,55.66,57.22,57.1002302459,813539.0,0.0,1.0
2021-03-09,57.39,57.44,55.36,56.07,55.9526373626,1197909.0,0.0,1.0
