date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,26.45,26.45,26.284,26.3348,26.3348,6748.0,0.0,1.0
2021-04-15,26.3,26.3011,26.28,26.3011,26.3011,541.0,0.0,1.0
2021-04-14,26.2,26.2,26.0739,26.0739,26.0739,2602.0,0.0,1.0
2021-04-13,26.15,26.22,26.055,26.19,26.19,4299.0,0.0,1.0
2021-04-12,26.07,26.07,26.06,26.068,26.068,1181.0,0.0,1.0
2021-04-09,26.07,26.07,26.07,26.07,26.07,389.0,0.0,1.0
2021-04-08,26.02,26.02,25.89,25.9513,25.9513,20020.0,0.0,1.0
2021-04-07,25.92,25.92,25.84,25.84,25.84,11882.0,0.0,1.0
2021-04-06,25.85,25.92,25.84,25.84,25.84,14723.0,0.0,1.0
2021-04-05,25.8,25.93,25.79,25.8882,25.8882,17492.0,0.0,1.0
2021-04-01,25.54,25.62,25.4258,25.6194,25.6194,147548.0,0.0,1.0
