date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,4.41,4.4799,4.2,4.41,4.41,333721.0,0.0,1.0
2021-04-15,4.66,4.7,4.35,4.41,4.41,265177.0,0.0,1.0
2021-04-14,4.69,4.76,4.6,4.66,4.66,163101.0,0.0,1.0
2021-04-13,4.55,4.8,4.42,4.76,4.76,341824.0,0.0,1.0
2021-04-12,4.81,4.85,4.55,4.6,4.6,429296.0,0.0,1.0
2021-04-09,4.98,5.1,4.84,4.9,4.9,245379.0,0.0,1.0
2021-04-08,4.96,5.43,4.75,5.08,5.08,817891.0,0.0,1.0
2021-04-07,5.3,5.31,4.9,4.99,4.99,444320.0,0.0,1.0
2021-04-06,5.22,5.33,5.06,5.14,5.14,471403.0,0.0,1.0
2021-04-05,5.44,5.78,5.07,5.33,5.33,1263882.0,0.0,1.0
2021-04-01,4.82,6.26,4.7066,5.47,5.47,5583135.0,0.0,1.0
2021-03-31,4.74,4.8801,4.59,4.59,4.59,373557.0,0.0,1.0
2021-03-30,4.74,4.7499,4.45,4.69,4.69,388504.0,0.0,1.0
2021-03-29,5.1535,5.19,4.7,4.77,4.77,420945.0,0.0,1.0
2021-03-26,5.05,5.34,4.91,5.07,5.07,546152.0,0.0,1.0
2021-03-25,4.94,5.1,4.67,4.95,4.95,1017947.0,0.0,1.0
2021-03-24,5.48,5.49,5.19,5.21,5.21,653440.0,0.0,1.0
2021-03-23,5.81,5.87,5.41,5.43,5.43,539018.0,0.0,1.0
2021-03-22,6.02,6.1,5.72,5.77,5.77,969296.0,0.0,1.0
2021-03-19,6.0,6.28,5.85,6.1,6.1,1087917.0,0.0,1.0
2021-03-18,5.75,6.65,5.55,5.92,5.92,4188875.0,0.0,1.0
2021-03-17,5.4,5.93,5.4,5.77,5.77,1204412.0,0.0,1.0
2021-03-16,5.85,5.85,5.52,5.56,5.56,1023272.0,0.0,1.0
2021-03-15,6.1,6.1,5.66,5.86,5.86,1375106.0,0.0,1.0
2021-03-12,5.52,6.15,5.38,5.98,5.98,3535477.0,0.0,1.0
2021-03-11,5.65,5.93,5.5,5.8,5.8,3296123.0,0.0,1.0
2021-03-10,6.32,6.4,5.33,5.4,5.4,4632572.0,0.0,1.0
2021-03-09,7.93,8.1439,7.2,7.38,7.38,781439.0,0.0,1.0
2021-03-08,7.97,8.12,7.45,7.94,7.94,315637.0,0.0,1.0
2021-03-05,8.6775,8.78,7.11,8.15,8.15,392756.0,0.0,1.0
2021-03-04,10.34,10.52,8.18,8.44,8.44,1012853.0,0.0,1.0
2021-03-03,9.3006,12.6,9.0901,10.64,10.64,9471784.0,0.0,1.0
2021-03-02,8.98,8.98,8.35,8.5,8.5,376960.0,0.0,1.0
2021-03-01,9.12,9.45,8.611,8.99,8.99,475217.0,0.0,1.0
2021-02-26,9.05,9.05,8.31,8.48,8.48,310905.0,0.0,1.0
2021-02-25,10.1,10.2999,8.61,8.74,8.74,558578.0,0.0,1.0
2021-02-24,9.21,9.88,9.08,9.51,9.51,455968.0,0.0,1.0
2021-02-23,9.49,9.7,8.0,8.27,8.27,494778.0,0.0,1.0
2021-02-22,11.0,11.24,9.19,9.9,9.9,348370.0,0.0,1.0
2021-02-19,10.83,11.5,10.78,10.9,10.9,377280.0,0.0,1.0
2021-02-18,11.25,11.62,10.7,10.83,10.83,508321.0,0.0,1.0
2021-02-17,12.03,12.03,11.12,11.53,11.53,452593.0,0.0,1.0
2021-02-16,12.16,12.7399,11.6,11.82,11.82,610195.0,0.0,1.0
2021-02-12,11.06,13.12,10.51,11.88,11.88,2850764.0,0.0,1.0
2021-02-11,11.4,11.5,10.88,11.0,11.0,362849.0,0.0,1.0
2021-02-10,12.38,12.5,10.8,11.2,11.2,1329816.0,0.0,1.0
2021-02-09,13.33,13.41,12.23,12.6,12.6,1000438.0,0.0,1.0
2021-02-08,12.19,13.69,11.5,13.39,13.39,2044773.0,0.0,1.0
2021-02-05,11.86,13.33,11.3,12.15,12.15,2102626.0,0.0,1.0
2021-02-04,11.98,13.1,10.8,11.85,11.85,2062248.0,0.0,1.0
2021-02-03,14.0,14.08,10.8,12.1,12.1,3172708.0,0.0,1.0
2021-02-02,15.895,16.9,13.0,13.59,13.59,2514318.0,0.0,1.0
2021-02-01,37.26,58.0,22.01,23.2,23.2,6620668.0,0.0,1.0
2021-01-29,33.12,37.5,29.7,35.34,35.34,120686.0,0.0,1.0
2021-01-28,27.0,34.9,25.58,33.6,33.6,218654.0,0.0,1.0
2021-01-27,23.18,29.8,21.3,27.8,27.8,377561.0,0.0,1.0
2021-01-26,25.45,25.9999,22.26,23.79,23.79,79826.0,0.0,1.0
