date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,19.73,19.94,18.75,19.0,19.0,382998.0,0.0,1.0
2021-04-15,19.59,19.98,19.18,19.66,19.66,494264.0,0.0,1.0
2021-04-14,19.09,20.05,19.09,19.43,19.43,590827.0,0.0,1.0
2021-04-13,18.77,19.14,18.41,19.09,19.09,267437.0,0.0,1.0
2021-04-12,19.06,19.385,18.74,18.93,18.93,981644.0,0.0,1.0
2021-04-09,19.33,19.46,18.71,19.27,19.27,1189907.0,0.0,1.0
2021-04-08,19.4,19.66,19.22,19.45,19.45,659264.0,0.0,1.0
2021-04-07,19.66,19.92,19.26,19.32,19.32,1131044.0,0.0,1.0
2021-04-06,20.19,20.705,19.58,19.72,19.72,881267.0,0.0,1.0
2021-04-05,20.74,20.8,19.98,20.13,20.13,678050.0,0.0,1.0
2021-04-01,19.63,20.7,19.63,20.64,20.64,633507.0,0.0,1.0
2021-03-31,19.2,19.89,19.08,19.52,19.52,592844.0,0.0,1.0
2021-03-30,18.43,19.22,18.08,19.2,19.2,489316.0,0.0,1.0
2021-03-29,18.64,18.8,18.13,18.515,18.515,379132.0,0.0,1.0
2021-03-26,19.0,19.21,18.35,18.76,18.76,1072616.0,0.0,1.0
2021-03-25,18.59,19.32,18.5,18.815,18.815,1178526.0,0.0,1.0
2021-03-24,19.59,19.71,18.68,18.73,18.73,1005614.0,0.0,1.0
2021-03-23,20.005,20.26,19.2,19.47,19.47,653906.0,0.0,1.0
2021-03-22,20.93,21.29,20.34,20.39,20.39,1036398.0,0.0,1.0
2021-03-19,19.94,20.91,19.92,20.86,20.86,957017.0,0.0,1.0
2021-03-18,20.8,21.29,20.08,20.08,20.08,567389.0,0.0,1.0
2021-03-17,20.44,21.06,20.18,21.02,21.02,341391.0,0.0,1.0
2021-03-16,20.92,20.95,20.12,20.645,20.645,422969.0,0.0,1.0
2021-03-15,20.48,20.79,20.08,20.7,20.7,368321.0,0.0,1.0
2021-03-12,20.3,20.68,20.06,20.48,20.48,276831.0,0.0,1.0
2021-03-11,20.055,20.48,19.79,20.45,20.45,391542.0,0.0,1.0
2021-03-10,20.14,20.45,19.8,19.87,19.87,382142.0,0.0,1.0
2021-03-09,20.01,20.87,19.9601,20.03,20.03,662802.0,0.0,1.0
2021-03-08,20.74,20.9851,19.56,19.87,19.87,821655.0,0.0,1.0
2021-03-05,20.35,20.77,19.37,20.74,20.74,768089.0,0.0,1.0
2021-03-04,20.59,20.84,19.93,20.26,20.26,774303.0,0.0,1.0
2021-03-03,20.5,20.98,20.1601,20.59,20.59,461122.0,0.0,1.0
2021-03-02,20.95,21.06,20.41,20.43,20.43,519612.0,0.0,1.0
2021-03-01,22.0,22.0,20.68,20.95,20.95,628554.0,0.0,1.0
2021-02-26,21.7,22.39,20.04,21.21,21.21,1041881.0,0.0,1.0
2021-02-25,23.55,23.6793,22.01,22.16,22.16,1261708.0,0.0,1.0
2021-02-24,23.0,23.69,22.65,23.43,23.43,523822.0,0.0,1.0
2021-02-23,22.96,22.9908,22.3623,22.88,22.88,1000175.0,0.0,1.0
2021-02-22,23.16,23.5,22.9014,23.425,23.425,1038401.0,0.0,1.0
2021-02-19,22.43,23.0,22.43,22.99,22.99,814170.0,0.0,1.0
2021-02-18,22.38,22.72,22.21,22.43,22.43,791209.0,0.0,1.0
2021-02-17,22.4,22.98,22.3401,22.7,22.7,755823.0,0.0,1.0
2021-02-16,22.77,22.98,22.46,22.48,22.48,907845.0,0.0,1.0
2021-02-12,22.42,22.777,22.2712,22.53,22.53,849011.0,0.0,1.0
2021-02-11,22.8,22.81,21.78,22.42,22.42,951000.0,0.0,1.0
2021-02-10,22.5,23.1,22.03,22.81,22.81,795836.0,0.0,1.0
2021-02-09,22.4,22.6643,21.7,22.41,22.41,833768.0,0.0,1.0
2021-02-08,21.14,22.3,21.11,22.25,22.25,692775.0,0.0,1.0
2021-02-05,21.21,21.275,20.35,21.04,21.04,937896.0,0.0,1.0
2021-02-04,21.3,21.81,20.86,21.17,21.17,1000992.0,0.0,1.0
2021-02-03,22.892,22.892,20.51,21.55,21.55,3204072.0,0.0,1.0
2021-02-02,19.74,19.86,19.19,19.68,19.68,454705.0,0.0,1.0
2021-02-01,19.1,19.63,18.71,19.42,19.42,596036.0,0.0,1.0
2021-01-29,19.17,19.43,18.68,18.96,18.96,721936.0,0.0,1.0
2021-01-28,20.07,20.1184,18.83,19.15,19.15,719779.0,0.0,1.0
2021-01-27,19.67,20.47,19.33,19.82,19.82,1193377.0,0.0,1.0
2021-01-26,19.86,20.4345,19.75,20.1,20.1,752169.0,0.0,1.0
2021-01-25,19.27,19.94,19.11,19.62,19.62,1140669.0,0.0,1.0
2021-01-22,18.25,19.31,18.01,19.3,19.3,1276485.0,0.0,1.0
2021-01-21,18.11,18.53,17.8,18.34,18.34,1018906.0,0.0,1.0
2021-01-20,18.66,18.75,18.02,18.26,18.26,766109.0,0.0,1.0
2021-01-19,18.98,18.98,18.11,18.265,18.265,1119346.0,0.0,1.0
2021-01-15,18.93,19.23,18.62,18.64,18.64,1251856.0,0.0,1.0
2021-01-14,19.85,19.89,18.82,18.97,18.97,1145858.0,0.0,1.0
2021-01-13,20.34,20.46,18.93,18.99,18.99,1949675.0,0.0,1.0
2021-01-12,21.12,21.26,20.46,20.49,20.49,1067085.0,0.0,1.0
2021-01-11,21.61,22.07,20.935,21.07,21.07,1025485.0,0.0,1.0
2021-01-08,20.92,21.99,20.67,21.82,21.82,1117458.0,0.0,1.0
2021-01-07,19.76,20.89,19.76,20.85,20.85,833715.0,0.0,1.0
2021-01-06,19.75,20.35,19.51,19.82,19.82,760907.0,0.0,1.0
2021-01-05,19.91,20.0,19.3,19.61,19.61,937425.0,0.0,1.0
2021-01-04,20.11,20.15,19.51,19.84,19.84,522535.0,0.0,1.0
2020-12-31,19.96,20.26,19.11,19.99,19.99,1005763.0,0.0,1.0
2020-12-30,19.4,20.035,19.36,19.87,19.87,1004564.0,0.0,1.0
2020-12-29,20.05,20.22,19.37,19.53,19.53,820829.0,0.0,1.0
2020-12-28,20.35,20.48,19.68,19.96,19.96,1000053.0,0.0,1.0
2020-12-24,19.87,20.31,19.71,20.18,20.18,391338.0,0.0,1.0
2020-12-23,20.3,20.54,19.61,19.87,19.87,1005746.0,0.0,1.0
2020-12-22,20.2,20.68,20.01,20.29,20.29,825800.0,0.0,1.0
2020-12-21,19.89,20.24,19.6,20.21,20.21,774932.0,0.0,1.0
2020-12-18,20.34,20.42,19.85,19.99,19.99,1656412.0,0.0,1.0
2020-12-17,20.18,20.53,19.71,20.3,20.3,1543277.0,0.0,1.0
2020-12-16,21.23,21.24,19.73,20.0,20.0,860779.0,0.0,1.0
2020-12-15,21.27,21.37,20.68,21.06,21.06,691789.0,0.0,1.0
2020-12-14,20.31,21.66,20.1431,21.15,21.15,666623.0,0.0,1.0
2020-12-11,20.64,20.64,19.89,19.94,19.94,758345.0,0.0,1.0
2020-12-10,20.89,21.16,20.67,20.77,20.77,1163606.0,0.0,1.0
2020-12-09,21.39,21.4,20.86,20.95,20.95,515873.0,0.0,1.0
2020-12-08,21.22,21.525,20.945,21.13,21.13,846543.0,0.0,1.0
2020-12-07,22.11,22.48,21.34,21.42,21.42,566662.0,0.0,1.0
2020-12-04,22.16,22.81,21.9,22.23,22.23,693072.0,0.0,1.0
2020-12-03,21.63,22.37,21.27,22.08,22.08,842474.0,0.0,1.0
2020-12-02,21.35,21.7,21.065,21.49,21.49,376159.0,0.0,1.0
2020-12-01,21.7,22.05,21.38,21.54,21.54,554929.0,0.0,1.0
2020-11-30,21.56,21.71,21.05,21.43,21.43,685390.0,0.0,1.0
2020-11-27,20.99,21.71,20.76,21.56,21.56,319509.0,0.0,1.0
2020-11-25,21.22,21.25,20.54,21.08,21.08,579221.0,0.0,1.0
2020-11-24,21.0,21.6,20.77,21.2,21.2,509885.0,0.0,1.0
2020-11-23,20.81,20.98,20.22,20.8,20.8,890361.0,0.0,1.0
2020-11-20,20.175,20.175,19.06,19.88,19.88,720132.0,0.0,1.0
2020-11-19,19.99,20.26,19.61,19.86,19.86,791883.0,0.0,1.0
2020-11-18,20.89,21.1,20.04,20.05,20.05,1009470.0,0.0,1.0
2020-11-17,20.9,21.38,20.51,20.79,20.79,733923.0,0.0,1.0
2020-11-16,22.07,22.37,20.97,21.1,21.1,1191112.0,0.0,1.0
2020-11-13,21.04,21.7,20.915,21.6,21.6,1256668.0,0.0,1.0
2020-11-12,20.57,21.37,20.32,20.7,20.7,1746881.0,0.0,1.0
2020-11-11,21.81,21.865,20.62,20.86,20.86,1105230.0,0.0,1.0
2020-11-10,20.6924,22.75,20.66,21.73,21.73,1438588.0,0.0,1.0
2020-11-09,22.7,23.36,22.13,23.1,23.1,1191963.0,0.0,1.0
2020-11-06,21.58,21.86,21.15,21.45,21.45,846196.0,0.0,1.0
2020-11-05,22.32,22.42,21.57,21.61,21.61,799043.0,0.0,1.0
2020-11-04,21.8,22.58,21.75,22.08,22.08,728741.0,0.0,1.0
2020-11-03,21.16,21.93,20.99,21.77,21.77,948876.0,0.0,1.0
2020-11-02,21.45,21.45,20.2,20.97,20.97,1085147.0,0.0,1.0
2020-10-30,21.19,21.6,21.04,21.32,21.32,697595.0,0.0,1.0
2020-10-29,20.28,21.38,20.15,21.32,21.32,757239.0,0.0,1.0
2020-10-28,20.3,20.66,20.0,20.415,20.415,618144.0,0.0,1.0
2020-10-27,20.64,21.23,20.515,20.6,20.6,572612.0,0.0,1.0
2020-10-26,21.1,21.19,20.5,20.73,20.73,880126.0,0.0,1.0
2020-10-23,21.13,21.3,20.63,21.29,21.29,857683.0,0.0,1.0
2020-10-22,20.6,21.11,20.0101,21.0,21.0,530880.0,0.0,1.0
2020-10-21,20.2,20.85,20.11,20.5,20.5,526829.0,0.0,1.0
2020-10-20,20.36,20.6982,19.84,20.19,20.19,1196809.0,0.0,1.0
2020-10-19,20.67,20.8453,20.0586,20.18,20.18,710379.0,0.0,1.0
2020-10-16,20.14,20.65,19.52,20.4,20.4,1741748.0,0.0,1.0
2020-10-15,19.045,19.66,18.81,19.62,19.62,1160981.0,0.0,1.0
2020-10-14,18.73,19.74,18.59,19.4,19.4,1023454.0,0.0,1.0
2020-10-13,18.28,18.89,18.265,18.8,18.8,1010890.0,0.0,1.0
2020-10-12,18.46,18.53,17.97,18.41,18.41,1123695.0,0.0,1.0
2020-10-09,18.42,18.595,18.15,18.31,18.31,1022253.0,0.0,1.0
2020-10-08,18.54,18.65,18.16,18.45,18.45,801172.0,0.0,1.0
2020-10-07,18.0,18.43,17.62,18.23,18.23,1259485.0,0.0,1.0
2020-10-06,18.22,18.39,17.79,17.93,17.93,1504251.0,0.0,1.0
2020-10-05,17.79,18.37,17.77,18.055,18.055,1317930.0,0.0,1.0
2020-10-02,17.54,17.98,17.42,17.58,17.58,858056.0,0.0,1.0
2020-10-01,17.92,18.355,17.6,17.92,17.92,1075359.0,0.0,1.0
2020-09-30,18.02,18.4,17.81,17.93,17.93,1401937.0,0.0,1.0
2020-09-29,17.98,18.44,17.48,17.95,17.95,1618933.0,0.0,1.0
2020-09-28,17.77,18.06,17.31,18.0,18.0,2843597.0,0.0,1.0
2020-09-25,17.75,18.08,17.225,17.5,17.5,6840196.0,0.0,1.0
2020-09-24,18.38,18.38,17.2033,17.76,17.76,5956799.0,0.0,1.0
2020-09-23,19.45,19.83,18.29,18.68,18.68,9080072.0,0.0,1.0
2020-09-22,22.79,23.19,22.38,22.58,22.58,1168797.0,0.0,1.0
2020-09-21,23.63,23.865,22.71,22.82,22.82,951794.0,0.0,1.0
2020-09-18,24.67,24.67,23.63,24.21,24.21,896562.0,0.0,1.0
2020-09-17,24.5,24.52,23.9945,24.37,24.37,494689.0,0.0,1.0
2020-09-16,24.81,25.31,24.52,24.65,24.65,408424.0,0.0,1.0
2020-09-15,24.99,25.08,24.43,24.75,24.75,422435.0,0.0,1.0
2020-09-14,24.5,24.87,24.41,24.72,24.72,645265.0,0.0,1.0
2020-09-11,24.79,25.1,23.93,24.18,24.18,1155430.0,0.0,1.0
2020-09-10,24.56,25.22,24.52,24.78,24.78,519657.0,0.0,1.0
